# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Electron Scattering Angle (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,     7.06602,       2.77391
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,     7.08502,       1.46658
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,     6.96067,       1.47118
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,     6.91997,       1.21725
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,     6.82356,       1.33996
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,     6.68336,       1.50522
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,     6.59678,       2.75394
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,     6.57165,       9.29371
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,           0,             0
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,     7.54512,      0.840085
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,     7.50518,      0.573426
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,     7.42115,       0.48646
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,     7.22313,      0.460046
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,     6.95419,      0.463169
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,     6.73727,      0.583538
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,     6.62997,       2.14201
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,           0,             0
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,           0,             0
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,     8.18276,      0.468601
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24,     8.09625,      0.364045
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24,     7.82823,      0.333046
