# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Pm vs. $\theta_{rq}$ (yield) 
# ybins      : 15 
# ylabel     :  missing momentum, P_{m} [GeV/c] 
# xbins      : 19 
# xlabel     :  in-plane angle, $\theta_{rq}$ [deg] 
# ybin_width : 0.080 
# xbin_width : 10.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     22,         1,         1,             0,        -5,         5,        0.04,         0,        0.08,     220.461,         157.1
     23,         2,         1,            10,         5,        15,        0.04,         0,        0.08,     3138.39,       835.568
     24,         3,         1,            20,        15,        25,        0.04,         0,        0.08,     3829.15,       1022.84
     25,         4,         1,            30,        25,        35,        0.04,         0,        0.08,     5466.95,        1208.3
     26,         5,         1,            40,        35,        45,        0.04,         0,        0.08,     11916.2,       2017.19
     27,         6,         1,            50,        45,        55,        0.04,         0,        0.08,     9522.88,        1413.1
     28,         7,         1,            60,        55,        65,        0.04,         0,        0.08,     11307.2,       1706.12
     29,         8,         1,            70,        65,        75,        0.04,         0,        0.08,     10364.9,       1719.56
     30,         9,         1,            80,        75,        85,        0.04,         0,        0.08,     11250.2,       1834.17
     31,        10,         1,            90,        85,        95,        0.04,         0,        0.08,     9558.03,       1630.39
     32,        11,         1,           100,        95,       105,        0.04,         0,        0.08,     7038.56,       1205.45
     33,        12,         1,           110,       105,       115,        0.04,         0,        0.08,     5920.79,       1301.01
     34,        13,         1,           120,       115,       125,        0.04,         0,        0.08,     3208.36,       920.615
     35,        14,         1,           130,       125,       135,        0.04,         0,        0.08,     1607.76,       740.125
     36,        15,         1,           140,       135,       145,        0.04,         0,        0.08,     754.373,       449.537
     37,        16,         1,           150,       145,       155,        0.04,         0,        0.08,           0,             0
     38,        17,         1,           160,       155,       165,        0.04,         0,        0.08,           0,             0
     39,        18,         1,           170,       165,       175,        0.04,         0,        0.08,           0,             0
     40,        19,         1,           180,       175,       185,        0.04,         0,        0.08,           0,             0
     43,         1,         2,             0,        -5,         5,        0.12,      0.08,        0.16,     90.4342,       23.1035
     44,         2,         2,            10,         5,        15,        0.12,      0.08,        0.16,     1056.26,       124.613
     45,         3,         2,            20,        15,        25,        0.12,      0.08,        0.16,     1985.04,       183.985
     46,         4,         2,            30,        25,        35,        0.12,      0.08,        0.16,     2644.16,       227.518
     47,         5,         2,            40,        35,        45,        0.12,      0.08,        0.16,     3501.55,        295.87
     48,         6,         2,            50,        45,        55,        0.12,      0.08,        0.16,     4059.17,       274.311
     49,         7,         2,            60,        55,        65,        0.12,      0.08,        0.16,     4601.93,       389.741
     50,         8,         2,            70,        65,        75,        0.12,      0.08,        0.16,     7076.34,       1056.65
     51,         9,         2,            80,        75,        85,        0.12,      0.08,        0.16,     5568.63,       442.889
     52,        10,         2,            90,        85,        95,        0.12,      0.08,        0.16,     5867.01,       461.765
     53,        11,         2,           100,        95,       105,        0.12,      0.08,        0.16,     4430.26,       363.908
     54,        12,         2,           110,       105,       115,        0.12,      0.08,        0.16,     2567.41,       270.364
     55,        13,         2,           120,       115,       125,        0.12,      0.08,        0.16,     902.943,       159.426
     56,        14,         2,           130,       125,       135,        0.12,      0.08,        0.16,     22.7297,       16.0929
     57,        15,         2,           140,       135,       145,        0.12,      0.08,        0.16,           0,             0
     58,        16,         2,           150,       145,       155,        0.12,      0.08,        0.16,           0,             0
     59,        17,         2,           160,       155,       165,        0.12,      0.08,        0.16,           0,             0
     60,        18,         2,           170,       165,       175,        0.12,      0.08,        0.16,           0,             0
     61,        19,         2,           180,       175,       185,        0.12,      0.08,        0.16,           0,             0
     64,         1,         3,             0,        -5,         5,         0.2,      0.16,        0.24,     27.5387,       4.04596
     65,         2,         3,            10,         5,        15,         0.2,      0.16,        0.24,     169.463,       10.2421
     66,         3,         3,            20,        15,        25,         0.2,      0.16,        0.24,     291.301,       14.3111
     67,         4,         3,            30,        25,        35,         0.2,      0.16,        0.24,     342.579,       16.3677
     68,         5,         3,            40,        35,        45,         0.2,      0.16,        0.24,     358.089,       17.0418
     69,         6,         3,            50,        45,        55,         0.2,      0.16,        0.24,     392.559,       18.8247
     70,         7,         3,            60,        55,        65,         0.2,      0.16,        0.24,     486.028,       25.6647
     71,         8,         3,            70,        65,        75,         0.2,      0.16,        0.24,     617.047,       28.9507
     72,         9,         3,            80,        75,        85,         0.2,      0.16,        0.24,     664.734,       29.8559
     73,        10,         3,            90,        85,        95,         0.2,      0.16,        0.24,     754.602,       32.0748
     74,        11,         3,           100,        95,       105,         0.2,      0.16,        0.24,     877.045,       36.9879
     75,        12,         3,           110,       105,       115,         0.2,      0.16,        0.24,     445.758,       27.1663
     76,        13,         3,           120,       115,       125,         0.2,      0.16,        0.24,     65.3936,       13.0882
     77,        14,         3,           130,       125,       135,         0.2,      0.16,        0.24,     3.48211,       3.48211
     78,        15,         3,           140,       135,       145,         0.2,      0.16,        0.24,           0,             0
     79,        16,         3,           150,       145,       155,         0.2,      0.16,        0.24,           0,             0
     80,        17,         3,           160,       155,       165,         0.2,      0.16,        0.24,           0,             0
     81,        18,         3,           170,       165,       175,         0.2,      0.16,        0.24,           0,             0
     82,        19,         3,           180,       175,       185,         0.2,      0.16,        0.24,           0,             0
     85,         1,         4,             0,        -5,         5,        0.28,      0.24,        0.32,     3.35574,      0.381879
     86,         2,         4,            10,         5,        15,        0.28,      0.24,        0.32,     28.8687,       1.18455
     87,         3,         4,            20,        15,        25,        0.28,      0.24,        0.32,      39.514,       1.46934
     88,         4,         4,            30,        25,        35,        0.28,      0.24,        0.32,     43.4871,       1.66648
     89,         5,         4,            40,        35,        45,        0.28,      0.24,        0.32,     51.8979,       2.00413
     90,         6,         4,            50,        45,        55,        0.28,      0.24,        0.32,     66.4132,       2.53766
     91,         7,         4,            60,        55,        65,        0.28,      0.24,        0.32,     75.4543,       2.68602
     92,         8,         4,            70,        65,        75,        0.28,      0.24,        0.32,     76.4899,       2.59859
     93,         9,         4,            80,        75,        85,        0.28,      0.24,        0.32,     123.718,       22.6975
     94,        10,         4,            90,        85,        95,        0.28,      0.24,        0.32,     153.193,       5.19817
     95,        11,         4,           100,        95,       105,        0.28,      0.24,        0.32,     206.034,        7.4358
     96,        12,         4,           110,       105,       115,        0.28,      0.24,        0.32,     84.9146,        5.5494
     97,        13,         4,           120,       115,       125,        0.28,      0.24,        0.32,    0.827402,       0.59155
     98,        14,         4,           130,       125,       135,        0.28,      0.24,        0.32,           0,             0
     99,        15,         4,           140,       135,       145,        0.28,      0.24,        0.32,           0,             0
    100,        16,         4,           150,       145,       155,        0.28,      0.24,        0.32,           0,             0
    101,        17,         4,           160,       155,       165,        0.28,      0.24,        0.32,           0,             0
    102,        18,         4,           170,       165,       175,        0.28,      0.24,        0.32,           0,             0
    103,        19,         4,           180,       175,       185,        0.28,      0.24,        0.32,           0,             0
    106,         1,         5,             0,        -5,         5,        0.36,      0.32,         0.4,    0.605547,     0.0667252
    107,         2,         5,            10,         5,        15,        0.36,      0.32,         0.4,     4.80517,       0.19857
    108,         3,         5,            20,        15,        25,        0.36,      0.32,         0.4,     7.31642,      0.263471
    109,         4,         5,            30,        25,        35,        0.36,      0.32,         0.4,     9.82842,      0.328067
    110,         5,         5,            40,        35,        45,        0.36,      0.32,         0.4,     14.1512,      0.452956
    111,         6,         5,            50,        45,        55,        0.36,      0.32,         0.4,     22.1714,      0.671837
    112,         7,         5,            60,        55,        65,        0.36,      0.32,         0.4,     32.2874,      0.974512
    113,         8,         5,            70,        65,        75,        0.36,      0.32,         0.4,     47.3796,       1.58408
    114,         9,         5,            80,        75,        85,        0.36,      0.32,         0.4,     48.4952,       1.55902
