# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y_{tar}   
# xbins      : 60   
# xlabel     :  Y_{tar} [cm]   
# xbin_width : 0.233 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-6.883,-7.000,-6.767,0.000,0.000
2,-6.650,-6.767,-6.533,0.000,0.000
3,-6.417,-6.533,-6.300,0.000,0.000
4,-6.183,-6.300,-6.067,0.000,0.000
5,-5.950,-6.067,-5.833,0.000,0.000
6,-5.717,-5.833,-5.600,0.000,0.000
7,-5.483,-5.600,-5.367,0.000,0.000
8,-5.250,-5.367,-5.133,0.008,0.008
9,-5.017,-5.133,-4.900,0.000,0.000
10,-4.783,-4.900,-4.667,0.025,0.025
11,-4.550,-4.667,-4.433,0.161,0.161
12,-4.317,-4.433,-4.200,0.050,0.049
13,-4.083,-4.200,-3.967,3.714,3.655
14,-3.850,-3.967,-3.733,1.527,0.980
15,-3.617,-3.733,-3.500,0.804,0.445
16,-3.383,-3.500,-3.267,4.318,3.733
17,-3.150,-3.267,-3.033,20.123,10.138
18,-2.917,-3.033,-2.800,490.985,456.120
19,-2.683,-2.800,-2.567,115.697,84.482
20,-2.450,-2.567,-2.333,172.832,116.797
21,-2.217,-2.333,-2.100,784.493,327.245
22,-1.983,-2.100,-1.867,1544.120,655.842
23,-1.750,-1.867,-1.633,2128.779,789.210
24,-1.517,-1.633,-1.400,3811.114,1120.631
25,-1.283,-1.400,-1.167,6666.773,1279.656
26,-1.050,-1.167,-0.933,10839.558,1364.575
27,-0.817,-0.933,-0.700,10957.465,1358.935
28,-0.583,-0.700,-0.467,10643.711,1204.808
29,-0.350,-0.467,-0.233,12900.172,1505.709
30,-0.117,-0.233,0.000,12212.596,1364.806
31,0.117,0.000,0.233,15031.739,1907.237
32,0.350,0.233,0.467,11659.196,1415.780
33,0.583,0.467,0.700,11362.305,1301.311
34,0.817,0.700,0.933,11797.685,1307.423
35,1.050,0.933,1.167,7262.747,1135.479
36,1.283,1.167,1.400,6922.615,1406.295
37,1.517,1.400,1.633,4537.188,1132.322
38,1.750,1.633,1.867,1141.701,330.639
39,1.983,1.867,2.100,1275.891,483.477
40,2.217,2.100,2.333,1168.598,700.037
41,2.450,2.333,2.567,245.361,177.436
42,2.683,2.567,2.800,34.465,21.230
43,2.917,2.800,3.033,259.595,151.310
44,3.150,3.033,3.267,320.804,232.785
45,3.383,3.267,3.500,11.870,11.568
46,3.617,3.500,3.733,1.071,0.780
47,3.850,3.733,3.967,2.185,1.744
48,4.083,3.967,4.200,0.442,0.304
49,4.317,4.200,4.433,0.066,0.036
50,4.550,4.433,4.667,0.011,0.007
51,4.783,4.667,4.900,3.133,2.966
52,5.017,4.900,5.133,0.350,0.263
53,5.250,5.133,5.367,22.409,22.392
54,5.483,5.367,5.600,0.002,0.001
55,5.717,5.600,5.833,0.000,0.000
56,5.950,5.833,6.067,0.000,0.000
57,6.183,6.067,6.300,0.051,0.051
58,6.417,6.300,6.533,0.000,0.000
59,6.650,6.533,6.767,0.000,0.000
60,6.883,6.767,7.000,0.000,0.000
