# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS z-Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.000,0.000
5,-8.500,-8.667,-8.333,0.000,0.000
6,-8.167,-8.333,-8.000,0.000,0.000
7,-7.833,-8.000,-7.667,0.000,0.000
8,-7.500,-7.667,-7.333,0.000,0.000
9,-7.167,-7.333,-7.000,0.000,0.000
10,-6.833,-7.000,-6.667,0.000,0.000
11,-6.500,-6.667,-6.333,0.000,0.000
12,-6.167,-6.333,-6.000,0.000,0.000
13,-5.833,-6.000,-5.667,0.000,0.000
14,-5.500,-5.667,-5.333,0.009,0.009
15,-5.167,-5.333,-5.000,0.007,0.007
16,-4.833,-5.000,-4.667,0.105,0.096
17,-4.500,-4.667,-4.333,0.096,0.074
18,-4.167,-4.333,-4.000,0.216,0.113
19,-3.833,-4.000,-3.667,20.448,15.562
20,-3.500,-3.667,-3.333,17.516,11.440
21,-3.167,-3.333,-3.000,129.367,33.530
22,-2.833,-3.000,-2.667,901.569,365.022
23,-2.500,-2.667,-2.333,1274.777,400.837
24,-2.167,-2.333,-2.000,2228.961,533.904
25,-1.833,-2.000,-1.667,3016.392,418.485
26,-1.500,-1.667,-1.333,4988.149,777.265
27,-1.167,-1.333,-1.000,5826.613,730.774
28,-0.833,-1.000,-0.667,6654.874,947.043
29,-0.500,-0.667,-0.333,6486.137,774.083
30,-0.167,-0.333,0.000,7325.435,948.097
31,0.167,0.000,0.333,7877.135,1057.673
32,0.500,0.333,0.667,6525.786,1046.093
33,0.833,0.667,1.000,5245.336,667.830
34,1.167,1.000,1.333,5021.112,694.465
35,1.500,1.333,1.667,4436.460,805.935
36,1.833,1.667,2.000,2901.742,492.792
37,2.167,2.000,2.333,2081.278,423.804
38,2.500,2.333,2.667,600.312,168.973
39,2.833,2.667,3.000,511.881,171.487
40,3.167,3.000,3.333,213.350,74.669
41,3.500,3.333,3.667,183.726,171.633
42,3.833,3.667,4.000,0.192,0.083
43,4.167,4.000,4.333,0.261,0.119
44,4.500,4.333,4.667,0.044,0.044
45,4.833,4.667,5.000,0.036,0.034
46,5.167,5.000,5.333,0.000,0.000
47,5.500,5.333,5.667,0.000,0.000
48,5.833,5.667,6.000,0.000,0.000
49,6.167,6.000,6.333,0.000,0.000
50,6.500,6.333,6.667,0.000,0.000
51,6.833,6.667,7.000,0.000,0.000
52,7.167,7.000,7.333,0.000,0.000
53,7.500,7.333,7.667,0.000,0.000
54,7.833,7.667,8.000,0.000,0.000
55,8.167,8.000,8.333,0.000,0.000
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.000,0.000
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
