# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Proton Scattering Angle (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,     52.9881,       18.3327
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,     52.9785,       12.4642
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,     53.1963,        10.308
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,     53.0588,       10.4743
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,      53.038,       11.1783
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,     52.7976,       20.2937
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,      52.206,       53.3274
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,           0,             0
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,           0,             0
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,     53.3511,       6.95269
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,     53.5731,       4.60695
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,     53.7298,       3.86381
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,     53.6657,       3.73436
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,     53.5951,       3.85971
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,     53.0253,       7.58986
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,      51.905,       73.4047
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,           0,             0
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,           0,             0
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,     53.7013,       3.39252
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24,     53.7776,       2.52429
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24,     53.7954,       2.24284
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24,     53.8296,        2.1359
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24,     53.7443,       2.21704
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24,     53.1849,        3.9289
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24,           0,             0
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,           0,             0
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32,     53.7741,       2.42992
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32,     53.8926,         1.925
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32,     53.8038,       1.83525
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32,     53.7859,       1.66264
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32,     53.8896,       1.75056
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32,     53.3293,       3.36984
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32,           0,             0
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4,     53.9144,       2.29662
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4,     53.8098,       1.82498
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4,     53.6768,       1.67479
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4,     53.6855,       1.61038
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4,     53.9678,       1.76097
     66,         6,         5,           110,       100,       120,        0.36,      0.32,         0.4,     53.3485,        5.4914
     67,         7,         5,           130,       120,       140,        0.36,      0.32,         0.4,           0,             0
     68,         8,         5,           150,       140,       160,        0.36,      0.32,         0.4,           0,             0
     69,         9,         5,           170,       160,       180,        0.36,      0.32,         0.4,           0,             0
     70,        10,         5,           190,       180,       200,        0.36,      0.32,         0.4,           0,             0
     73,         1,         6,            10,         0,        20,        0.44,       0.4,        0.48,     53.8952,       2.77755
     74,         2,         6,            30,        20,        40,        0.44,       0.4,        0.48,     53.7004,       2.05793
     75,         3,         6,            50,        40,        60,        0.44,       0.4,        0.48,     53.6132,       1.81119
     76,         4,         6,            70,        60,        80,        0.44,       0.4,        0.48,     53.6242,       1.67186
     77,         5,         6,            90,        80,       100,        0.44,       0.4,        0.48,     54.0041,       2.60344
     78,         6,         6,           110,       100,       120,        0.44,       0.4,        0.48,           0,             0
     79,         7,         6,           130,       120,       140,        0.44,       0.4,        0.48,           0,             0
     80,         8,         6,           150,       140,       160,        0.44,       0.4,        0.48,           0,             0
     81,         9,         6,           170,       160,       180,        0.44,       0.4,        0.48,           0,             0
     82,        10,         6,           190,       180,       200,        0.44,       0.4,        0.48,           0,             0
     85,         1,         7,            10,         0,        20,        0.52,      0.48,        0.56,     53.8855,       4.84326
     86,         2,         7,            30,        20,        40,        0.52,      0.48,        0.56,     53.6529,       2.66108
     87,         3,         7,            50,        40,        60,        0.52,      0.48,        0.56,     53.5942,       2.19878
     88,         4,         7,            70,        60,        80,        0.52,      0.48,        0.56,     53.6578,       2.00321
     89,         5,         7,            90,        80,       100,        0.52,      0.48,        0.56,     54.0549,       5.20381
     90,         6,         7,           110,       100,       120,        0.52,      0.48,        0.56,           0,             0
     91,         7,         7,           130,       120,       140,        0.52,      0.48,        0.56,           0,             0
     92,         8,         7,           150,       140,       160,        0.52,      0.48,        0.56,           0,             0
     93,         9,         7,           170,       160,       180,        0.52,      0.48,        0.56,           0,             0
     94,        10,         7,           190,       180,       200,        0.52,      0.48,        0.56,           0,             0
     97,         1,         8,            10,         0,        20,         0.6,      0.56,        0.64,      53.475,       37.8963
     98,         2,         8,            30,        20,        40,         0.6,      0.56,        0.64,     53.5719,       4.61962
     99,         3,         8,            50,        40,        60,         0.6,      0.56,        0.64,     53.7353,       3.05794
    100,         4,         8,            70,        60,        80,         0.6,      0.56,        0.64,     53.7951,       2.80497
    101,         5,         8,            90,        80,       100,         0.6,      0.56,        0.64,     54.0737,       15.4843
    102,         6,         8,           110,       100,       120,         0.6,      0.56,        0.64,           0,             0
    103,         7,         8,           130,       120,       140,         0.6,      0.56,        0.64,           0,             0
    104,         8,         8,           150,       140,       160,         0.6,      0.56,        0.64,           0,             0
