# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : x-Bjorken   
# xbins      : 40   
# xlabel     :  x-bjorken, x_{Bj}   
# xbin_width : 0.033 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.516,0.500,0.532,0.000,0.000
2,0.549,0.532,0.565,0.000,0.000
3,0.581,0.565,0.598,0.000,0.000
4,0.614,0.598,0.630,0.049,0.049
5,0.646,0.630,0.662,1.330,0.261
6,0.679,0.662,0.695,12.631,1.043
7,0.711,0.695,0.728,35.459,1.983
8,0.744,0.728,0.760,72.127,3.373
9,0.776,0.760,0.792,143.612,6.843
10,0.809,0.792,0.825,252.162,12.924
11,0.841,0.825,0.858,420.062,26.544
12,0.874,0.858,0.890,1094.753,88.096
13,0.906,0.890,0.922,1725.769,253.181
14,0.939,0.922,0.955,5974.210,732.202
15,0.971,0.955,0.988,11126.012,1411.363
16,1.004,0.988,1.020,15654.675,1771.460
17,1.036,1.020,1.052,13277.626,1321.421
18,1.069,1.052,1.085,11056.542,915.609
19,1.101,1.085,1.118,5982.502,442.515
20,1.134,1.118,1.150,3495.768,244.241
21,1.166,1.150,1.183,1760.168,105.342
22,1.199,1.183,1.215,1114.846,63.257
23,1.231,1.215,1.248,520.014,26.151
24,1.264,1.248,1.280,329.719,14.699
25,1.296,1.280,1.312,187.492,8.011
26,1.329,1.312,1.345,96.406,3.879
27,1.361,1.345,1.377,56.256,2.210
28,1.394,1.377,1.410,36.808,1.339
29,1.426,1.410,1.442,18.208,0.680
30,1.459,1.442,1.475,10.678,0.402
31,1.491,1.475,1.508,6.082,0.236
32,1.524,1.508,1.540,3.477,0.145
33,1.556,1.540,1.573,1.851,0.082
34,1.589,1.573,1.605,1.065,0.055
35,1.621,1.605,1.637,0.619,0.035
36,1.654,1.637,1.670,0.226,0.018
37,1.686,1.670,1.703,0.081,0.010
38,1.719,1.703,1.735,0.022,0.005
39,1.751,1.735,1.768,0.003,0.001
40,1.784,1.768,1.800,0.000,0.000
