# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y'_{fp}   
# xbins      : 60   
# xlabel     :  Y'_{fp} [rad]   
# xbin_width : 0.001 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.039,-0.040,-0.039,0.000,0.000
2,-0.038,-0.039,-0.037,0.000,0.000
3,-0.037,-0.037,-0.036,0.000,0.000
4,-0.035,-0.036,-0.035,0.000,0.000
5,-0.034,-0.035,-0.033,0.000,0.000
6,-0.033,-0.033,-0.032,0.000,0.000
7,-0.031,-0.032,-0.031,0.000,0.000
8,-0.030,-0.031,-0.029,0.104,0.104
9,-0.029,-0.029,-0.028,0.626,0.526
10,-0.027,-0.028,-0.027,50.706,47.911
11,-0.026,-0.027,-0.025,409.866,317.832
12,-0.025,-0.025,-0.024,536.834,287.512
13,-0.023,-0.024,-0.023,611.027,243.418
14,-0.022,-0.023,-0.021,1026.437,483.495
15,-0.021,-0.021,-0.020,814.623,338.639
16,-0.019,-0.020,-0.019,1372.870,427.182
17,-0.018,-0.019,-0.017,1740.567,521.184
18,-0.017,-0.017,-0.016,1796.783,449.058
19,-0.015,-0.016,-0.015,2219.883,483.144
20,-0.014,-0.015,-0.013,1854.366,342.093
21,-0.013,-0.013,-0.012,2762.563,446.913
22,-0.011,-0.012,-0.011,2435.228,341.863
23,-0.010,-0.011,-0.009,2935.879,460.984
24,-0.009,-0.009,-0.008,2855.433,365.155
25,-0.007,-0.008,-0.007,2309.954,259.551
26,-0.006,-0.007,-0.005,2450.381,274.426
27,-0.005,-0.005,-0.004,2787.273,282.780
28,-0.003,-0.004,-0.003,2918.856,336.649
29,-0.002,-0.003,-0.001,2687.195,236.944
30,-0.001,-0.001,0.000,2895.512,307.381
31,0.001,0.000,0.001,2605.856,211.891
32,0.002,0.001,0.003,2076.090,166.372
33,0.003,0.003,0.004,1991.805,245.236
34,0.005,0.004,0.005,1561.843,192.469
35,0.006,0.005,0.007,1136.053,122.694
36,0.007,0.007,0.008,1569.917,209.886
37,0.009,0.008,0.009,1090.538,151.324
38,0.010,0.009,0.011,890.803,131.974
39,0.011,0.011,0.012,721.148,94.805
40,0.013,0.012,0.013,694.872,104.052
41,0.014,0.013,0.015,504.503,87.655
42,0.015,0.015,0.016,510.315,92.843
43,0.017,0.016,0.017,338.593,77.274
44,0.018,0.017,0.019,329.282,57.724
45,0.019,0.019,0.020,358.044,70.475
46,0.021,0.020,0.021,224.796,51.494
47,0.022,0.021,0.023,326.659,86.570
48,0.023,0.023,0.024,155.790,47.303
49,0.025,0.024,0.025,66.314,30.004
50,0.026,0.025,0.027,77.457,53.307
51,0.027,0.027,0.028,17.419,9.206
52,0.029,0.028,0.029,0.000,0.000
53,0.030,0.029,0.031,0.000,0.000
54,0.031,0.031,0.032,0.000,0.000
55,0.033,0.032,0.033,0.000,0.000
56,0.034,0.033,0.035,0.000,0.000
57,0.035,0.035,0.036,0.000,0.000
58,0.037,0.036,0.037,0.000,0.000
59,0.038,0.037,0.039,0.000,0.000
60,0.039,0.039,0.040,0.000,0.000
