# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 1.667 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-49.167,-50.000,-48.333,0.000,0.000
2,-47.500,-48.333,-46.667,0.009,0.009
3,-45.833,-46.667,-45.000,76.051,46.498
4,-44.167,-45.000,-43.333,995.537,567.309
5,-42.500,-43.333,-41.667,1192.898,516.950
6,-40.833,-41.667,-40.000,1411.221,297.908
7,-39.167,-40.000,-38.333,1029.740,236.619
8,-37.500,-38.333,-36.667,730.437,138.940
9,-35.833,-36.667,-35.000,1375.468,265.963
10,-34.167,-35.000,-33.333,2000.138,482.478
11,-32.500,-33.333,-31.667,1273.115,287.371
12,-30.833,-31.667,-30.000,1261.504,211.356
13,-29.167,-30.000,-28.333,2145.676,403.246
14,-27.500,-28.333,-26.667,1320.026,226.033
15,-25.833,-26.667,-25.000,1387.483,226.673
16,-24.167,-25.000,-23.333,1439.603,219.109
17,-22.500,-23.333,-21.667,1169.472,187.701
18,-20.833,-21.667,-20.000,1146.059,155.563
19,-19.167,-20.000,-18.333,1196.572,155.106
20,-17.500,-18.333,-16.667,1063.805,142.409
21,-15.833,-16.667,-15.000,1060.040,140.213
22,-14.167,-15.000,-13.333,1010.411,119.906
23,-12.500,-13.333,-11.667,895.895,108.972
24,-10.833,-11.667,-10.000,746.900,93.463
25,-9.167,-10.000,-8.333,691.300,79.648
26,-7.500,-8.333,-6.667,613.409,64.966
27,-5.833,-6.667,-5.000,619.238,65.275
28,-4.167,-5.000,-3.333,475.875,54.589
29,-2.500,-3.333,-1.667,414.021,35.980
30,-0.833,-1.667,0.000,394.976,39.381
31,0.833,0.000,1.667,352.254,34.078
32,2.500,1.667,3.333,355.120,33.390
33,4.167,3.333,5.000,378.372,34.254
34,5.833,5.000,6.667,271.285,24.234
35,7.500,6.667,8.333,272.589,20.009
36,9.167,8.333,10.000,256.518,23.335
37,10.833,10.000,11.667,215.666,15.712
38,12.500,11.667,13.333,208.753,17.124
39,14.167,13.333,15.000,179.494,13.525
40,15.833,15.000,16.667,156.878,9.532
41,17.500,16.667,18.333,152.581,10.113
42,19.167,18.333,20.000,133.345,8.274
43,20.833,20.000,21.667,131.210,8.866
44,22.500,21.667,23.333,114.070,6.044
45,24.167,23.333,25.000,98.159,5.364
46,25.833,25.000,26.667,98.390,5.981
47,27.500,26.667,28.333,93.401,5.511
48,29.167,28.333,30.000,76.287,5.001
49,30.833,30.000,31.667,64.483,3.816
50,32.500,31.667,33.333,47.506,2.998
51,34.167,33.333,35.000,43.588,2.732
52,35.833,35.000,36.667,32.319,2.502
53,37.500,36.667,38.333,27.994,2.448
54,39.167,38.333,40.000,18.613,1.782
55,40.833,40.000,41.667,9.076,0.995
56,42.500,41.667,43.333,3.970,0.800
57,44.167,43.333,45.000,0.000,0.000
58,45.833,45.000,46.667,0.000,0.000
59,47.500,46.667,48.333,0.000,0.000
60,49.167,48.333,50.000,0.000,0.000
