# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : sin($\phi_{pq}$) (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 19 
# xlabel     :  $\theta_{rq}$ [deg] 
# ybin_width : 0.080 
# xbin_width : 10.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     22,         1,         1,             0,        -5,         5,        0.04,         0,        0.08,           0,             0
     23,         2,         1,            10,         5,        15,        0.04,         0,        0.08,    0.357435,       0.50549
     24,         3,         1,            20,        15,        25,        0.04,         0,        0.08,    0.214804,      0.224688
     25,         4,         1,            30,        25,        35,        0.04,         0,        0.08,    0.254343,      0.222739
     26,         5,         1,            40,        35,        45,        0.04,         0,        0.08,   -0.210877,      0.190422
     27,         6,         1,            50,        45,        55,        0.04,         0,        0.08,    0.151248,      0.158988
     28,         7,         1,            60,        55,        65,        0.04,         0,        0.08,    0.132702,      0.145029
     29,         8,         1,            70,        65,        75,        0.04,         0,        0.08,   -0.199626,      0.144416
     30,         9,         1,            80,        75,        85,        0.04,         0,        0.08,    0.105932,      0.112437
     31,        10,         1,            90,        85,        95,        0.04,         0,        0.08,    0.359372,      0.358193
     32,        11,         1,           100,        95,       105,        0.04,         0,        0.08,    -0.61236,      0.614096
     33,        12,         1,           110,       105,       115,        0.04,         0,        0.08,           0,             0
     34,        13,         1,           120,       115,       125,        0.04,         0,        0.08,           0,             0
     35,        14,         1,           130,       125,       135,        0.04,         0,        0.08,           0,             0
     36,        15,         1,           140,       135,       145,        0.04,         0,        0.08,           0,             0
     37,        16,         1,           150,       145,       155,        0.04,         0,        0.08,           0,             0
     38,        17,         1,           160,       155,       165,        0.04,         0,        0.08,           0,             0
     39,        18,         1,           170,       165,       175,        0.04,         0,        0.08,           0,             0
     40,        19,         1,           180,       175,       185,        0.04,         0,        0.08,           0,             0
     43,         1,         2,             0,        -5,         5,        0.12,      0.08,        0.16,  -0.0791801,      0.214816
     44,         2,         2,            10,         5,        15,        0.12,      0.08,        0.16,  -0.0866705,      0.113286
     45,         3,         2,            20,        15,        25,        0.12,      0.08,        0.16,  -0.0627862,      0.088099
     46,         4,         2,            30,        25,        35,        0.12,      0.08,        0.16,  -0.0124712,     0.0563048
     47,         5,         2,            40,        35,        45,        0.12,      0.08,        0.16,  0.00785303,     0.0536231
     48,         6,         2,            50,        45,        55,        0.12,      0.08,        0.16,   0.0613768,     0.0509901
     49,         7,         2,            60,        55,        65,        0.12,      0.08,        0.16,   0.0179208,     0.0485578
     50,         8,         2,            70,        65,        75,        0.12,      0.08,        0.16,   0.0328073,     0.0429961
     51,         9,         2,            80,        75,        85,        0.12,      0.08,        0.16, -0.00222285,     0.0461955
     52,        10,         2,            90,        85,        95,        0.12,      0.08,        0.16,  -0.0163723,     0.0422136
     53,        11,         2,           100,        95,       105,        0.12,      0.08,        0.16,    0.114305,     0.0634645
     54,        12,         2,           110,       105,       115,        0.12,      0.08,        0.16,   0.0872463,     0.0954308
     55,        13,         2,           120,       115,       125,        0.12,      0.08,        0.16,           0,             0
     56,        14,         2,           130,       125,       135,        0.12,      0.08,        0.16,           0,             0
     57,        15,         2,           140,       135,       145,        0.12,      0.08,        0.16,           0,             0
     58,        16,         2,           150,       145,       155,        0.12,      0.08,        0.16,           0,             0
     59,        17,         2,           160,       155,       165,        0.12,      0.08,        0.16,           0,             0
     60,        18,         2,           170,       165,       175,        0.12,      0.08,        0.16,           0,             0
     61,        19,         2,           180,       175,       185,        0.12,      0.08,        0.16,           0,             0
     64,         1,         3,             0,        -5,         5,         0.2,      0.16,        0.24,  -0.0497892,      0.133607
     65,         2,         3,            10,         5,        15,         0.2,      0.16,        0.24,   0.0819438,      0.055214
     66,         3,         3,            20,        15,        25,         0.2,      0.16,        0.24,  0.00204681,     0.0417942
     67,         4,         3,            30,        25,        35,         0.2,      0.16,        0.24,  -0.0293627,      0.036786
     68,         5,         3,            40,        35,        45,         0.2,      0.16,        0.24,   0.0127749,       0.03507
     69,         6,         3,            50,        45,        55,         0.2,      0.16,        0.24,  -0.0363137,     0.0306773
     70,         7,         3,            60,        55,        65,         0.2,      0.16,        0.24,  0.00446678,     0.0288898
     71,         8,         3,            70,        65,        75,         0.2,      0.16,        0.24,  -0.0157304,     0.0291293
     72,         9,         3,            80,        75,        85,         0.2,      0.16,        0.24,   0.0367856,     0.0242792
     73,        10,         3,            90,        85,        95,         0.2,      0.16,        0.24,   0.0523396,     0.0208973
     74,        11,         3,           100,        95,       105,         0.2,      0.16,        0.24,   0.0695495,     0.0219935
     75,        12,         3,           110,       105,       115,         0.2,      0.16,        0.24,   0.0734785,     0.0589086
     76,        13,         3,           120,       115,       125,         0.2,      0.16,        0.24,           0,             0
     77,        14,         3,           130,       125,       135,         0.2,      0.16,        0.24,           0,             0
     78,        15,         3,           140,       135,       145,         0.2,      0.16,        0.24,           0,             0
     79,        16,         3,           150,       145,       155,         0.2,      0.16,        0.24,           0,             0
     80,        17,         3,           160,       155,       165,         0.2,      0.16,        0.24,           0,             0
     81,        18,         3,           170,       165,       175,         0.2,      0.16,        0.24,           0,             0
     82,        19,         3,           180,       175,       185,         0.2,      0.16,        0.24,           0,             0
     85,         1,         4,             0,        -5,         5,        0.28,      0.24,        0.32,    0.110856,     0.0907091
     86,         2,         4,            10,         5,        15,        0.28,      0.24,        0.32,  -0.0199729,     0.0346281
     87,         3,         4,            20,        15,        25,        0.28,      0.24,        0.32,  -0.0339475,     0.0316257
     88,         4,         4,            30,        25,        35,        0.28,      0.24,        0.32,  -0.0249216,     0.0303572
     89,         5,         4,            40,        35,        45,        0.28,      0.24,        0.32, -0.00798501,      0.029181
     90,         6,         4,            50,        45,        55,        0.28,      0.24,        0.32,  -0.0210586,     0.0288315
     91,         7,         4,            60,        55,        65,        0.28,      0.24,        0.32,  -0.0247007,     0.0268734
     92,         8,         4,            70,        65,        75,        0.28,      0.24,        0.32,   0.0610787,     0.0236685
     93,         9,         4,            80,        75,        85,        0.28,      0.24,        0.32,    0.091329,     0.0209272
     94,        10,         4,            90,        85,        95,        0.28,      0.24,        0.32,   0.0762995,     0.0159769
     95,        11,         4,           100,        95,       105,        0.28,      0.24,        0.32,   0.0279328,     0.0146884
     96,        12,         4,           110,       105,       115,        0.28,      0.24,        0.32,   0.0294284,     0.0543404
     97,        13,         4,           120,       115,       125,        0.28,      0.24,        0.32,           0,             0
     98,        14,         4,           130,       125,       135,        0.28,      0.24,        0.32,           0,             0
     99,        15,         4,           140,       135,       145,        0.28,      0.24,        0.32,           0,             0
    100,        16,         4,           150,       145,       155,        0.28,      0.24,        0.32,           0,             0
    101,        17,         4,           160,       155,       165,        0.28,      0.24,        0.32,           0,             0
    102,        18,         4,           170,       165,       175,        0.28,      0.24,        0.32,           0,             0
    103,        19,         4,           180,       175,       185,        0.28,      0.24,        0.32,           0,             0
    106,         1,         5,             0,        -5,         5,        0.36,      0.32,         0.4,   0.0100402,     0.0648044
    107,         2,         5,            10,         5,        15,        0.36,      0.32,         0.4,   0.0581109,     0.0330589
    108,         3,         5,            20,        15,        25,        0.36,      0.32,         0.4,  -0.0126927,     0.0318859
    109,         4,         5,            30,        25,        35,        0.36,      0.32,         0.4,  -0.0450338,     0.0302842
    110,         5,         5,            40,        35,        45,        0.36,      0.32,         0.4,   0.0229123,     0.0289356
    111,         6,         5,            50,        45,        55,        0.36,      0.32,         0.4,    0.035228,     0.0278657
    112,         7,         5,            60,        55,        65,        0.36,      0.32,         0.4,    0.100685,     0.0266947
    113,         8,         5,            70,        65,        75,        0.36,      0.32,         0.4,    0.176095,     0.0247947
    114,         9,         5,            80,        75,        85,        0.36,      0.32,         0.4,    0.112255,     0.0227012
