# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W   
# xbins      : 100   
# xlabel     :  invariant mass, W [GeV]   
# xbin_width : 0.017 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.192,-0.200,-0.183,1.151,0.101
2,-0.174,-0.183,-0.166,0.849,0.081
3,-0.158,-0.166,-0.149,0.948,0.094
4,-0.141,-0.149,-0.132,0.871,0.092
5,-0.123,-0.132,-0.115,0.842,0.092
6,-0.107,-0.115,-0.098,0.696,0.080
7,-0.089,-0.098,-0.081,0.580,0.079
8,-0.073,-0.081,-0.064,0.516,0.069
9,-0.055,-0.064,-0.047,0.443,0.072
10,-0.038,-0.047,-0.030,0.208,0.047
11,-0.022,-0.030,-0.013,0.189,0.044
12,-0.005,-0.013,0.004,0.025,0.018
13,0.013,0.004,0.021,0.046,0.017
14,0.030,0.021,0.038,0.253,0.059
15,0.046,0.038,0.055,0.262,0.049
16,0.064,0.055,0.072,0.330,0.059
17,0.081,0.072,0.089,0.579,0.082
18,0.098,0.089,0.106,0.624,0.089
19,0.115,0.106,0.123,0.902,0.108
20,0.132,0.123,0.140,0.837,0.097
21,0.149,0.140,0.157,1.053,0.108
22,0.166,0.157,0.174,1.326,0.129
23,0.182,0.174,0.191,1.383,0.140
24,0.200,0.191,0.208,1.711,0.165
25,0.217,0.208,0.225,2.369,0.209
26,0.234,0.225,0.242,2.789,0.229
27,0.251,0.242,0.259,2.543,0.208
28,0.268,0.259,0.276,3.392,0.259
29,0.285,0.276,0.293,3.368,0.272
30,0.301,0.293,0.310,3.584,0.273
31,0.319,0.310,0.327,4.873,0.352
32,0.336,0.327,0.344,4.692,0.366
33,0.353,0.344,0.361,5.755,0.420
34,0.370,0.361,0.378,6.796,0.485
35,0.387,0.378,0.395,7.417,0.525
36,0.404,0.395,0.412,8.275,0.580
37,0.421,0.412,0.429,13.365,0.843
38,0.438,0.429,0.446,12.764,0.867
39,0.455,0.446,0.463,14.768,1.021
40,0.472,0.463,0.480,17.696,1.197
41,0.489,0.480,0.497,21.508,1.434
42,0.506,0.497,0.514,28.375,1.757
43,0.523,0.514,0.531,27.793,1.920
44,0.540,0.531,0.548,42.304,2.617
45,0.556,0.548,0.565,47.925,3.134
46,0.574,0.565,0.582,59.253,3.810
47,0.591,0.582,0.599,76.914,4.999
48,0.608,0.599,0.616,95.579,5.906
49,0.625,0.616,0.633,118.643,7.423
50,0.642,0.633,0.650,141.261,8.941
51,0.659,0.650,0.667,203.791,12.607
52,0.676,0.667,0.684,240.582,15.467
53,0.693,0.684,0.701,327.510,21.652
54,0.710,0.701,0.718,424.480,28.516
55,0.727,0.718,0.735,584.610,38.591
56,0.744,0.735,0.752,736.552,50.821
57,0.761,0.752,0.769,949.342,69.507
58,0.778,0.769,0.786,1278.154,99.908
59,0.795,0.786,0.803,2174.448,168.353
60,0.812,0.803,0.820,3283.147,240.867
61,0.829,0.820,0.837,3528.564,298.322
62,0.846,0.837,0.854,6043.550,550.394
63,0.863,0.854,0.871,6948.384,630.008
64,0.880,0.871,0.888,8687.733,920.045
65,0.897,0.888,0.905,10826.106,1220.070
66,0.914,0.905,0.922,13048.163,1515.917
67,0.931,0.922,0.939,10298.296,1486.479
68,0.948,0.939,0.956,8985.941,1442.242
69,0.965,0.956,0.973,4656.244,849.140
70,0.982,0.973,0.990,3387.725,512.249
71,0.999,0.990,1.007,2035.541,294.306
72,1.016,1.007,1.024,1260.142,177.594
73,1.033,1.024,1.041,755.126,91.122
74,1.050,1.041,1.058,406.838,40.515
75,1.067,1.058,1.075,277.160,31.156
76,1.084,1.075,1.092,170.942,15.517
77,1.101,1.092,1.109,130.809,12.336
78,1.118,1.109,1.126,69.123,6.776
79,1.135,1.126,1.143,52.967,5.653
80,1.152,1.143,1.160,37.412,4.179
81,1.169,1.160,1.177,18.200,2.439
82,1.186,1.177,1.194,5.927,1.150
83,1.203,1.194,1.211,2.457,1.049
84,1.220,1.211,1.228,0.808,0.318
85,1.237,1.228,1.245,0.105,0.105
86,1.254,1.245,1.262,0.012,0.012
87,1.271,1.262,1.279,0.000,0.000
88,1.288,1.279,1.296,0.000,0.000
89,1.304,1.296,1.313,0.000,0.000
90,1.322,1.313,1.330,0.000,0.000
91,1.339,1.330,1.347,0.000,0.000
92,1.356,1.347,1.364,0.000,0.000
93,1.373,1.364,1.381,0.000,0.000
94,1.390,1.381,1.398,0.000,0.000
95,1.407,1.398,1.415,0.000,0.000
96,1.424,1.415,1.432,0.000,0.000
97,1.441,1.432,1.449,0.000,0.000
98,1.458,1.449,1.466,0.000,0.000
99,1.475,1.466,1.483,0.000,0.000
100,1.492,1.483,1.500,0.000,0.000
