# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Momentum Acceptance, $\delta   
# xbins      : 40   
# xlabel     :  #delta [%]   
# xbin_width : 0.750 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.625,-15.000,-14.250,0.000,0.000
2,-13.875,-14.250,-13.500,0.000,0.000
3,-13.125,-13.500,-12.750,0.000,0.000
4,-12.375,-12.750,-12.000,0.000,0.000
5,-11.625,-12.000,-11.250,0.000,0.000
6,-10.875,-11.250,-10.500,0.000,0.000
7,-10.125,-10.500,-9.750,201.938,55.416
8,-9.375,-9.750,-9.000,1373.126,253.942
9,-8.625,-9.000,-8.250,1981.806,360.280
10,-7.875,-8.250,-7.500,3472.563,724.224
11,-7.125,-7.500,-6.750,3468.259,534.681
12,-6.375,-6.750,-6.000,4315.615,757.530
13,-5.625,-6.000,-5.250,5210.171,850.712
14,-4.875,-5.250,-4.500,4349.942,725.030
15,-4.125,-4.500,-3.750,7125.269,1223.021
16,-3.375,-3.750,-3.000,9049.498,1358.802
17,-2.625,-3.000,-2.250,7342.840,1276.296
18,-1.875,-2.250,-1.500,6915.994,1050.211
19,-1.125,-1.500,-0.750,5194.570,703.511
20,-0.375,-0.750,0.000,5578.328,695.520
21,0.375,0.000,0.750,5275.819,630.538
22,1.125,0.750,1.500,4436.162,500.247
23,1.875,1.500,2.250,3229.890,427.713
24,2.625,2.250,3.000,2783.812,265.907
25,3.375,3.000,3.750,2248.854,233.024
26,4.125,3.750,4.500,1813.981,159.996
27,4.875,4.500,5.250,1750.307,168.912
28,5.625,5.250,6.000,1414.808,128.843
29,6.375,6.000,6.750,1037.730,82.929
30,7.125,6.750,7.500,995.317,84.028
31,7.875,7.500,8.250,703.183,56.288
32,8.625,8.250,9.000,659.252,49.608
33,9.375,9.000,9.750,547.904,41.285
34,10.125,9.750,10.500,169.366,18.158
35,10.875,10.500,11.250,0.000,0.000
36,11.625,11.250,12.000,0.000,0.000
37,12.375,12.000,12.750,0.000,0.000
38,13.125,12.750,13.500,0.000,0.000
39,13.875,13.500,14.250,0.000,0.000
40,14.625,14.250,15.000,0.000,0.000
