# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, $\phi_{pq}$ (vertex)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, $\phi_{pq}$ [deg]   
# xbin_width : 3.800 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-188.100,-190.000,-186.200,0.000,0.000
2,-184.300,-186.200,-182.400,0.000,0.000
3,-180.500,-182.400,-178.600,135.057,23.495
4,-176.700,-178.600,-174.800,409.578,71.329
5,-172.900,-174.800,-171.000,401.244,51.437
6,-169.100,-171.000,-167.200,434.142,60.102
7,-165.300,-167.200,-163.400,322.555,37.975
8,-161.500,-163.400,-159.600,365.548,55.671
9,-157.700,-159.600,-155.800,292.555,39.097
10,-153.900,-155.800,-152.000,406.647,58.820
11,-150.100,-152.000,-148.200,280.815,35.580
12,-146.300,-148.200,-144.400,312.323,43.023
13,-142.500,-144.400,-140.600,320.399,50.041
14,-138.700,-140.600,-136.800,256.158,30.733
15,-134.900,-136.800,-133.000,182.849,20.062
16,-131.100,-133.000,-129.200,229.722,33.385
17,-127.300,-129.200,-125.400,157.828,19.973
18,-123.500,-125.400,-121.600,141.596,16.032
19,-119.700,-121.600,-117.800,129.630,14.439
20,-115.900,-117.800,-114.000,110.678,14.977
21,-112.100,-114.000,-110.200,110.581,14.456
22,-108.300,-110.200,-106.400,69.566,8.293
23,-104.500,-106.400,-102.600,110.200,22.607
24,-100.700,-102.600,-98.800,70.490,12.580
25,-96.900,-98.800,-95.000,51.807,10.630
26,-93.100,-95.000,-91.200,24.625,4.805
27,-89.300,-91.200,-87.400,26.452,7.919
28,-85.500,-87.400,-83.600,13.026,2.663
29,-81.700,-83.600,-79.800,12.265,4.091
30,-77.900,-79.800,-76.000,15.631,11.805
31,-74.100,-76.000,-72.200,6.421,1.960
32,-70.300,-72.200,-68.400,2.076,1.320
33,-66.500,-68.400,-64.600,0.932,0.468
34,-62.700,-64.600,-60.800,7.306,5.128
35,-58.900,-60.800,-57.000,4.059,2.198
36,-55.100,-57.000,-53.200,2.274,1.026
37,-51.300,-53.200,-49.400,0.335,0.258
38,-47.500,-49.400,-45.600,0.326,0.154
39,-43.700,-45.600,-41.800,0.161,0.058
40,-39.900,-41.800,-38.000,0.708,0.520
41,-36.100,-38.000,-34.200,6.375,4.646
42,-32.300,-34.200,-30.400,0.347,0.196
43,-28.500,-30.400,-26.600,0.272,0.141
44,-24.700,-26.600,-22.800,0.209,0.108
45,-20.900,-22.800,-19.000,0.378,0.232
46,-17.100,-19.000,-15.200,0.022,0.010
47,-13.300,-15.200,-11.400,2.545,2.505
48,-9.500,-11.400,-7.600,0.476,0.351
49,-5.700,-7.600,-3.800,0.075,0.042
50,-1.900,-3.800,0.000,0.029,0.015
51,1.900,0.000,3.800,0.577,0.463
52,5.700,3.800,7.600,0.325,0.280
53,9.500,7.600,11.400,0.217,0.074
54,13.300,11.400,15.200,0.056,0.043
55,17.100,15.200,19.000,0.087,0.041
56,20.900,19.000,22.800,0.089,0.059
57,24.700,22.800,26.600,0.130,0.060
58,28.500,26.600,30.400,11.094,11.007
59,32.300,30.400,34.200,0.197,0.171
60,36.100,34.200,38.000,0.299,0.204
61,39.900,38.000,41.800,0.152,0.092
62,43.700,41.800,45.600,3.285,2.198
63,47.500,45.600,49.400,0.233,0.124
64,51.300,49.400,53.200,3.687,2.834
65,55.100,53.200,57.000,1.447,0.806
66,58.900,57.000,60.800,0.458,0.175
67,62.700,60.800,64.600,10.946,7.590
68,66.500,64.600,68.400,0.614,0.230
69,70.300,68.400,72.200,3.438,1.558
70,74.100,72.200,76.000,10.375,6.163
71,77.900,76.000,79.800,15.475,6.140
72,81.700,79.800,83.600,15.002,5.736
73,85.500,83.600,87.400,9.938,2.539
74,89.300,87.400,91.200,46.462,13.481
75,93.100,91.200,95.000,50.857,13.326
76,96.900,95.000,98.800,69.649,14.112
77,100.700,98.800,102.600,73.967,11.934
78,104.500,102.600,106.400,78.533,9.023
79,108.300,106.400,110.200,105.383,15.245
80,112.100,110.200,114.000,116.506,13.146
81,115.900,114.000,117.800,144.955,15.542
82,119.700,117.800,121.600,227.582,31.721
83,123.500,121.600,125.400,185.978,20.466
84,127.300,125.400,129.200,221.981,34.953
85,131.100,129.200,133.000,214.147,22.980
86,134.900,133.000,136.800,214.240,25.544
87,138.700,136.800,140.600,299.254,34.905
88,142.500,140.600,144.400,301.853,40.925
89,146.300,144.400,148.200,306.450,34.071
90,150.100,148.200,152.000,379.442,47.633
91,153.900,152.000,155.800,252.503,28.380
92,157.700,155.800,159.600,332.794,38.956
93,161.500,159.600,163.400,323.659,37.611
94,165.300,163.400,167.200,385.570,52.545
95,169.100,167.200,171.000,384.892,46.139
96,172.900,171.000,174.800,339.366,46.791
97,176.700,174.800,178.600,429.229,47.777
98,180.500,178.600,182.400,108.910,19.016
99,184.300,182.400,186.200,0.000,0.000
100,188.100,186.200,190.000,0.000,0.000
