# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : $\phi_{pq}$ (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  $\theta_{rq}$ [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,    -29.6934,       82.7177
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,    -9.81394,       52.2174
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,     31.9688,       40.1854
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,       51.65,       55.7686
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,           0,             0
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,           0,             0
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,           0,             0
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,           0,             0
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,           0,             0
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,    -8.65634,       17.9025
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,     1.86797,       11.7642
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,     9.35363,       8.91439
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,     11.2281,       10.4035
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,     8.63624,       18.4255
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,           0,             0
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,           0,             0
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,           0,             0
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,           0,             0
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,     6.09607,       6.69341
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24,    -10.7309,       4.88504
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24,     1.32636,       3.98452
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24,     9.98767,       4.44416
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24,     3.74232,       6.88107
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24,     15.4991,       56.1259
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24,           0,             0
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,           0,             0
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32,     4.16724,       4.23195
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32,   -0.649826,        3.0492
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32,     3.73531,       2.72466
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32,     14.8231,       2.86577
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32,     19.2994,       4.37299
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32,    -4.32859,       49.9758
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32,           0,             0
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4,      1.7991,        3.1032
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4,     1.41824,       2.39265
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4,     4.16997,       2.20933
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4,     21.2314,        2.6075
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4,      18.145,       4.31965
     66,         6,         5,           110,       100,       120,        0.36,      0.32,         0.4,           0,             0
     67,         7,         5,           130,       120,       140,        0.36,      0.32,         0.4,           0,             0
     68,         8,         5,           150,       140,       160,        0.36,      0.32,         0.4,           0,             0
     69,         9,         5,           170,       160,       180,        0.36,      0.32,         0.4,           0,             0
     70,        10,         5,           190,       180,       200,        0.36,      0.32,         0.4,           0,             0
     73,         1,         6,            10,         0,        20,        0.44,       0.4,        0.48,    -2.56343,        2.9231
