# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Momentum Acceptance, $\delta   
# xbins      : 40   
# xlabel     :  #delta [%]   
# xbin_width : 0.750 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.625,-15.000,-14.250,0.000,0.000
2,-13.875,-14.250,-13.500,0.000,0.000
3,-13.125,-13.500,-12.750,0.000,0.000
4,-12.375,-12.750,-12.000,0.000,0.000
5,-11.625,-12.000,-11.250,0.000,0.000
6,-10.875,-11.250,-10.500,0.000,0.000
7,-10.125,-10.500,-9.750,0.025,0.001
8,-9.375,-9.750,-9.000,0.104,0.003
9,-8.625,-9.000,-8.250,0.150,0.003
10,-7.875,-8.250,-7.500,0.175,0.004
11,-7.125,-7.500,-6.750,0.195,0.004
12,-6.375,-6.750,-6.000,0.209,0.004
13,-5.625,-6.000,-5.250,0.228,0.005
14,-4.875,-5.250,-4.500,0.245,0.005
15,-4.125,-4.500,-3.750,0.280,0.006
16,-3.375,-3.750,-3.000,0.315,0.006
17,-2.625,-3.000,-2.250,0.346,0.007
18,-1.875,-2.250,-1.500,0.369,0.007
19,-1.125,-1.500,-0.750,0.406,0.008
20,-0.375,-0.750,0.000,0.442,0.009
21,0.375,0.000,0.750,0.484,0.010
22,1.125,0.750,1.500,0.541,0.011
23,1.875,1.500,2.250,0.578,0.011
24,2.625,2.250,3.000,0.595,0.012
25,3.375,3.000,3.750,0.634,0.013
26,4.125,3.750,4.500,0.641,0.013
27,4.875,4.500,5.250,0.671,0.014
28,5.625,5.250,6.000,0.717,0.015
29,6.375,6.000,6.750,0.758,0.016
30,7.125,6.750,7.500,0.733,0.016
31,7.875,7.500,8.250,0.742,0.016
32,8.625,8.250,9.000,0.748,0.016
33,9.375,9.000,9.750,0.713,0.016
34,10.125,9.750,10.500,0.230,0.009
35,10.875,10.500,11.250,0.000,0.000
36,11.625,11.250,12.000,0.000,0.000
37,12.375,12.000,12.750,0.000,0.000
38,13.125,12.750,13.500,0.000,0.000
39,13.875,13.500,14.250,0.000,0.000
40,14.625,14.250,15.000,0.000,0.000
