# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Ztar Difference   
# xbins      : 60   
# xlabel     :  z-Target Difference [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.075,0.075
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.138,0.104
5,-8.500,-8.667,-8.333,0.000,0.000
6,-8.167,-8.333,-8.000,0.069,0.069
7,-7.833,-8.000,-7.667,0.193,0.114
8,-7.500,-7.667,-7.333,0.144,0.103
9,-7.167,-7.333,-7.000,1.554,0.876
10,-6.833,-7.000,-6.667,0.446,0.179
11,-6.500,-6.667,-6.333,2.715,1.266
12,-6.167,-6.333,-6.000,1.176,0.718
13,-5.833,-6.000,-5.667,9.966,4.718
14,-5.500,-5.667,-5.333,3.164,0.737
15,-5.167,-5.333,-5.000,8.054,2.730
16,-4.833,-5.000,-4.667,6.570,1.381
17,-4.500,-4.667,-4.333,13.034,2.726
18,-4.167,-4.333,-4.000,19.058,3.445
19,-3.833,-4.000,-3.667,35.170,6.631
20,-3.500,-3.667,-3.333,49.047,8.768
21,-3.167,-3.333,-3.000,90.447,11.415
22,-2.833,-3.000,-2.667,117.071,15.677
23,-2.500,-2.667,-2.333,201.894,17.146
24,-2.167,-2.333,-2.000,264.415,19.959
25,-1.833,-2.000,-1.667,315.967,21.017
26,-1.500,-1.667,-1.333,391.295,22.503
27,-1.167,-1.333,-1.000,510.581,26.724
28,-0.833,-1.000,-0.667,606.804,26.134
29,-0.500,-0.667,-0.333,718.701,34.051
30,-0.167,-0.333,0.000,774.377,32.476
31,0.167,0.000,0.333,660.772,28.144
32,0.500,0.333,0.667,705.673,31.948
33,0.833,0.667,1.000,660.505,31.210
34,1.167,1.000,1.333,519.938,28.114
35,1.500,1.333,1.667,449.435,28.410
36,1.833,1.667,2.000,369.573,23.195
37,2.167,2.000,2.333,236.197,18.281
38,2.500,2.333,2.667,168.524,14.371
39,2.833,2.667,3.000,138.405,13.957
40,3.167,3.000,3.333,96.718,10.016
41,3.500,3.333,3.667,83.142,11.160
42,3.833,3.667,4.000,71.376,14.379
43,4.167,4.000,4.333,31.097,5.886
44,4.500,4.333,4.667,16.432,4.109
45,4.833,4.667,5.000,14.113,4.201
46,5.167,5.000,5.333,10.074,2.843
47,5.500,5.333,5.667,8.902,2.668
48,5.833,5.667,6.000,1.544,0.446
49,6.167,6.000,6.333,1.489,0.416
50,6.500,6.333,6.667,2.352,1.109
51,6.833,6.667,7.000,0.586,0.302
52,7.167,7.000,7.333,0.851,0.533
53,7.500,7.333,7.667,0.413,0.251
54,7.833,7.667,8.000,0.166,0.135
55,8.167,8.000,8.333,0.333,0.248
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.140,0.140
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
