# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS Y'_{tar}   
# xbins      : 60   
# xlabel     :  Y'_{tar} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.000,0.000
7,-0.047,-0.048,-0.046,0.000,0.000
8,-0.045,-0.046,-0.044,0.000,0.000
9,-0.043,-0.044,-0.042,0.000,0.000
10,-0.041,-0.042,-0.040,0.000,0.000
11,-0.039,-0.040,-0.038,0.000,0.000
12,-0.037,-0.038,-0.036,0.000,0.000
13,-0.035,-0.036,-0.034,0.000,0.000
14,-0.033,-0.034,-0.032,0.000,0.000
15,-0.031,-0.032,-0.030,0.004,0.004
16,-0.029,-0.030,-0.028,12.016,3.591
17,-0.027,-0.028,-0.026,467.548,32.347
18,-0.025,-0.026,-0.024,2128.120,69.288
19,-0.023,-0.024,-0.022,2847.268,81.486
20,-0.021,-0.022,-0.020,2927.508,79.953
21,-0.019,-0.020,-0.018,2961.633,80.798
22,-0.017,-0.018,-0.016,2722.179,75.847
23,-0.015,-0.016,-0.014,2749.179,76.290
24,-0.013,-0.014,-0.012,2451.418,68.861
25,-0.011,-0.012,-0.010,2261.628,64.225
26,-0.009,-0.010,-0.008,1893.854,56.332
27,-0.007,-0.008,-0.006,1506.395,45.430
28,-0.005,-0.006,-0.004,1230.956,39.880
29,-0.003,-0.004,-0.002,776.305,26.028
30,-0.001,-0.002,0.000,502.630,16.741
31,0.001,0.000,0.002,314.403,10.447
32,0.003,0.002,0.004,173.248,5.510
33,0.005,0.004,0.006,111.902,3.275
34,0.007,0.006,0.008,61.756,1.786
35,0.009,0.008,0.010,39.042,1.056
36,0.011,0.010,0.012,22.967,0.591
37,0.013,0.012,0.014,13.446,0.325
38,0.015,0.014,0.016,8.983,0.207
39,0.017,0.016,0.018,5.562,0.122
40,0.019,0.018,0.020,3.657,0.077
41,0.021,0.020,0.022,2.228,0.046
42,0.023,0.022,0.024,1.274,0.029
43,0.025,0.024,0.026,0.484,0.015
44,0.027,0.026,0.028,0.060,0.004
45,0.029,0.028,0.030,0.001,0.000
46,0.031,0.030,0.032,0.000,0.000
47,0.033,0.032,0.034,0.000,0.000
48,0.035,0.034,0.036,0.000,0.000
49,0.037,0.036,0.038,0.000,0.000
50,0.039,0.038,0.040,0.000,0.000
51,0.041,0.040,0.042,0.000,0.000
52,0.043,0.042,0.044,0.000,0.000
53,0.045,0.044,0.046,0.000,0.000
54,0.047,0.046,0.048,0.000,0.000
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
