# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y_{fp}   
# xbins      : 60   
# xlabel     :  Y_{fp} [cm]   
# xbin_width : 0.667 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.667,-15.000,-14.333,10.065,0.773
2,-14.000,-14.333,-13.667,13.722,1.025
3,-13.333,-13.667,-13.000,16.440,1.151
4,-12.667,-13.000,-12.333,22.717,1.421
5,-12.000,-12.333,-11.667,30.026,1.923
6,-11.333,-11.667,-11.000,42.875,2.561
7,-10.667,-11.000,-10.333,54.279,2.971
8,-10.000,-10.333,-9.667,74.727,4.128
9,-9.333,-9.667,-9.000,95.109,5.237
10,-8.667,-9.000,-8.333,115.638,6.243
11,-8.000,-8.333,-7.667,152.415,8.182
12,-7.333,-7.667,-7.000,182.671,9.087
13,-6.667,-7.000,-6.333,248.890,12.791
14,-6.000,-6.333,-5.667,324.088,16.662
15,-5.333,-5.667,-5.000,430.836,21.479
16,-4.667,-5.000,-4.333,551.971,27.644
17,-4.000,-4.333,-3.667,718.249,32.113
18,-3.333,-3.667,-3.000,902.164,42.466
19,-2.667,-3.000,-2.333,1165.688,48.565
20,-2.000,-2.333,-1.667,1558.718,59.341
21,-1.333,-1.667,-1.000,1852.112,65.138
22,-0.667,-1.000,-0.333,2150.939,73.660
23,-0.000,-0.333,0.333,2010.056,69.359
24,0.667,0.333,1.000,2139.481,71.331
25,1.333,1.000,1.667,2003.441,69.570
26,2.000,1.667,2.333,1619.888,58.686
27,2.667,2.333,3.000,1453.683,56.758
28,3.333,3.000,3.667,1144.265,48.850
29,4.000,3.667,4.333,1055.832,46.932
30,4.667,4.333,5.000,927.152,44.902
31,5.333,5.000,5.667,704.200,33.886
32,6.000,5.667,6.333,652.523,34.308
33,6.667,6.333,7.000,568.879,31.214
34,7.333,7.000,7.667,607.683,34.243
35,8.000,7.667,8.333,479.316,29.652
36,8.667,8.333,9.000,398.799,26.035
37,9.333,9.000,9.667,314.877,21.666
38,10.000,9.667,10.333,302.115,21.912
39,10.667,10.333,11.000,257.405,19.952
40,11.333,11.000,11.667,218.931,17.650
41,12.000,11.667,12.333,184.212,17.318
42,12.667,12.333,13.000,154.853,15.600
43,13.333,13.000,13.667,117.755,12.061
44,14.000,13.667,14.333,130.598,14.977
45,14.667,14.333,15.000,90.462,11.682
46,15.333,15.000,15.667,91.666,12.816
47,16.000,15.667,16.333,39.626,7.969
48,16.667,16.333,17.000,53.575,10.064
49,17.333,17.000,17.667,28.322,6.417
50,18.000,17.667,18.333,17.764,5.411
51,18.667,18.333,19.000,13.092,4.274
52,19.333,19.000,19.667,7.443,3.429
53,20.000,19.667,20.333,1.390,0.645
54,20.667,20.333,21.000,0.382,0.098
55,21.333,21.000,21.667,0.279,0.092
56,22.000,21.667,22.333,0.220,0.073
57,22.667,22.333,23.000,0.003,0.003
58,23.333,23.000,23.667,0.000,0.000
59,24.000,23.667,24.333,0.000,0.000
60,24.667,24.333,25.000,0.000,0.000
