# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W (no cuts, DAQ rates)   
# xbins      : 100   
# xlabel     :  invariant mass, W [Gev]   
# xbin_width : 0.010 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.505,0.500,0.510,10.131,0.370
2,0.515,0.510,0.520,10.655,0.379
3,0.525,0.520,0.530,13.665,0.483
4,0.535,0.530,0.540,14.292,0.511
5,0.545,0.540,0.550,15.141,0.534
6,0.555,0.550,0.560,16.149,0.572
7,0.565,0.560,0.570,17.835,0.632
8,0.575,0.570,0.580,20.903,0.744
9,0.585,0.580,0.590,21.309,0.741
10,0.595,0.590,0.600,24.363,0.854
11,0.605,0.600,0.610,26.038,0.920
12,0.615,0.610,0.620,29.189,1.023
13,0.625,0.620,0.630,32.642,1.126
14,0.635,0.630,0.640,35.393,1.252
15,0.645,0.640,0.650,38.225,1.357
16,0.655,0.650,0.660,45.543,1.595
17,0.665,0.660,0.670,48.032,1.733
18,0.675,0.670,0.680,55.401,1.936
19,0.685,0.680,0.690,63.121,2.237
20,0.695,0.690,0.700,63.875,2.352
21,0.705,0.700,0.710,78.074,2.777
22,0.715,0.710,0.720,85.195,3.090
23,0.725,0.720,0.730,95.167,3.572
24,0.735,0.730,0.740,102.864,3.680
25,0.745,0.740,0.750,118.309,4.328
26,0.755,0.750,0.760,138.419,5.122
27,0.765,0.760,0.770,152.245,5.917
28,0.775,0.770,0.780,178.055,6.877
29,0.785,0.780,0.790,202.503,7.711
30,0.795,0.790,0.800,228.769,8.772
31,0.805,0.800,0.810,243.842,9.551
32,0.815,0.810,0.820,277.645,11.090
33,0.825,0.820,0.830,314.052,12.181
34,0.835,0.830,0.840,372.223,15.235
35,0.845,0.840,0.850,434.409,17.770
36,0.855,0.850,0.860,428.277,17.659
37,0.865,0.860,0.870,507.941,21.541
38,0.875,0.870,0.880,563.947,24.099
39,0.885,0.880,0.890,597.642,26.082
40,0.895,0.890,0.900,656.098,27.793
41,0.905,0.900,0.910,720.262,31.134
42,0.915,0.910,0.920,768.449,34.010
43,0.925,0.920,0.930,823.084,36.121
44,0.935,0.930,0.940,838.554,36.607
45,0.945,0.940,0.950,903.448,39.494
46,0.955,0.950,0.960,946.220,41.289
47,0.965,0.960,0.970,1003.262,43.461
48,0.975,0.970,0.980,978.106,42.292
49,0.985,0.980,0.990,906.189,40.698
50,0.995,0.990,1.000,911.962,38.997
51,1.005,1.000,1.010,785.663,35.014
52,1.015,1.010,1.020,732.093,32.786
53,1.025,1.020,1.030,670.312,29.653
54,1.035,1.030,1.040,628.289,28.905
55,1.045,1.040,1.050,552.078,24.701
56,1.055,1.050,1.060,484.090,22.216
57,1.065,1.060,1.070,442.766,20.908
58,1.075,1.070,1.080,397.949,20.783
59,1.085,1.080,1.090,374.118,19.169
60,1.095,1.090,1.100,342.220,18.442
61,1.105,1.100,1.110,299.135,16.160
62,1.115,1.110,1.120,270.166,14.683
63,1.125,1.120,1.130,222.457,13.637
64,1.135,1.130,1.140,217.477,14.229
65,1.145,1.140,1.150,203.093,13.507
66,1.155,1.150,1.160,164.138,11.526
67,1.165,1.160,1.170,177.545,12.733
68,1.175,1.170,1.180,162.535,12.633
69,1.185,1.180,1.190,151.774,11.731
70,1.195,1.190,1.200,154.739,12.339
71,1.205,1.200,1.210,137.229,13.763
72,1.215,1.210,1.220,141.957,12.661
73,1.225,1.220,1.230,125.723,11.836
74,1.235,1.230,1.240,106.961,9.488
75,1.245,1.240,1.250,139.531,14.426
76,1.255,1.250,1.260,132.423,13.611
77,1.265,1.260,1.270,114.702,13.089
78,1.275,1.270,1.280,118.192,12.735
79,1.285,1.280,1.290,111.443,12.349
80,1.295,1.290,1.300,106.600,10.721
81,1.305,1.300,1.310,121.770,12.136
82,1.315,1.310,1.320,87.350,8.233
83,1.325,1.320,1.330,107.623,11.449
84,1.335,1.330,1.340,114.469,12.809
85,1.345,1.340,1.350,98.174,10.840
86,1.355,1.350,1.360,98.019,10.771
87,1.365,1.360,1.370,103.945,12.159
88,1.375,1.370,1.380,79.575,9.513
89,1.385,1.380,1.390,81.661,9.290
90,1.395,1.390,1.400,76.360,9.039
91,1.405,1.400,1.410,87.708,10.279
92,1.415,1.410,1.420,70.126,8.150
93,1.425,1.420,1.430,98.547,12.268
94,1.435,1.430,1.440,97.414,12.259
95,1.445,1.440,1.450,72.180,8.789
96,1.455,1.450,1.460,81.063,9.020
97,1.465,1.460,1.470,92.107,10.962
98,1.475,1.470,1.480,70.229,8.688
99,1.485,1.480,1.490,64.000,7.601
100,1.495,1.490,1.500,81.043,10.120
