# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : $\phi_{pq}$ (2D Average) 
# ybins      : 30 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 19 
# xlabel     :  $\theta_{rq}$ [deg] 
# ybin_width : 0.040 
# xbin_width : 10.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     22,         1,         1,             5,         0,        10,        0.02,         0,        0.04,           0,             0
     23,         2,         1,            15,        10,        20,        0.02,         0,        0.04,     110.991,       156.965
     24,         3,         1,            25,        20,        30,        0.02,         0,        0.04,    -9.25054,       50.2974
     25,         4,         1,            35,        30,        40,        0.02,         0,        0.04,    -93.7739,       99.8122
     26,         5,         1,            45,        40,        50,        0.02,         0,        0.04,     18.2825,       64.1044
     27,         6,         1,            55,        50,        60,        0.02,         0,        0.04,    -1.36827,       29.6267
     28,         7,         1,            65,        60,        70,        0.02,         0,        0.04,     29.7792,       13.8556
     29,         8,         1,            75,        70,        80,        0.02,         0,        0.04,     8.99867,       5.69771
     30,         9,         1,            85,        80,        90,        0.02,         0,        0.04,    -3.62423,       3.27195
     31,        10,         1,            95,        90,       100,        0.02,         0,        0.04,     8.16267,       6.49232
     32,        11,         1,           105,       100,       110,        0.02,         0,        0.04,     14.8997,       16.9718
     33,        12,         1,           115,       110,       120,        0.02,         0,        0.04,    -28.2427,       54.4202
     34,        13,         1,           125,       120,       130,        0.02,         0,        0.04,    -155.239,       129.253
     35,        14,         1,           135,       130,       140,        0.02,         0,        0.04,    -7.41027,       86.5062
     36,        15,         1,           145,       140,       150,        0.02,         0,        0.04,           0,             0
     37,        16,         1,           155,       150,       160,        0.02,         0,        0.04,           0,             0
     38,        17,         1,           165,       160,       170,        0.02,         0,        0.04,           0,             0
     39,        18,         1,           175,       170,       180,        0.02,         0,        0.04,           0,             0
     40,        19,         1,           185,       180,       190,        0.02,         0,        0.04,           0,             0
