# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.003 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.079,-0.080,-0.077,0.000,0.000
2,-0.076,-0.077,-0.075,0.000,0.000
3,-0.073,-0.075,-0.072,0.000,0.000
4,-0.071,-0.072,-0.069,0.000,0.000
5,-0.068,-0.069,-0.067,0.000,0.000
6,-0.065,-0.067,-0.064,0.000,0.000
7,-0.063,-0.064,-0.061,0.000,0.000
8,-0.060,-0.061,-0.059,0.011,0.002
9,-0.057,-0.059,-0.056,0.108,0.006
10,-0.055,-0.056,-0.053,0.272,0.011
11,-0.052,-0.053,-0.051,0.389,0.013
12,-0.049,-0.051,-0.048,0.520,0.016
13,-0.047,-0.048,-0.045,0.629,0.018
14,-0.044,-0.045,-0.043,0.751,0.020
15,-0.041,-0.043,-0.040,0.960,0.025
16,-0.039,-0.040,-0.037,1.118,0.028
17,-0.036,-0.037,-0.035,1.367,0.034
18,-0.033,-0.035,-0.032,1.596,0.038
19,-0.031,-0.032,-0.029,1.912,0.047
20,-0.028,-0.029,-0.027,2.172,0.051
21,-0.025,-0.027,-0.024,2.721,0.070
22,-0.023,-0.024,-0.021,3.107,0.085
23,-0.020,-0.021,-0.019,3.699,0.104
24,-0.017,-0.019,-0.016,4.389,0.125
25,-0.015,-0.016,-0.013,5.144,0.156
26,-0.012,-0.013,-0.011,6.453,0.223
27,-0.009,-0.011,-0.008,8.772,0.357
28,-0.007,-0.008,-0.005,9.905,0.421
29,-0.004,-0.005,-0.003,14.150,0.570
30,-0.001,-0.003,0.000,18.197,0.797
31,0.001,0.000,0.003,25.371,1.492
32,0.004,0.003,0.005,36.102,2.370
33,0.007,0.005,0.008,44.884,2.536
34,0.009,0.008,0.011,69.101,5.720
35,0.012,0.011,0.013,103.553,7.830
36,0.015,0.013,0.016,119.607,8.605
37,0.017,0.016,0.019,243.559,23.724
38,0.020,0.019,0.021,301.463,27.249
39,0.023,0.021,0.024,319.645,26.144
40,0.025,0.024,0.027,363.598,29.258
41,0.028,0.027,0.029,467.965,41.093
42,0.031,0.029,0.032,426.366,37.867
43,0.033,0.032,0.035,426.997,35.625
44,0.036,0.035,0.037,444.586,40.583
45,0.039,0.037,0.040,385.636,35.885
46,0.041,0.040,0.043,337.655,36.542
47,0.044,0.043,0.045,251.302,26.644
48,0.047,0.045,0.048,191.846,24.232
49,0.049,0.048,0.051,178.289,25.887
50,0.052,0.051,0.053,104.470,18.153
51,0.055,0.053,0.056,64.323,16.048
52,0.057,0.056,0.059,0.952,0.529
53,0.060,0.059,0.061,0.000,0.000
54,0.063,0.061,0.064,0.000,0.000
55,0.065,0.064,0.067,0.000,0.000
56,0.068,0.067,0.069,0.000,0.000
57,0.071,0.069,0.072,0.000,0.000
58,0.073,0.072,0.075,0.000,0.000
59,0.076,0.075,0.077,0.000,0.000
60,0.079,0.077,0.080,0.000,0.000
