# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS z-Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.000,0.000
5,-8.500,-8.667,-8.333,0.000,0.000
6,-8.167,-8.333,-8.000,0.000,0.000
7,-7.833,-8.000,-7.667,0.000,0.000
8,-7.500,-7.667,-7.333,0.000,0.000
9,-7.167,-7.333,-7.000,0.000,0.000
10,-6.833,-7.000,-6.667,0.000,0.000
11,-6.500,-6.667,-6.333,0.000,0.000
12,-6.167,-6.333,-6.000,0.000,0.000
13,-5.833,-6.000,-5.667,0.032,0.032
14,-5.500,-5.667,-5.333,0.000,0.000
15,-5.167,-5.333,-5.000,0.204,0.123
16,-4.833,-5.000,-4.667,0.280,0.110
17,-4.500,-4.667,-4.333,0.588,0.139
18,-4.167,-4.333,-4.000,3.117,0.541
19,-3.833,-4.000,-3.667,6.255,1.065
20,-3.500,-3.667,-3.333,19.383,1.979
21,-3.167,-3.333,-3.000,26.634,1.778
22,-2.833,-3.000,-2.667,55.836,3.481
23,-2.500,-2.667,-2.333,83.873,3.730
24,-2.167,-2.333,-2.000,117.704,4.324
25,-1.833,-2.000,-1.667,163.976,4.830
26,-1.500,-1.667,-1.333,212.260,5.484
27,-1.167,-1.333,-1.000,261.936,6.264
28,-0.833,-1.000,-0.667,294.151,6.522
29,-0.500,-0.667,-0.333,316.480,7.148
30,-0.167,-0.333,0.000,326.877,7.121
31,0.167,0.000,0.333,315.116,6.566
32,0.500,0.333,0.667,292.624,6.405
33,0.833,0.667,1.000,259.690,5.784
34,1.167,1.000,1.333,214.924,5.246
35,1.500,1.333,1.667,177.722,5.069
36,1.833,1.667,2.000,133.287,3.885
37,2.167,2.000,2.333,93.495,3.293
38,2.500,2.333,2.667,65.604,2.789
39,2.833,2.667,3.000,35.953,2.024
40,3.167,3.000,3.333,20.771,1.421
41,3.500,3.333,3.667,8.937,1.027
42,3.833,3.667,4.000,4.245,0.639
43,4.167,4.000,4.333,1.681,0.375
44,4.500,4.333,4.667,0.676,0.192
45,4.833,4.667,5.000,0.154,0.055
46,5.167,5.000,5.333,0.010,0.009
47,5.500,5.333,5.667,0.000,0.000
48,5.833,5.667,6.000,0.000,0.000
49,6.167,6.000,6.333,0.000,0.000
50,6.500,6.333,6.667,0.000,0.000
51,6.833,6.667,7.000,0.000,0.000
52,7.167,7.000,7.333,0.000,0.000
53,7.500,7.333,7.667,0.000,0.000
54,7.833,7.667,8.000,0.000,0.000
55,8.167,8.000,8.333,0.000,0.000
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.000,0.000
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
