# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, cos($\phi_{pq}$)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, cos($\phi_{pq}$)   
# xbin_width : 0.024 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-1.188,-1.200,-1.176,0.000,0.000
2,-1.164,-1.176,-1.152,0.000,0.000
3,-1.140,-1.152,-1.128,0.000,0.000
4,-1.116,-1.128,-1.104,0.000,0.000
5,-1.092,-1.104,-1.080,0.000,0.000
6,-1.068,-1.080,-1.056,0.000,0.000
7,-1.044,-1.056,-1.032,0.000,0.000
8,-1.020,-1.032,-1.008,0.000,0.000
9,-0.996,-1.008,-0.984,182932.125,5493.435
10,-0.972,-0.984,-0.960,104272.062,4017.926
11,-0.948,-0.960,-0.936,80079.164,3964.008
12,-0.924,-0.936,-0.912,62854.609,2970.843
13,-0.900,-0.912,-0.888,55014.047,2918.577
14,-0.876,-0.888,-0.864,51900.969,2953.273
15,-0.852,-0.864,-0.840,39843.859,2456.909
16,-0.828,-0.840,-0.816,41252.953,2604.518
17,-0.804,-0.816,-0.792,31873.223,1905.264
18,-0.780,-0.792,-0.768,34727.781,2450.679
19,-0.756,-0.768,-0.744,31564.635,2145.997
20,-0.732,-0.744,-0.720,31411.160,2320.665
21,-0.708,-0.720,-0.696,30613.076,2134.875
22,-0.684,-0.696,-0.672,27215.867,1902.053
23,-0.660,-0.672,-0.648,22488.146,1850.330
24,-0.636,-0.648,-0.624,21918.791,1551.827
25,-0.612,-0.624,-0.600,23035.268,2079.322
26,-0.588,-0.600,-0.576,21752.115,1788.006
27,-0.564,-0.576,-0.552,20716.039,1876.956
28,-0.540,-0.552,-0.528,20449.527,1977.395
29,-0.516,-0.528,-0.504,18100.510,1576.024
30,-0.492,-0.504,-0.480,15950.104,1374.412
31,-0.468,-0.480,-0.456,19008.871,1788.203
32,-0.444,-0.456,-0.432,15467.034,1268.688
33,-0.420,-0.432,-0.408,15751.507,1544.060
34,-0.396,-0.408,-0.384,15055.798,1524.010
35,-0.372,-0.384,-0.360,13141.962,1061.396
36,-0.348,-0.360,-0.336,12521.484,1341.125
37,-0.324,-0.336,-0.312,12059.327,1200.210
38,-0.300,-0.312,-0.288,11197.646,1316.986
39,-0.276,-0.288,-0.264,10775.495,1451.459
40,-0.252,-0.264,-0.240,9331.679,1271.489
41,-0.228,-0.240,-0.216,10365.364,1237.184
42,-0.204,-0.216,-0.192,8585.985,817.884
43,-0.180,-0.192,-0.168,9294.300,1144.764
44,-0.156,-0.168,-0.144,8412.749,1081.046
45,-0.132,-0.144,-0.120,7480.328,828.891
46,-0.108,-0.120,-0.096,6486.666,893.686
47,-0.084,-0.096,-0.072,6592.110,1008.859
48,-0.060,-0.072,-0.048,7516.980,1400.241
49,-0.036,-0.048,-0.024,5004.006,826.057
50,-0.012,-0.024,0.000,6566.056,1079.412
51,0.012,0.000,0.024,5482.025,981.283
52,0.036,0.024,0.048,4293.385,992.511
53,0.060,0.048,0.072,5711.750,1144.455
54,0.084,0.072,0.096,2673.154,530.653
55,0.108,0.096,0.120,4381.924,872.273
56,0.132,0.120,0.144,3648.546,768.165
57,0.156,0.144,0.168,2947.823,614.154
58,0.180,0.168,0.192,2012.392,359.048
59,0.204,0.192,0.216,2520.573,560.160
60,0.228,0.216,0.240,1582.771,286.556
61,0.252,0.240,0.264,2448.237,915.425
62,0.276,0.264,0.288,3233.730,1173.172
63,0.300,0.288,0.312,1677.758,378.684
64,0.324,0.312,0.336,1512.035,421.335
65,0.348,0.336,0.360,1620.197,378.801
66,0.372,0.360,0.384,1290.038,371.239
67,0.396,0.384,0.408,876.307,483.860
68,0.420,0.408,0.432,1449.290,391.400
69,0.444,0.432,0.456,2036.384,1023.617
70,0.468,0.456,0.480,515.705,114.901
71,0.492,0.480,0.504,1519.281,620.778
72,0.516,0.504,0.528,463.133,105.570
73,0.540,0.528,0.552,1384.756,638.555
74,0.564,0.552,0.576,914.633,391.150
75,0.588,0.576,0.600,377.358,83.390
76,0.612,0.600,0.624,575.180,303.927
77,0.636,0.624,0.648,983.449,441.175
78,0.660,0.648,0.672,861.754,595.054
79,0.684,0.672,0.696,1534.341,705.655
80,0.708,0.696,0.720,449.933,109.297
81,0.732,0.720,0.744,757.137,220.430
82,0.756,0.744,0.768,763.928,246.910
83,0.780,0.768,0.792,1321.942,669.544
84,0.804,0.792,0.816,509.547,174.733
85,0.828,0.816,0.840,647.066,196.648
86,0.852,0.840,0.864,1627.900,706.582
87,0.876,0.864,0.888,880.644,417.889
88,0.900,0.888,0.912,844.878,398.247
89,0.924,0.912,0.936,1480.633,741.947
90,0.948,0.936,0.960,954.129,354.830
91,0.972,0.960,0.984,1952.454,658.308
92,0.996,0.984,1.008,1444.619,275.096
93,1.020,1.008,1.032,0.000,0.000
94,1.044,1.032,1.056,0.000,0.000
95,1.068,1.056,1.080,0.000,0.000
96,1.092,1.080,1.104,0.000,0.000
97,1.116,1.104,1.128,0.000,0.000
98,1.140,1.128,1.152,0.000,0.000
99,1.164,1.152,1.176,0.000,0.000
100,1.188,1.176,1.200,0.000,0.000
