# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, $\phi_{pq}$   
# xbins      : 200   
# xlabel     :  out-of-plane angle, $\phi_{pq}$ [deg]   
# xbin_width : 1.900 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-189.050,-190.000,-188.100,0.000,0.000
2,-187.150,-188.100,-186.200,0.000,0.000
3,-185.250,-186.200,-184.300,0.000,0.000
4,-183.350,-184.300,-182.400,0.000,0.000
5,-181.450,-182.400,-180.500,0.000,0.000
6,-179.550,-180.500,-178.600,34.605,2.003
7,-177.650,-178.600,-176.700,50.052,2.540
8,-175.750,-176.700,-174.800,45.943,2.345
9,-173.850,-174.800,-172.900,48.893,2.531
10,-171.950,-172.900,-171.000,43.305,2.249
11,-170.050,-171.000,-169.100,46.343,2.290
12,-168.150,-169.100,-167.200,43.385,2.177
13,-166.250,-167.200,-165.300,47.859,2.445
14,-164.350,-165.300,-163.400,44.377,2.060
15,-162.450,-163.400,-161.500,44.444,2.278
16,-160.550,-161.500,-159.600,45.652,2.291
17,-158.650,-159.600,-157.700,45.659,2.211
18,-156.750,-157.700,-155.800,41.497,1.922
19,-154.850,-155.800,-153.900,44.875,2.037
20,-152.950,-153.900,-152.000,44.644,1.931
21,-151.050,-152.000,-150.100,39.789,1.763
22,-149.150,-150.100,-148.200,40.704,1.724
23,-147.250,-148.200,-146.300,42.432,1.746
24,-145.350,-146.300,-144.400,45.404,1.826
25,-143.450,-144.400,-142.500,41.615,1.672
26,-141.550,-142.500,-140.600,42.330,1.597
27,-139.650,-140.600,-138.700,42.278,1.632
28,-137.750,-138.700,-136.800,41.854,1.493
29,-135.850,-136.800,-134.900,42.299,1.413
30,-133.950,-134.900,-133.000,43.794,1.457
31,-132.050,-133.000,-131.100,41.588,1.271
32,-130.150,-131.100,-129.200,41.009,1.253
33,-128.250,-129.200,-127.300,43.890,1.208
34,-126.350,-127.300,-125.400,42.757,1.084
35,-124.450,-125.400,-123.500,44.156,1.124
36,-122.550,-123.500,-121.600,43.521,1.016
37,-120.650,-121.600,-119.700,42.653,0.944
38,-118.750,-119.700,-117.800,40.615,0.878
39,-116.850,-117.800,-115.900,38.636,0.812
40,-114.950,-115.900,-114.000,36.021,0.764
41,-113.050,-114.000,-112.100,32.757,0.719
42,-111.150,-112.100,-110.200,29.447,0.687
43,-109.250,-110.200,-108.300,24.866,0.598
44,-107.350,-108.300,-106.400,21.506,0.530
45,-105.450,-106.400,-104.500,18.175,0.493
46,-103.550,-104.500,-102.600,14.427,0.400
47,-101.650,-102.600,-100.700,11.427,0.426
48,-99.750,-100.700,-98.800,8.064,0.337
49,-97.850,-98.800,-96.900,5.368,0.280
50,-95.950,-96.900,-95.000,3.345,0.243
51,-94.050,-95.000,-93.100,2.081,0.186
52,-92.150,-93.100,-91.200,1.141,0.137
53,-90.250,-91.200,-89.300,0.929,0.156
54,-88.350,-89.300,-87.400,0.498,0.128
55,-86.450,-87.400,-85.500,0.250,0.063
