# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W (no cuts, DAQ rates)   
# xbins      : 100   
# xlabel     :  invariant mass, W [Gev]   
# xbin_width : 0.017 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.192,-0.200,-0.183,1.621,0.041
2,-0.174,-0.183,-0.166,1.519,0.040
3,-0.158,-0.166,-0.149,1.484,0.041
4,-0.141,-0.149,-0.132,1.378,0.040
5,-0.123,-0.132,-0.115,1.261,0.039
6,-0.107,-0.115,-0.098,1.115,0.037
7,-0.089,-0.098,-0.081,0.978,0.035
8,-0.073,-0.081,-0.064,0.746,0.030
9,-0.055,-0.064,-0.047,0.607,0.028
10,-0.038,-0.047,-0.030,0.453,0.024
11,-0.022,-0.030,-0.013,0.226,0.017
12,-0.005,-0.013,0.004,0.066,0.009
13,0.013,0.004,0.021,0.133,0.013
14,0.030,0.021,0.038,0.333,0.020
15,0.046,0.038,0.055,0.584,0.028
16,0.064,0.055,0.072,0.730,0.031
17,0.081,0.072,0.089,0.976,0.037
18,0.098,0.089,0.106,1.223,0.041
19,0.115,0.106,0.123,1.437,0.045
20,0.132,0.123,0.140,1.772,0.051
21,0.149,0.140,0.157,1.928,0.053
22,0.166,0.157,0.174,2.390,0.061
23,0.182,0.174,0.191,2.614,0.065
24,0.200,0.191,0.208,3.236,0.074
25,0.217,0.208,0.225,3.584,0.080
26,0.234,0.225,0.242,4.218,0.089
27,0.251,0.242,0.259,4.750,0.098
28,0.268,0.259,0.276,5.367,0.107
29,0.285,0.276,0.293,5.907,0.115
30,0.301,0.293,0.310,7.206,0.135
31,0.319,0.310,0.327,8.254,0.150
32,0.336,0.327,0.344,9.198,0.165
33,0.353,0.344,0.361,10.900,0.189
34,0.370,0.361,0.378,13.210,0.220
35,0.387,0.378,0.395,14.957,0.248
36,0.404,0.395,0.412,17.720,0.287
37,0.421,0.412,0.429,20.354,0.326
38,0.438,0.429,0.446,24.343,0.384
39,0.455,0.446,0.463,29.286,0.453
40,0.472,0.463,0.480,34.974,0.538
41,0.489,0.480,0.497,41.114,0.630
42,0.506,0.497,0.514,52.756,0.788
43,0.523,0.514,0.531,62.952,0.940
44,0.540,0.531,0.548,80.614,1.200
45,0.556,0.548,0.565,100.114,1.488
46,0.574,0.565,0.582,125.574,1.862
47,0.591,0.582,0.599,161.712,2.343
48,0.608,0.599,0.616,205.343,3.061
49,0.625,0.616,0.633,263.703,3.942
50,0.642,0.633,0.650,354.747,5.257
51,0.659,0.650,0.667,471.990,7.036
52,0.676,0.667,0.684,630.673,9.544
53,0.693,0.684,0.701,848.830,12.928
54,0.710,0.701,0.718,1200.133,18.372
55,0.727,0.718,0.735,1753.860,27.050
56,0.744,0.735,0.752,2403.029,37.759
57,0.761,0.752,0.769,3451.533,56.599
58,0.778,0.769,0.786,5038.721,86.130
59,0.795,0.786,0.803,7742.111,134.018
60,0.812,0.803,0.820,11480.252,209.466
61,0.829,0.820,0.837,18370.693,358.769
62,0.846,0.837,0.854,27108.547,562.695
63,0.863,0.854,0.871,42390.105,968.074
64,0.880,0.871,0.888,62996.570,1532.802
65,0.897,0.888,0.905,80653.047,2149.377
66,0.914,0.905,0.922,92029.320,2743.678
67,0.931,0.922,0.939,91256.891,2861.912
68,0.948,0.939,0.956,77410.398,2555.169
69,0.965,0.956,0.973,56198.133,1987.368
70,0.982,0.973,0.990,38365.492,1375.215
71,0.999,0.990,1.007,27948.705,1143.550
72,1.016,1.007,1.024,20922.260,1002.684
73,1.033,1.024,1.041,16152.812,915.463
74,1.050,1.041,1.058,13860.532,882.603
75,1.067,1.058,1.075,12142.739,901.546
76,1.084,1.075,1.092,9641.771,726.767
77,1.101,1.092,1.109,8351.130,672.633
78,1.118,1.109,1.126,8249.186,684.574
79,1.135,1.126,1.143,7880.529,804.183
80,1.152,1.143,1.160,6010.761,636.009
81,1.169,1.160,1.177,6770.903,634.673
82,1.186,1.177,1.194,6449.651,668.744
83,1.203,1.194,1.211,6239.265,791.992
84,1.220,1.211,1.228,7415.745,775.214
85,1.237,1.228,1.245,5587.289,659.313
86,1.254,1.245,1.262,6244.061,681.067
87,1.271,1.262,1.279,5293.299,574.010
88,1.288,1.279,1.296,5886.860,748.052
89,1.304,1.296,1.313,4598.687,675.625
90,1.322,1.313,1.330,5437.133,739.559
91,1.339,1.330,1.347,5109.504,599.153
92,1.356,1.347,1.364,4637.155,541.938
93,1.373,1.364,1.381,4466.357,728.698
94,1.390,1.381,1.398,5710.592,647.026
95,1.407,1.398,1.415,5459.516,808.574
96,1.424,1.415,1.432,6634.740,861.232
97,1.441,1.432,1.449,4007.487,587.778
98,1.458,1.449,1.466,4928.604,684.286
99,1.475,1.466,1.483,4502.857,571.187
100,1.492,1.483,1.500,4946.212,766.812
