# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, cos($\phi_{pq}$)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, cos($\phi_{pq}$)   
# xbin_width : 0.024 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-1.188,-1.200,-1.176,0.000,0.000
2,-1.164,-1.176,-1.152,0.000,0.000
3,-1.140,-1.152,-1.128,0.000,0.000
4,-1.116,-1.128,-1.104,0.000,0.000
5,-1.092,-1.104,-1.080,0.000,0.000
6,-1.068,-1.080,-1.056,0.000,0.000
7,-1.044,-1.056,-1.032,0.000,0.000
8,-1.020,-1.032,-1.008,0.000,0.000
9,-0.996,-1.008,-0.984,4462.483,94.858
10,-0.972,-0.984,-0.960,2472.043,67.257
11,-0.948,-0.960,-0.936,1861.417,60.118
12,-0.924,-0.936,-0.912,1382.117,46.603
13,-0.900,-0.912,-0.888,1177.416,43.978
14,-0.876,-0.888,-0.864,1044.592,42.201
15,-0.852,-0.864,-0.840,948.661,41.946
16,-0.828,-0.840,-0.816,807.550,33.008
17,-0.804,-0.816,-0.792,698.886,31.073
18,-0.780,-0.792,-0.768,735.842,35.519
19,-0.756,-0.768,-0.744,686.539,32.827
20,-0.732,-0.744,-0.720,567.878,24.830
21,-0.708,-0.720,-0.696,517.993,25.162
22,-0.684,-0.696,-0.672,478.815,24.614
23,-0.660,-0.672,-0.648,495.452,25.593
24,-0.636,-0.648,-0.624,483.460,24.281
25,-0.612,-0.624,-0.600,424.745,20.336
26,-0.588,-0.600,-0.576,406.452,21.000
27,-0.564,-0.576,-0.552,368.525,20.976
28,-0.540,-0.552,-0.528,324.521,17.146
29,-0.516,-0.528,-0.504,333.402,17.297
30,-0.492,-0.504,-0.480,293.441,16.191
31,-0.468,-0.480,-0.456,286.990,14.385
32,-0.444,-0.456,-0.432,258.204,12.927
33,-0.420,-0.432,-0.408,239.325,11.911
34,-0.396,-0.408,-0.384,251.759,15.452
35,-0.372,-0.384,-0.360,244.892,14.439
36,-0.348,-0.360,-0.336,202.170,11.544
37,-0.324,-0.336,-0.312,190.623,11.220
38,-0.300,-0.312,-0.288,175.496,11.492
39,-0.276,-0.288,-0.264,163.000,9.707
40,-0.252,-0.264,-0.240,133.494,7.850
41,-0.228,-0.240,-0.216,128.635,7.396
42,-0.204,-0.216,-0.192,115.206,7.846
43,-0.180,-0.192,-0.168,99.291,6.511
44,-0.156,-0.168,-0.144,101.145,7.626
45,-0.132,-0.144,-0.120,103.712,7.641
46,-0.108,-0.120,-0.096,97.721,9.360
47,-0.084,-0.096,-0.072,76.613,5.411
48,-0.060,-0.072,-0.048,57.904,4.858
49,-0.036,-0.048,-0.024,59.111,6.276
50,-0.012,-0.024,0.000,57.469,6.085
51,0.012,0.000,0.024,50.155,6.262
52,0.036,0.024,0.048,43.004,4.762
53,0.060,0.048,0.072,33.419,3.260
54,0.084,0.072,0.096,27.582,3.919
55,0.108,0.096,0.120,28.789,4.686
56,0.132,0.120,0.144,29.938,5.606
57,0.156,0.144,0.168,27.702,4.630
58,0.180,0.168,0.192,22.742,3.230
59,0.204,0.192,0.216,21.733,3.930
60,0.228,0.216,0.240,17.977,3.413
61,0.252,0.240,0.264,14.955,4.042
62,0.276,0.264,0.288,8.804,1.358
63,0.300,0.288,0.312,8.104,2.521
64,0.324,0.312,0.336,12.249,2.868
65,0.348,0.336,0.360,7.585,1.665
66,0.372,0.360,0.384,9.752,2.229
67,0.396,0.384,0.408,4.486,0.882
68,0.420,0.408,0.432,5.116,1.066
69,0.444,0.432,0.456,5.379,1.339
70,0.468,0.456,0.480,7.360,3.580
71,0.492,0.480,0.504,5.521,1.854
72,0.516,0.504,0.528,5.733,1.624
73,0.540,0.528,0.552,4.903,1.513
74,0.564,0.552,0.576,5.195,2.875
75,0.588,0.576,0.600,5.495,1.854
76,0.612,0.600,0.624,6.854,1.961
77,0.636,0.624,0.648,3.686,0.994
78,0.660,0.648,0.672,3.573,1.066
79,0.684,0.672,0.696,3.516,1.317
80,0.708,0.696,0.720,5.059,1.754
81,0.732,0.720,0.744,2.320,0.901
82,0.756,0.744,0.768,3.078,1.243
83,0.780,0.768,0.792,2.246,0.586
84,0.804,0.792,0.816,2.442,0.738
85,0.828,0.816,0.840,4.072,2.501
86,0.852,0.840,0.864,2.912,1.175
87,0.876,0.864,0.888,2.215,0.861
88,0.900,0.888,0.912,4.395,1.352
89,0.924,0.912,0.936,3.300,0.922
90,0.948,0.936,0.960,6.114,1.613
91,0.972,0.960,0.984,7.313,1.827
92,0.996,0.984,1.008,11.188,3.223
93,1.020,1.008,1.032,0.000,0.000
94,1.044,1.032,1.056,0.000,0.000
95,1.068,1.056,1.080,0.000,0.000
96,1.092,1.080,1.104,0.000,0.000
97,1.116,1.104,1.128,0.000,0.000
98,1.140,1.128,1.152,0.000,0.000
99,1.164,1.152,1.176,0.000,0.000
100,1.188,1.176,1.200,0.000,0.000
