# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X_{fp}   
# xbins      : 60   
# xlabel     :  X_{fp} [cm]   
# xbin_width : 1.667 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-49.167,-50.000,-48.333,0.003,0.003
2,-47.500,-48.333,-46.667,1.173,0.881
3,-45.833,-46.667,-45.000,50.223,19.115
4,-44.167,-45.000,-43.333,553.207,93.107
5,-42.500,-43.333,-41.667,1208.692,155.411
6,-40.833,-41.667,-40.000,1312.082,160.082
7,-39.167,-40.000,-38.333,2031.192,257.475
8,-37.500,-38.333,-36.667,2958.699,340.519
9,-35.833,-36.667,-35.000,2956.513,302.614
10,-34.167,-35.000,-33.333,4567.390,438.976
11,-32.500,-33.333,-31.667,4591.063,458.426
12,-30.833,-31.667,-30.000,5861.142,585.493
13,-29.167,-30.000,-28.333,6893.287,646.839
14,-27.500,-28.333,-26.667,6929.396,607.045
15,-25.833,-26.667,-25.000,9189.542,815.236
16,-24.167,-25.000,-23.333,8487.518,739.483
17,-22.500,-23.333,-21.667,11557.896,949.403
18,-20.833,-21.667,-20.000,14613.120,1180.899
19,-19.167,-20.000,-18.333,15034.747,1180.421
20,-17.500,-18.333,-16.667,15613.956,1208.471
21,-15.833,-16.667,-15.000,15917.979,1209.531
22,-14.167,-15.000,-13.333,17501.770,1276.534
23,-12.500,-13.333,-11.667,18154.725,1273.579
24,-10.833,-11.667,-10.000,21300.736,1437.025
25,-9.167,-10.000,-8.333,19466.014,1298.797
26,-7.500,-8.333,-6.667,21976.264,1426.147
27,-5.833,-6.667,-5.000,21932.211,1473.084
28,-4.167,-5.000,-3.333,20206.055,1155.352
29,-2.500,-3.333,-1.667,20327.477,1213.162
30,-0.833,-1.667,0.000,18965.289,1169.700
31,0.833,0.000,1.667,18711.740,1040.625
32,2.500,1.667,3.333,16521.070,908.576
33,4.167,3.333,5.000,16304.867,820.975
34,5.833,5.000,6.667,15320.562,773.740
35,7.500,6.667,8.333,15615.525,777.611
36,9.167,8.333,10.000,14430.534,716.498
37,10.833,10.000,11.667,13464.915,640.900
38,12.500,11.667,13.333,10929.666,494.291
39,14.167,13.333,15.000,12370.658,578.248
40,15.833,15.000,16.667,10584.734,453.520
41,17.500,16.667,18.333,9408.653,431.235
42,19.167,18.333,20.000,9356.227,423.141
43,20.833,20.000,21.667,7851.940,362.094
44,22.500,21.667,23.333,7369.256,303.389
45,24.167,23.333,25.000,6611.383,285.641
46,25.833,25.000,26.667,6068.696,270.160
47,27.500,26.667,28.333,5443.160,221.446
48,29.167,28.333,30.000,5136.535,219.744
49,30.833,30.000,31.667,4074.662,168.614
50,32.500,31.667,33.333,3705.176,174.732
51,34.167,33.333,35.000,2932.302,138.638
52,35.833,35.000,36.667,2424.510,127.132
53,37.500,36.667,38.333,1714.819,96.551
54,39.167,38.333,40.000,1274.351,89.615
55,40.833,40.000,41.667,746.434,60.891
56,42.500,41.667,43.333,223.227,26.849
57,44.167,43.333,45.000,0.493,0.353
58,45.833,45.000,46.667,0.000,0.000
59,47.500,46.667,48.333,0.000,0.000
60,49.167,48.333,50.000,0.000,0.000
