# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Ztar Difference   
# xbins      : 60   
# xlabel     :  z-Target Difference [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.780,0.757
3,-9.167,-9.333,-9.000,0.011,0.011
4,-8.833,-9.000,-8.667,0.045,0.043
5,-8.500,-8.667,-8.333,801.947,703.133
6,-8.167,-8.333,-8.000,27.354,25.206
7,-7.833,-8.000,-7.667,286.457,229.723
8,-7.500,-7.667,-7.333,1115.262,720.244
9,-7.167,-7.333,-7.000,851.858,525.924
10,-6.833,-7.000,-6.667,332.506,169.120
11,-6.500,-6.667,-6.333,691.622,325.918
12,-6.167,-6.333,-6.000,1330.652,459.334
13,-5.833,-6.000,-5.667,1554.050,496.384
14,-5.500,-5.667,-5.333,2729.976,588.859
15,-5.167,-5.333,-5.000,2379.014,381.992
16,-4.833,-5.000,-4.667,5298.312,850.638
17,-4.500,-4.667,-4.333,7755.083,1177.759
18,-4.167,-4.333,-4.000,8107.144,972.224
19,-3.833,-4.000,-3.667,14651.912,1863.959
20,-3.500,-3.667,-3.333,17609.797,2130.175
21,-3.167,-3.333,-3.000,18591.047,1541.370
22,-2.833,-3.000,-2.667,26868.154,2000.740
23,-2.500,-2.667,-2.333,32938.410,2206.700
24,-2.167,-2.333,-2.000,36326.113,2056.302
25,-1.833,-2.000,-1.667,41934.707,2398.520
26,-1.500,-1.667,-1.333,51502.156,2564.875
27,-1.167,-1.333,-1.000,53931.781,2540.271
28,-0.833,-1.000,-0.667,57183.512,2801.435
29,-0.500,-0.667,-0.333,61898.766,2963.502
30,-0.167,-0.333,0.000,64652.430,2861.651
31,0.167,0.000,0.333,68640.297,3042.501
32,0.500,0.333,0.667,59588.336,2752.196
33,0.833,0.667,1.000,60252.184,2819.511
34,1.167,1.000,1.333,55150.215,2643.114
35,1.500,1.333,1.667,55490.164,2915.157
36,1.833,1.667,2.000,40345.250,1915.593
37,2.167,2.000,2.333,40455.242,2765.608
38,2.500,2.333,2.667,32569.484,1936.700
39,2.833,2.667,3.000,26325.709,1643.999
40,3.167,3.000,3.333,23573.910,1992.059
41,3.500,3.333,3.667,16417.713,1895.419
42,3.833,3.667,4.000,14716.099,1640.318
43,4.167,4.000,4.333,9590.227,1250.370
44,4.500,4.333,4.667,6424.323,878.473
45,4.833,4.667,5.000,5507.354,1123.400
46,5.167,5.000,5.333,3882.289,787.010
47,5.500,5.333,5.667,1608.655,440.890
48,5.833,5.667,6.000,1776.008,408.686
49,6.167,6.000,6.333,1264.772,600.512
50,6.500,6.333,6.667,354.530,114.459
51,6.833,6.667,7.000,137.288,50.060
52,7.167,7.000,7.333,662.244,406.010
53,7.500,7.333,7.667,34.276,19.220
54,7.833,7.667,8.000,36.819,27.734
55,8.167,8.000,8.333,79.702,48.661
56,8.500,8.333,8.667,29.734,19.590
57,8.833,8.667,9.000,2.046,1.159
58,9.167,9.000,9.333,0.425,0.291
59,9.500,9.333,9.667,3.434,2.181
60,9.833,9.667,10.000,3.823,3.526
