# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS Y_{fp}   
# xbins      : 60   
# xlabel     :  Y_{fp} [cm]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.000,0.000
3,-13.750,-14.000,-13.500,0.000,0.000
4,-13.250,-13.500,-13.000,0.000,0.000
5,-12.750,-13.000,-12.500,0.000,0.000
6,-12.250,-12.500,-12.000,0.000,0.000
7,-11.750,-12.000,-11.500,0.000,0.000
8,-11.250,-11.500,-11.000,0.000,0.000
9,-10.750,-11.000,-10.500,0.000,0.000
10,-10.250,-10.500,-10.000,0.000,0.000
11,-9.750,-10.000,-9.500,0.000,0.000
12,-9.250,-9.500,-9.000,0.002,0.000
13,-8.750,-9.000,-8.500,0.028,0.002
14,-8.250,-8.500,-8.000,0.094,0.003
15,-7.750,-8.000,-7.500,0.187,0.004
16,-7.250,-7.500,-7.000,0.280,0.005
17,-6.750,-7.000,-6.500,0.379,0.006
18,-6.250,-6.500,-6.000,0.477,0.007
19,-5.750,-6.000,-5.500,0.581,0.008
20,-5.250,-5.500,-5.000,0.705,0.010
21,-4.750,-5.000,-4.500,0.908,0.012
22,-4.250,-4.500,-4.000,1.130,0.014
23,-3.750,-4.000,-3.500,1.475,0.018
24,-3.250,-3.500,-3.000,1.920,0.022
25,-2.750,-3.000,-2.500,2.586,0.028
26,-2.250,-2.500,-2.000,3.618,0.037
27,-1.750,-2.000,-1.500,5.023,0.050
28,-1.250,-1.500,-1.000,7.765,0.072
29,-0.750,-1.000,-0.500,12.602,0.110
30,-0.250,-0.500,0.000,22.888,0.187
31,0.250,0.000,0.500,43.635,0.340
32,0.750,0.500,1.000,84.719,0.682
33,1.250,1.000,1.500,156.340,1.359
34,1.750,1.500,2.000,264.434,2.520
35,2.250,2.000,2.500,400.594,4.296
36,2.750,2.500,3.000,502.666,6.143
37,3.250,3.000,3.500,552.173,7.939
38,3.750,3.500,4.000,524.088,8.966
39,4.250,4.000,4.500,425.123,8.240
40,4.750,4.500,5.000,298.308,6.503
41,5.250,5.000,5.500,183.370,4.334
42,5.750,5.500,6.000,96.857,2.559
43,6.250,6.000,6.500,39.030,1.281
44,6.750,6.500,7.000,11.978,0.493
45,7.250,7.000,7.500,2.362,0.156
46,7.750,7.500,8.000,0.293,0.044
47,8.250,8.000,8.500,0.037,0.016
48,8.750,8.500,9.000,0.000,0.000
49,9.250,9.000,9.500,0.000,0.000
50,9.750,9.500,10.000,0.000,0.000
51,10.250,10.000,10.500,0.000,0.000
52,10.750,10.500,11.000,0.000,0.000
53,11.250,11.000,11.500,0.000,0.000
54,11.750,11.500,12.000,0.000,0.000
55,12.250,12.000,12.500,0.000,0.000
56,12.750,12.500,13.000,0.000,0.000
57,13.250,13.000,13.500,0.000,0.000
58,13.750,13.500,14.000,0.000,0.000
59,14.250,14.000,14.500,0.000,0.000
60,14.750,14.500,15.000,0.000,0.000
