# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Momentum Acceptance, $\delta   
# xbins      : 60   
# xlabel     :  #delta [%]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.002,0.001
3,-13.750,-14.000,-13.500,0.129,0.030
4,-13.250,-13.500,-13.000,0.624,0.071
5,-12.750,-13.000,-12.500,1.546,0.117
6,-12.250,-12.500,-12.000,2.785,0.159
7,-11.750,-12.000,-11.500,4.497,0.219
8,-11.250,-11.500,-11.000,5.813,0.268
9,-10.750,-11.000,-10.500,7.659,0.320
10,-10.250,-10.500,-10.000,10.510,0.400
11,-9.750,-10.000,-9.500,13.644,0.480
12,-9.250,-9.500,-9.000,19.001,0.618
13,-8.750,-9.000,-8.500,23.529,0.737
14,-8.250,-8.500,-8.000,26.521,0.812
15,-7.750,-8.000,-7.500,29.468,0.908
16,-7.250,-7.500,-7.000,31.234,1.005
17,-6.750,-7.000,-6.500,37.152,1.173
18,-6.250,-6.500,-6.000,40.384,1.269
19,-5.750,-6.000,-5.500,43.617,1.457
20,-5.250,-5.500,-5.000,49.745,1.628
21,-4.750,-5.000,-4.500,54.128,1.776
22,-4.250,-4.500,-4.000,60.489,1.979
23,-3.750,-4.000,-3.500,62.361,2.112
24,-3.250,-3.500,-3.000,71.317,2.385
25,-2.750,-3.000,-2.500,77.806,2.618
26,-2.250,-2.500,-2.000,88.025,2.949
27,-1.750,-2.000,-1.500,86.817,2.809
28,-1.250,-1.500,-1.000,96.764,3.148
29,-0.750,-1.000,-0.500,105.343,3.547
30,-0.250,-0.500,0.000,108.090,3.641
31,0.250,0.000,0.500,116.352,3.951
32,0.750,0.500,1.000,127.724,4.212
33,1.250,1.000,1.500,133.301,4.478
34,1.750,1.500,2.000,122.225,3.835
35,2.250,2.000,2.500,137.719,4.365
36,2.750,2.500,3.000,133.143,4.189
37,3.250,3.000,3.500,140.898,4.407
38,3.750,3.500,4.000,144.519,4.300
39,4.250,4.000,4.500,149.190,4.500
40,4.750,4.500,5.000,143.400,3.901
41,5.250,5.000,5.500,142.366,3.901
42,5.750,5.500,6.000,133.902,3.574
43,6.250,6.000,6.500,123.215,3.050
44,6.750,6.500,7.000,122.487,3.067
45,7.250,7.000,7.500,123.274,2.919
46,7.750,7.500,8.000,117.338,2.639
47,8.250,8.000,8.500,110.305,2.363
48,8.750,8.500,9.000,106.717,2.213
49,9.250,9.000,9.500,100.415,1.992
50,9.750,9.500,10.000,94.734,1.822
51,10.250,10.000,10.500,89.769,1.624
52,10.750,10.500,11.000,84.167,1.468
53,11.250,11.000,11.500,81.151,1.336
54,11.750,11.500,12.000,75.235,1.203
55,12.250,12.000,12.500,65.392,1.049
56,12.750,12.500,13.000,50.847,0.866
57,13.250,13.000,13.500,38.720,0.715
58,13.750,13.500,14.000,28.855,0.580
59,14.250,14.000,14.500,20.683,0.471
60,14.750,14.500,15.000,11.827,0.336
