# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Momentum Acceptance, $\delta   
# xbins      : 60   
# xlabel     :  #delta [%]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.000,0.000
3,-13.750,-14.000,-13.500,0.001,0.001
4,-13.250,-13.500,-13.000,0.012,0.003
5,-12.750,-13.000,-12.500,0.030,0.004
6,-12.250,-12.500,-12.000,0.074,0.007
7,-11.750,-12.000,-11.500,0.104,0.009
8,-11.250,-11.500,-11.000,0.159,0.013
9,-10.750,-11.000,-10.500,0.213,0.015
10,-10.250,-10.500,-10.000,0.247,0.017
11,-9.750,-10.000,-9.500,0.358,0.021
12,-9.250,-9.500,-9.000,0.477,0.025
13,-8.750,-9.000,-8.500,0.631,0.032
14,-8.250,-8.500,-8.000,0.662,0.033
15,-7.750,-8.000,-7.500,0.696,0.036
16,-7.250,-7.500,-7.000,0.751,0.037
17,-6.750,-7.000,-6.500,0.894,0.043
18,-6.250,-6.500,-6.000,0.851,0.043
19,-5.750,-6.000,-5.500,0.963,0.050
20,-5.250,-5.500,-5.000,1.094,0.054
21,-4.750,-5.000,-4.500,1.080,0.053
22,-4.250,-4.500,-4.000,1.073,0.052
23,-3.750,-4.000,-3.500,1.226,0.057
24,-3.250,-3.500,-3.000,1.277,0.061
25,-2.750,-3.000,-2.500,1.309,0.061
26,-2.250,-2.500,-2.000,1.343,0.059
27,-1.750,-2.000,-1.500,1.512,0.068
28,-1.250,-1.500,-1.000,1.369,0.065
29,-0.750,-1.000,-0.500,1.267,0.055
30,-0.250,-0.500,0.000,1.537,0.065
31,0.250,0.000,0.500,1.486,0.063
32,0.750,0.500,1.000,1.420,0.059
33,1.250,1.000,1.500,1.399,0.056
34,1.750,1.500,2.000,1.378,0.054
35,2.250,2.000,2.500,1.323,0.051
36,2.750,2.500,3.000,1.388,0.052
37,3.250,3.000,3.500,1.310,0.047
38,3.750,3.500,4.000,1.271,0.046
39,4.250,4.000,4.500,1.201,0.040
40,4.750,4.500,5.000,1.119,0.039
41,5.250,5.000,5.500,1.142,0.040
42,5.750,5.500,6.000,1.084,0.036
43,6.250,6.000,6.500,1.022,0.033
44,6.750,6.500,7.000,1.020,0.032
45,7.250,7.000,7.500,0.976,0.031
46,7.750,7.500,8.000,0.865,0.027
47,8.250,8.000,8.500,0.872,0.026
48,8.750,8.500,9.000,0.851,0.026
49,9.250,9.000,9.500,0.750,0.022
50,9.750,9.500,10.000,0.696,0.020
51,10.250,10.000,10.500,0.610,0.017
52,10.750,10.500,11.000,0.628,0.017
53,11.250,11.000,11.500,0.558,0.016
54,11.750,11.500,12.000,0.493,0.014
55,12.250,12.000,12.500,0.399,0.012
56,12.750,12.500,13.000,0.296,0.010
57,13.250,13.000,13.500,0.208,0.008
58,13.750,13.500,14.000,0.150,0.006
59,14.250,14.000,14.500,0.091,0.004
60,14.750,14.500,15.000,0.040,0.003
