# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, cos($\phi_{pq}$)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, cos($\phi_{pq}$)   
# xbin_width : 0.024 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-1.188,-1.200,-1.176,0.000,0.000
2,-1.164,-1.176,-1.152,0.000,0.000
3,-1.140,-1.152,-1.128,0.000,0.000
4,-1.116,-1.128,-1.104,0.000,0.000
5,-1.092,-1.104,-1.080,0.000,0.000
6,-1.068,-1.080,-1.056,0.000,0.000
7,-1.044,-1.056,-1.032,0.000,0.000
8,-1.020,-1.032,-1.008,0.000,0.000
9,-0.996,-1.008,-0.984,281.035,6.835
10,-0.972,-0.984,-0.960,166.993,5.479
11,-0.948,-0.960,-0.936,118.410,4.077
12,-0.924,-0.936,-0.912,100.820,4.054
13,-0.900,-0.912,-0.888,92.888,3.809
14,-0.876,-0.888,-0.864,78.912,3.205
15,-0.852,-0.864,-0.840,72.446,3.166
16,-0.828,-0.840,-0.816,70.450,2.993
17,-0.804,-0.816,-0.792,68.934,2.658
18,-0.780,-0.792,-0.768,60.259,2.636
19,-0.756,-0.768,-0.744,61.125,2.698
20,-0.732,-0.744,-0.720,56.322,2.502
21,-0.708,-0.720,-0.696,46.463,1.939
22,-0.684,-0.696,-0.672,44.648,1.757
23,-0.660,-0.672,-0.648,45.050,1.797
24,-0.636,-0.648,-0.624,44.796,1.983
25,-0.612,-0.624,-0.600,35.953,1.269
26,-0.588,-0.600,-0.576,36.522,1.665
27,-0.564,-0.576,-0.552,32.934,1.336
28,-0.540,-0.552,-0.528,29.813,1.197
29,-0.516,-0.528,-0.504,28.350,1.088
30,-0.492,-0.504,-0.480,26.301,1.148
31,-0.468,-0.480,-0.456,22.801,0.968
32,-0.444,-0.456,-0.432,20.777,0.791
33,-0.420,-0.432,-0.408,19.836,0.917
34,-0.396,-0.408,-0.384,17.523,0.683
35,-0.372,-0.384,-0.360,14.891,0.578
36,-0.348,-0.360,-0.336,13.000,0.532
37,-0.324,-0.336,-0.312,11.249,0.443
38,-0.300,-0.312,-0.288,9.757,0.383
39,-0.276,-0.288,-0.264,7.825,0.356
40,-0.252,-0.264,-0.240,6.844,0.333
41,-0.228,-0.240,-0.216,5.432,0.247
42,-0.204,-0.216,-0.192,3.859,0.188
43,-0.180,-0.192,-0.168,2.973,0.173
44,-0.156,-0.168,-0.144,2.161,0.136
45,-0.132,-0.144,-0.120,1.340,0.101
46,-0.108,-0.120,-0.096,0.961,0.077
47,-0.084,-0.096,-0.072,0.577,0.052
48,-0.060,-0.072,-0.048,0.326,0.037
49,-0.036,-0.048,-0.024,0.200,0.038
50,-0.012,-0.024,0.000,0.173,0.025
51,0.012,0.000,0.024,0.078,0.017
52,0.036,0.024,0.048,0.042,0.009
53,0.060,0.048,0.072,0.031,0.008
54,0.084,0.072,0.096,0.035,0.011
55,0.108,0.096,0.120,0.036,0.011
56,0.132,0.120,0.144,0.008,0.003
57,0.156,0.144,0.168,0.019,0.015
58,0.180,0.168,0.192,0.007,0.004
59,0.204,0.192,0.216,0.008,0.003
60,0.228,0.216,0.240,0.008,0.004
61,0.252,0.240,0.264,0.007,0.005
62,0.276,0.264,0.288,0.001,0.001
63,0.300,0.288,0.312,0.004,0.004
64,0.324,0.312,0.336,0.001,0.001
65,0.348,0.336,0.360,0.000,0.000
66,0.372,0.360,0.384,0.001,0.001
67,0.396,0.384,0.408,0.003,0.002
68,0.420,0.408,0.432,0.001,0.001
69,0.444,0.432,0.456,0.001,0.001
70,0.468,0.456,0.480,0.000,0.000
71,0.492,0.480,0.504,0.002,0.001
72,0.516,0.504,0.528,0.000,0.000
73,0.540,0.528,0.552,0.000,0.000
74,0.564,0.552,0.576,0.000,0.000
75,0.588,0.576,0.600,0.002,0.002
76,0.612,0.600,0.624,0.004,0.003
77,0.636,0.624,0.648,0.000,0.000
78,0.660,0.648,0.672,0.001,0.000
79,0.684,0.672,0.696,0.003,0.003
80,0.708,0.696,0.720,0.001,0.001
81,0.732,0.720,0.744,0.000,0.000
82,0.756,0.744,0.768,0.002,0.001
83,0.780,0.768,0.792,0.001,0.001
84,0.804,0.792,0.816,0.000,0.000
85,0.828,0.816,0.840,0.000,0.000
86,0.852,0.840,0.864,0.000,0.000
87,0.876,0.864,0.888,0.000,0.000
88,0.900,0.888,0.912,0.000,0.000
89,0.924,0.912,0.936,0.010,0.010
90,0.948,0.936,0.960,0.000,0.000
91,0.972,0.960,0.984,0.000,0.000
92,0.996,0.984,1.008,0.009,0.007
93,1.020,1.008,1.032,0.000,0.000
94,1.044,1.032,1.056,0.000,0.000
95,1.068,1.056,1.080,0.000,0.000
96,1.092,1.080,1.104,0.000,0.000
97,1.116,1.104,1.128,0.000,0.000
98,1.140,1.128,1.152,0.000,0.000
99,1.164,1.152,1.176,0.000,0.000
100,1.188,1.176,1.200,0.000,0.000
