# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS Momentum Acceptance, $\delta   
# xbins      : 60   
# xlabel     :  #delta [%]   
# xbin_width : 0.283 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,5.142,5.000,5.283,0.000,0.000
2,5.425,5.283,5.567,0.000,0.000
3,5.708,5.567,5.850,0.000,0.000
4,5.992,5.850,6.133,0.000,0.000
5,6.275,6.133,6.417,0.000,0.000
6,6.558,6.417,6.700,0.000,0.000
7,6.842,6.700,6.983,0.000,0.000
8,7.125,6.983,7.267,0.000,0.000
9,7.408,7.267,7.550,0.000,0.000
10,7.692,7.550,7.833,0.000,0.000
11,7.975,7.833,8.117,0.000,0.000
12,8.258,8.117,8.400,0.000,0.000
13,8.542,8.400,8.683,0.000,0.000
14,8.825,8.683,8.967,0.000,0.000
15,9.108,8.967,9.250,0.000,0.000
16,9.392,9.250,9.533,0.000,0.000
17,9.675,9.533,9.817,0.000,0.000
18,9.958,9.817,10.100,0.000,0.000
19,10.242,10.100,10.383,0.012,0.005
20,10.525,10.383,10.667,1.056,0.091
21,10.808,10.667,10.950,8.943,0.376
22,11.092,10.950,11.233,44.104,1.347
23,11.375,11.233,11.517,212.788,5.494
24,11.658,11.517,11.800,446.701,10.842
25,11.942,11.800,12.083,496.649,14.125
26,12.225,12.083,12.367,484.970,15.699
27,12.508,12.367,12.650,480.503,17.863
28,12.792,12.650,12.933,493.631,20.644
29,13.075,12.933,13.217,511.012,24.900
30,13.358,13.217,13.500,430.283,22.828
31,13.642,13.500,13.783,389.698,22.936
32,13.925,13.783,14.067,125.956,15.324
33,14.208,14.067,14.350,7.931,7.691
34,14.492,14.350,14.633,0.000,0.000
35,14.775,14.633,14.917,0.000,0.000
36,15.058,14.917,15.200,0.000,0.000
37,15.342,15.200,15.483,0.000,0.000
38,15.625,15.483,15.767,0.000,0.000
39,15.908,15.767,16.050,0.000,0.000
40,16.192,16.050,16.333,0.000,0.000
41,16.475,16.333,16.617,0.000,0.000
42,16.758,16.617,16.900,0.000,0.000
43,17.042,16.900,17.183,0.000,0.000
44,17.325,17.183,17.467,0.000,0.000
45,17.608,17.467,17.750,0.000,0.000
46,17.892,17.750,18.033,0.000,0.000
47,18.175,18.033,18.317,0.000,0.000
48,18.458,18.317,18.600,0.000,0.000
49,18.742,18.600,18.883,0.000,0.000
50,19.025,18.883,19.167,0.000,0.000
51,19.308,19.167,19.450,0.000,0.000
52,19.592,19.450,19.733,0.000,0.000
53,19.875,19.733,20.017,0.000,0.000
54,20.158,20.017,20.300,0.000,0.000
55,20.442,20.300,20.583,0.000,0.000
56,20.725,20.583,20.867,0.000,0.000
57,21.008,20.867,21.150,0.000,0.000
58,21.292,21.150,21.433,0.000,0.000
59,21.575,21.433,21.717,0.000,0.000
60,21.858,21.717,22.000,0.000,0.000
