# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Nuclear Missing Energy   
# xbins      : 60   
# xlabel     :  nuclear missing energy, E_{m} [GeV]   
# xbin_width : 0.003 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.049,-0.050,-0.048,0.281,0.046
2,-0.046,-0.048,-0.045,0.327,0.036
3,-0.044,-0.045,-0.043,1.665,1.036
4,-0.041,-0.043,-0.040,0.630,0.065
5,-0.039,-0.040,-0.037,0.760,0.065
6,-0.036,-0.037,-0.035,1.251,0.116
7,-0.034,-0.035,-0.033,1.381,0.093
8,-0.031,-0.033,-0.030,3.417,1.822
9,-0.029,-0.030,-0.027,2.377,0.168
10,-0.026,-0.027,-0.025,5.760,2.102
11,-0.024,-0.025,-0.022,6.655,2.953
12,-0.021,-0.022,-0.020,5.037,0.272
13,-0.019,-0.020,-0.017,6.603,0.758
14,-0.016,-0.017,-0.015,8.065,0.429
15,-0.014,-0.015,-0.012,12.003,0.817
16,-0.011,-0.012,-0.010,13.191,0.575
17,-0.009,-0.010,-0.007,17.024,0.829
18,-0.006,-0.007,-0.005,19.535,0.994
19,-0.004,-0.005,-0.002,27.929,1.737
20,-0.001,-0.002,0.000,37.659,1.633
21,0.001,0.000,0.003,43.715,1.892
22,0.004,0.003,0.005,64.859,2.884
23,0.006,0.005,0.008,80.915,3.674
24,0.009,0.008,0.010,105.002,5.214
25,0.011,0.010,0.013,142.185,5.419
26,0.014,0.013,0.015,201.556,8.773
27,0.016,0.015,0.018,266.186,11.269
28,0.019,0.018,0.020,377.538,15.549
29,0.021,0.020,0.023,470.270,17.259
30,0.024,0.023,0.025,685.435,25.448
31,0.026,0.025,0.028,744.430,28.321
32,0.029,0.028,0.030,865.245,30.723
33,0.031,0.030,0.033,979.120,33.899
34,0.034,0.033,0.035,1014.329,33.494
35,0.036,0.035,0.038,1060.562,33.281
36,0.039,0.038,0.040,950.599,30.894
37,0.041,0.040,0.043,879.269,29.314
38,0.044,0.043,0.045,771.638,24.652
39,0.046,0.045,0.048,657.529,22.078
40,0.049,0.048,0.050,592.866,20.022
41,0.051,0.050,0.053,513.205,17.359
42,0.054,0.053,0.055,422.400,13.454
43,0.056,0.055,0.058,416.085,14.295
44,0.059,0.058,0.060,362.305,13.520
45,0.061,0.060,0.063,293.875,11.023
46,0.064,0.063,0.065,264.349,11.976
47,0.066,0.065,0.068,228.616,8.519
48,0.069,0.068,0.070,217.298,9.710
49,0.071,0.070,0.073,196.226,9.124
50,0.074,0.073,0.075,191.568,9.571
51,0.076,0.075,0.078,169.838,9.731
52,0.079,0.078,0.080,142.999,8.702
53,0.081,0.080,0.083,152.353,9.050
54,0.084,0.083,0.085,130.913,8.691
55,0.086,0.085,0.088,121.220,6.816
56,0.089,0.088,0.090,116.830,6.661
57,0.091,0.090,0.093,99.216,6.019
58,0.094,0.093,0.095,97.728,6.747
59,0.096,0.095,0.098,105.427,7.902
60,0.099,0.098,0.100,105.983,9.136
