# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{tar}   
# xbins      : 100   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.005 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.347,-0.350,-0.345,0.000,0.000
2,-0.342,-0.345,-0.340,0.000,0.000
3,-0.337,-0.340,-0.335,0.000,0.000
4,-0.332,-0.335,-0.330,0.000,0.000
5,-0.327,-0.330,-0.325,0.000,0.000
6,-0.322,-0.325,-0.320,0.000,0.000
7,-0.317,-0.320,-0.315,0.000,0.000
8,-0.312,-0.315,-0.310,0.000,0.000
9,-0.307,-0.310,-0.305,0.000,0.000
10,-0.302,-0.305,-0.300,0.000,0.000
11,-0.297,-0.300,-0.295,0.000,0.000
12,-0.292,-0.295,-0.290,0.000,0.000
13,-0.287,-0.290,-0.285,0.000,0.000
14,-0.282,-0.285,-0.280,0.001,0.001
15,-0.277,-0.280,-0.275,0.002,0.001
16,-0.272,-0.275,-0.270,0.000,0.000
17,-0.267,-0.270,-0.265,0.084,0.084
18,-0.262,-0.265,-0.260,0.000,0.000
19,-0.258,-0.260,-0.255,0.001,0.001
20,-0.253,-0.255,-0.250,0.011,0.010
21,-0.247,-0.250,-0.245,0.017,0.010
22,-0.242,-0.245,-0.240,0.009,0.007
23,-0.237,-0.240,-0.235,0.012,0.009
24,-0.232,-0.235,-0.230,0.012,0.006
25,-0.227,-0.230,-0.225,0.030,0.013
26,-0.222,-0.225,-0.220,0.044,0.032
27,-0.217,-0.220,-0.215,0.033,0.015
28,-0.212,-0.215,-0.210,0.038,0.016
29,-0.207,-0.210,-0.205,0.072,0.024
30,-0.202,-0.205,-0.200,0.118,0.036
31,-0.197,-0.200,-0.195,0.124,0.048
32,-0.192,-0.195,-0.190,0.147,0.036
33,-0.187,-0.190,-0.185,0.435,0.134
34,-0.182,-0.185,-0.180,0.450,0.110
35,-0.177,-0.180,-0.175,0.852,0.163
36,-0.172,-0.175,-0.170,1.080,0.159
37,-0.167,-0.170,-0.165,1.721,0.236
38,-0.162,-0.165,-0.160,3.814,0.488
39,-0.157,-0.160,-0.155,4.685,0.520
40,-0.152,-0.155,-0.150,6.647,0.593
41,-0.147,-0.150,-0.145,8.014,0.699
42,-0.142,-0.145,-0.140,8.263,0.557
43,-0.137,-0.140,-0.135,10.749,0.764
44,-0.132,-0.135,-0.130,11.113,0.664
45,-0.127,-0.130,-0.125,14.908,0.878
46,-0.122,-0.125,-0.120,12.298,0.673
47,-0.117,-0.120,-0.115,15.766,0.893
48,-0.112,-0.115,-0.110,14.475,0.772
49,-0.107,-0.110,-0.105,18.552,1.051
50,-0.102,-0.105,-0.100,15.100,0.853
51,-0.097,-0.100,-0.095,17.071,0.891
52,-0.092,-0.095,-0.090,19.973,1.081
53,-0.087,-0.090,-0.085,18.934,1.089
54,-0.082,-0.085,-0.080,18.691,1.008
55,-0.077,-0.080,-0.075,20.582,1.149
56,-0.072,-0.075,-0.070,21.875,1.210
57,-0.067,-0.070,-0.065,22.288,1.327
58,-0.062,-0.065,-0.060,23.990,1.230
59,-0.057,-0.060,-0.055,20.180,1.183
60,-0.052,-0.055,-0.050,21.382,1.231
61,-0.047,-0.050,-0.045,20.374,1.268
62,-0.042,-0.045,-0.040,21.340,1.237
63,-0.037,-0.040,-0.035,20.769,1.265
64,-0.032,-0.035,-0.030,16.229,1.031
65,-0.027,-0.030,-0.025,17.095,1.163
66,-0.022,-0.025,-0.020,12.110,0.887
67,-0.017,-0.020,-0.015,8.642,0.695
68,-0.012,-0.015,-0.010,6.075,0.553
69,-0.007,-0.010,-0.005,4.299,0.650
70,-0.002,-0.005,0.000,1.854,0.400
71,0.003,0.000,0.005,0.743,0.253
72,0.008,0.005,0.010,0.159,0.074
73,0.013,0.010,0.015,0.006,0.003
74,0.018,0.015,0.020,0.026,0.019
75,0.023,0.020,0.025,0.002,0.002
76,0.028,0.025,0.030,0.001,0.001
77,0.033,0.030,0.035,0.000,0.000
78,0.038,0.035,0.040,0.004,0.003
79,0.043,0.040,0.045,0.015,0.013
80,0.048,0.045,0.050,0.018,0.018
81,0.053,0.050,0.055,0.000,0.000
82,0.058,0.055,0.060,0.000,0.000
83,0.063,0.060,0.065,0.000,0.000
84,0.068,0.065,0.070,0.000,0.000
85,0.073,0.070,0.075,0.004,0.004
86,0.078,0.075,0.080,0.000,0.000
87,0.083,0.080,0.085,0.000,0.000
88,0.088,0.085,0.090,0.000,0.000
89,0.093,0.090,0.095,0.000,0.000
90,0.098,0.095,0.100,0.000,0.000
91,0.103,0.100,0.105,0.000,0.000
92,0.108,0.105,0.110,0.001,0.001
93,0.113,0.110,0.115,0.000,0.000
94,0.118,0.115,0.120,0.000,0.000
95,0.123,0.120,0.125,0.000,0.000
96,0.128,0.125,0.130,0.000,0.000
97,0.133,0.130,0.135,0.000,0.000
98,0.138,0.135,0.140,0.000,0.000
99,0.143,0.140,0.145,0.000,0.000
100,0.148,0.145,0.150,0.000,0.000
