# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Electron Scattering Angle, $\theta_{e}$ (vertex)   
# xbins      : 40   
# xlabel     :  e^{-}$ scattering angle, $\theta_{e}  [deg]   
# xbin_width : 0.125 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,5.062,5.000,5.125,0.000,0.000
2,5.188,5.125,5.250,0.000,0.000
3,5.312,5.250,5.375,0.000,0.000
4,5.438,5.375,5.500,0.000,0.000
5,5.562,5.500,5.625,0.000,0.000
6,5.688,5.625,5.750,49.436,7.442
7,5.812,5.750,5.875,173.114,12.717
8,5.938,5.875,6.000,168.972,10.045
9,6.062,6.000,6.125,167.469,8.327
10,6.188,6.125,6.250,152.439,6.999
11,6.312,6.250,6.375,124.909,5.817
12,6.438,6.375,6.500,105.077,4.453
13,6.562,6.500,6.625,85.807,3.423
14,6.688,6.625,6.750,67.159,2.436
15,6.812,6.750,6.875,52.452,1.795
16,6.938,6.875,7.000,41.268,1.299
17,7.062,7.000,7.125,31.112,0.892
18,7.188,7.125,7.250,23.454,0.632
19,7.312,7.250,7.375,16.884,0.402
20,7.438,7.375,7.500,12.080,0.268
21,7.562,7.500,7.625,9.003,0.187
22,7.688,7.625,7.750,6.489,0.133
23,7.812,7.750,7.875,4.462,0.090
24,7.938,7.875,8.000,2.911,0.060
25,8.062,8.000,8.125,1.892,0.041
26,8.188,8.125,8.250,1.152,0.027
27,8.312,8.250,8.375,0.717,0.019
28,8.438,8.375,8.500,0.412,0.012
29,8.562,8.500,8.625,0.184,0.007
30,8.688,8.625,8.750,0.062,0.004
31,8.812,8.750,8.875,0.007,0.001
32,8.938,8.875,9.000,0.000,0.000
33,9.062,9.000,9.125,0.000,0.000
34,9.188,9.125,9.250,0.000,0.000
35,9.312,9.250,9.375,0.000,0.000
36,9.438,9.375,9.500,0.000,0.000
37,9.562,9.500,9.625,0.000,0.000
38,9.688,9.625,9.750,0.000,0.000
39,9.812,9.750,9.875,0.000,0.000
40,9.938,9.875,10.000,0.000,0.000
