# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Y'_{fp}   
# xbins      : 60   
# xlabel     :  Y'_{fp} [rad]   
# xbin_width : 0.001 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.039,-0.040,-0.039,0.000,0.000
2,-0.038,-0.039,-0.037,0.000,0.000
3,-0.037,-0.037,-0.036,0.000,0.000
4,-0.035,-0.036,-0.035,0.000,0.000
5,-0.034,-0.035,-0.033,0.000,0.000
6,-0.033,-0.033,-0.032,0.000,0.000
7,-0.031,-0.032,-0.031,0.000,0.000
8,-0.030,-0.031,-0.029,0.001,0.000
9,-0.029,-0.029,-0.028,0.001,0.000
10,-0.027,-0.028,-0.027,0.005,0.001
11,-0.026,-0.027,-0.025,0.008,0.001
12,-0.025,-0.025,-0.024,0.016,0.002
13,-0.023,-0.024,-0.023,0.023,0.003
14,-0.022,-0.023,-0.021,0.035,0.004
15,-0.021,-0.021,-0.020,0.056,0.005
16,-0.019,-0.020,-0.019,0.068,0.005
17,-0.018,-0.019,-0.017,0.082,0.006
18,-0.017,-0.017,-0.016,0.104,0.006
19,-0.015,-0.016,-0.015,0.139,0.008
20,-0.014,-0.015,-0.013,0.186,0.010
21,-0.013,-0.013,-0.012,0.222,0.010
22,-0.011,-0.012,-0.011,0.280,0.011
23,-0.010,-0.011,-0.009,0.355,0.012
24,-0.009,-0.009,-0.008,0.411,0.013
25,-0.007,-0.008,-0.007,0.556,0.015
26,-0.006,-0.007,-0.005,0.683,0.016
27,-0.005,-0.005,-0.004,0.857,0.017
28,-0.003,-0.004,-0.003,1.184,0.019
29,-0.002,-0.003,-0.001,1.605,0.020
30,-0.001,-0.001,0.000,1.871,0.020
31,0.001,0.000,0.001,1.828,0.019
32,0.002,0.001,0.003,1.411,0.017
33,0.003,0.003,0.004,0.922,0.014
34,0.005,0.004,0.005,0.664,0.013
35,0.006,0.005,0.007,0.528,0.011
36,0.007,0.007,0.008,0.425,0.010
37,0.009,0.008,0.009,0.355,0.010
38,0.010,0.009,0.011,0.293,0.009
39,0.011,0.011,0.012,0.239,0.008
40,0.013,0.012,0.013,0.189,0.007
41,0.014,0.013,0.015,0.160,0.006
42,0.015,0.015,0.016,0.127,0.006
43,0.017,0.016,0.017,0.099,0.005
44,0.018,0.017,0.019,0.083,0.005
45,0.019,0.019,0.020,0.057,0.004
46,0.021,0.020,0.021,0.043,0.003
47,0.022,0.021,0.023,0.034,0.003
48,0.023,0.023,0.024,0.022,0.002
49,0.025,0.024,0.025,0.015,0.002
50,0.026,0.025,0.027,0.006,0.001
51,0.027,0.027,0.028,0.001,0.000
52,0.029,0.028,0.029,0.000,0.000
53,0.030,0.029,0.031,0.000,0.000
54,0.031,0.031,0.032,0.000,0.000
55,0.033,0.032,0.033,0.000,0.000
56,0.034,0.033,0.035,0.000,0.000
57,0.035,0.035,0.036,0.000,0.000
58,0.037,0.036,0.037,0.000,0.000
59,0.038,0.037,0.039,0.000,0.000
60,0.039,0.039,0.040,0.000,0.000
