# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : In-Plane Angle, $\theta_{pq}$ (vertex)   
# xbins      : 80   
# xlabel     :  in-plane angle, $\theta_{pq}$ [deg]   
# xbin_width : 0.250 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.125,0.000,0.250,0.000,0.000
2,0.375,0.250,0.500,0.000,0.000
3,0.625,0.500,0.750,0.002,0.001
4,0.875,0.750,1.000,0.004,0.001
5,1.125,1.000,1.250,0.033,0.007
6,1.375,1.250,1.500,0.111,0.017
7,1.625,1.500,1.750,0.259,0.031
8,1.875,1.750,2.000,0.359,0.032
9,2.125,2.000,2.250,0.647,0.050
10,2.375,2.250,2.500,0.985,0.065
11,2.625,2.500,2.750,1.492,0.086
12,2.875,2.750,3.000,2.034,0.099
13,3.125,3.000,3.250,2.650,0.118
14,3.375,3.250,3.500,3.086,0.125
15,3.625,3.500,3.750,3.684,0.138
16,3.875,3.750,4.000,4.326,0.146
17,4.125,4.000,4.250,4.889,0.151
18,4.375,4.250,4.500,5.455,0.161
19,4.625,4.500,4.750,6.048,0.166
20,4.875,4.750,5.000,6.366,0.165
21,5.125,5.000,5.250,6.718,0.169
22,5.375,5.250,5.500,7.203,0.165
23,5.625,5.500,5.750,7.368,0.157
24,5.875,5.750,6.000,7.344,0.151
25,6.125,6.000,6.250,7.322,0.144
26,6.375,6.250,6.500,7.520,0.136
27,6.625,6.500,6.750,7.367,0.129
28,6.875,6.750,7.000,7.103,0.120
29,7.125,7.000,7.250,7.259,0.116
30,7.375,7.250,7.500,7.047,0.108
31,7.625,7.500,7.750,7.024,0.104
32,7.875,7.750,8.000,6.729,0.096
33,8.125,8.000,8.250,6.293,0.089
34,8.375,8.250,8.500,6.263,0.086
35,8.625,8.500,8.750,6.007,0.081
36,8.875,8.750,9.000,5.934,0.079
37,9.125,9.000,9.250,5.721,0.076
38,9.375,9.250,9.500,5.498,0.073
39,9.625,9.500,9.750,5.308,0.071
40,9.875,9.750,10.000,5.232,0.070
41,10.125,10.000,10.250,5.088,0.068
42,10.375,10.250,10.500,4.774,0.066
43,10.625,10.500,10.750,4.637,0.064
44,10.875,10.750,11.000,4.394,0.062
45,11.125,11.000,11.250,4.275,0.062
46,11.375,11.250,11.500,3.985,0.058
47,11.625,11.500,11.750,3.597,0.055
48,11.875,11.750,12.000,3.350,0.052
49,12.125,12.000,12.250,3.076,0.050
50,12.375,12.250,12.500,2.831,0.047
51,12.625,12.500,12.750,2.576,0.044
52,12.875,12.750,13.000,2.285,0.040
53,13.125,13.000,13.250,1.985,0.036
54,13.375,13.250,13.500,1.811,0.033
55,13.625,13.500,13.750,1.658,0.032
56,13.875,13.750,14.000,1.351,0.027
57,14.125,14.000,14.250,1.182,0.025
58,14.375,14.250,14.500,0.985,0.021
59,14.625,14.500,14.750,0.878,0.019
60,14.875,14.750,15.000,0.706,0.017
61,15.125,15.000,15.250,0.601,0.015
62,15.375,15.250,15.500,0.537,0.013
63,15.625,15.500,15.750,0.444,0.012
64,15.875,15.750,16.000,0.379,0.010
65,16.125,16.000,16.250,0.320,0.009
66,16.375,16.250,16.500,0.270,0.008
67,16.625,16.500,16.750,0.214,0.007
68,16.875,16.750,17.000,0.191,0.006
69,17.125,17.000,17.250,0.142,0.005
70,17.375,17.250,17.500,0.112,0.004
71,17.625,17.500,17.750,0.084,0.003
72,17.875,17.750,18.000,0.066,0.003
73,18.125,18.000,18.250,0.056,0.003
74,18.375,18.250,18.500,0.039,0.002
75,18.625,18.500,18.750,0.034,0.002
76,18.875,18.750,19.000,0.020,0.001
77,19.125,19.000,19.250,0.017,0.001
78,19.375,19.250,19.500,0.011,0.001
79,19.625,19.500,19.750,0.008,0.001
80,19.875,19.750,20.000,0.004,0.000
