# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Hadron Scattering Angle (detected), $\theta_{p}$   
# xbins      : 50   
# xlabel     :  hadron scattering angle, $\theta_{p}$ [deg]   
# xbin_width : 0.200 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,55.100,55.000,55.200,238.955,14.759
2,55.300,55.200,55.400,214.890,13.075
3,55.500,55.400,55.600,196.029,12.313
4,55.700,55.600,55.800,153.440,9.644
5,55.900,55.800,56.000,126.595,9.208
6,56.100,56.000,56.200,114.594,8.634
7,56.300,56.200,56.400,97.729,7.261
8,56.500,56.400,56.600,76.681,7.240
9,56.700,56.600,56.800,36.854,4.463
10,56.900,56.800,57.000,17.673,2.923
11,57.100,57.000,57.200,3.765,1.182
12,57.300,57.200,57.400,1.387,1.014
13,57.500,57.400,57.600,0.008,0.008
14,57.700,57.600,57.800,0.000,0.000
15,57.900,57.800,58.000,0.000,0.000
16,58.100,58.000,58.200,0.000,0.000
17,58.300,58.200,58.400,0.000,0.000
18,58.500,58.400,58.600,0.000,0.000
19,58.700,58.600,58.800,0.000,0.000
20,58.900,58.800,59.000,0.000,0.000
21,59.100,59.000,59.200,0.000,0.000
22,59.300,59.200,59.400,0.000,0.000
23,59.500,59.400,59.600,0.000,0.000
24,59.700,59.600,59.800,0.000,0.000
25,59.900,59.800,60.000,0.000,0.000
26,60.100,60.000,60.200,0.000,0.000
27,60.300,60.200,60.400,0.000,0.000
28,60.500,60.400,60.600,0.000,0.000
29,60.700,60.600,60.800,0.000,0.000
30,60.900,60.800,61.000,0.000,0.000
31,61.100,61.000,61.200,0.000,0.000
32,61.300,61.200,61.400,0.000,0.000
33,61.500,61.400,61.600,0.000,0.000
34,61.700,61.600,61.800,0.000,0.000
35,61.900,61.800,62.000,0.000,0.000
36,62.100,62.000,62.200,0.000,0.000
37,62.300,62.200,62.400,0.000,0.000
38,62.500,62.400,62.600,0.000,0.000
39,62.700,62.600,62.800,0.000,0.000
40,62.900,62.800,63.000,0.000,0.000
41,63.100,63.000,63.200,0.000,0.000
42,63.300,63.200,63.400,0.000,0.000
43,63.500,63.400,63.600,0.000,0.000
44,63.700,63.600,63.800,0.000,0.000
45,63.900,63.800,64.000,0.000,0.000
46,64.100,64.000,64.200,0.000,0.000
47,64.300,64.200,64.400,0.000,0.000
48,64.500,64.400,64.600,0.000,0.000
49,64.700,64.600,64.800,0.000,0.000
50,64.900,64.800,65.000,0.000,0.000
