# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Nuclear Missing Energy   
# xbins      : 50   
# xlabel     :  nuclear missing energy, E_{m} [GeV]   
# xbin_width : 0.005 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.048,-0.050,-0.045,6.776,1.681
2,-0.043,-0.045,-0.040,9.669,1.420
3,-0.038,-0.040,-0.035,26.129,3.461
4,-0.033,-0.035,-0.030,60.742,8.837
5,-0.028,-0.030,-0.025,122.043,16.347
6,-0.023,-0.025,-0.020,230.311,28.470
7,-0.018,-0.020,-0.015,433.401,30.686
8,-0.013,-0.015,-0.010,907.969,69.268
9,-0.008,-0.010,-0.005,1297.847,85.748
10,-0.003,-0.005,0.000,2904.820,176.998
11,0.002,0.000,0.005,4873.824,253.927
12,0.007,0.005,0.010,8131.181,376.858
13,0.012,0.010,0.015,12370.315,511.544
14,0.018,0.015,0.020,14005.897,527.615
15,0.022,0.020,0.025,12279.016,470.645
16,0.027,0.025,0.030,11559.736,410.318
17,0.033,0.030,0.035,9381.641,324.727
18,0.037,0.035,0.040,8110.247,273.421
19,0.042,0.040,0.045,6450.496,247.645
20,0.048,0.045,0.050,5065.865,208.624
21,0.052,0.050,0.055,4131.426,217.732
22,0.057,0.055,0.060,3131.482,165.991
23,0.062,0.060,0.065,2771.340,163.508
24,0.068,0.065,0.070,2314.763,155.164
25,0.072,0.070,0.075,1748.042,121.413
26,0.077,0.075,0.080,1622.649,131.091
27,0.083,0.080,0.085,1427.130,105.274
28,0.088,0.085,0.090,1385.729,136.686
29,0.092,0.090,0.095,1090.775,117.744
30,0.097,0.095,0.100,1112.479,116.607
31,0.102,0.100,0.105,1207.823,134.097
32,0.107,0.105,0.110,1049.464,105.451
33,0.113,0.110,0.115,830.234,89.430
34,0.118,0.115,0.120,989.762,130.241
35,0.122,0.120,0.125,859.132,118.796
36,0.128,0.125,0.130,647.506,73.407
37,0.133,0.130,0.135,753.726,94.645
38,0.138,0.135,0.140,746.608,99.441
39,0.143,0.140,0.145,950.921,140.789
40,0.148,0.145,0.150,740.914,118.513
41,0.153,0.150,0.155,589.164,75.538
42,0.158,0.155,0.160,737.660,117.125
43,0.162,0.160,0.165,638.374,90.367
44,0.167,0.165,0.170,398.760,61.470
45,0.172,0.170,0.175,497.413,70.765
46,0.177,0.175,0.180,494.261,76.224
47,0.182,0.180,0.185,552.443,94.455
48,0.188,0.185,0.190,679.727,105.930
49,0.193,0.190,0.195,591.677,96.286
50,0.198,0.195,0.200,388.910,48.718
