# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : In-Plane Angle, $\theta_{pq}$ (vertex)   
# xbins      : 80   
# xlabel     :  in-plane angle, $\theta_{pq}$ [deg]   
# xbin_width : 0.250 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.125,0.000,0.250,0.013,0.005
2,0.375,0.250,0.500,1.575,0.805
3,0.625,0.500,0.750,7.962,4.253
4,0.875,0.750,1.000,7.339,3.534
5,1.125,1.000,1.250,16.841,4.946
6,1.375,1.250,1.500,42.526,13.036
7,1.625,1.500,1.750,30.740,8.446
8,1.875,1.750,2.000,105.525,28.672
9,2.125,2.000,2.250,257.464,58.862
10,2.375,2.250,2.500,310.248,76.571
11,2.625,2.500,2.750,368.619,74.729
12,2.875,2.750,3.000,277.745,42.077
13,3.125,3.000,3.250,469.021,84.118
14,3.375,3.250,3.500,622.068,86.686
15,3.625,3.500,3.750,859.951,131.241
16,3.875,3.750,4.000,911.128,126.090
17,4.125,4.000,4.250,1045.424,132.311
18,4.375,4.250,4.500,1297.063,139.160
19,4.625,4.500,4.750,1373.422,141.999
20,4.875,4.750,5.000,1644.753,152.048
21,5.125,5.000,5.250,1687.181,159.507
22,5.375,5.250,5.500,1867.268,169.914
23,5.625,5.500,5.750,1891.083,162.932
24,5.875,5.750,6.000,1812.030,147.782
25,6.125,6.000,6.250,2083.445,170.454
26,6.375,6.250,6.500,2141.855,161.375
27,6.625,6.500,6.750,1983.448,147.943
28,6.875,6.750,7.000,2195.758,149.499
29,7.125,7.000,7.250,1712.675,120.042
30,7.375,7.250,7.500,1691.822,110.548
31,7.625,7.500,7.750,1614.383,106.278
32,7.875,7.750,8.000,1416.202,94.754
33,8.125,8.000,8.250,1214.882,80.339
34,8.375,8.250,8.500,1124.959,76.394
35,8.625,8.500,8.750,907.775,58.928
36,8.875,8.750,9.000,613.661,40.737
37,9.125,9.000,9.250,569.039,37.486
38,9.375,9.250,9.500,470.012,30.193
39,9.625,9.500,9.750,356.254,24.365
40,9.875,9.750,10.000,268.679,17.140
41,10.125,10.000,10.250,214.769,13.162
42,10.375,10.250,10.500,178.762,13.132
43,10.625,10.500,10.750,113.405,6.723
44,10.875,10.750,11.000,89.484,5.240
45,11.125,11.000,11.250,77.079,5.551
46,11.375,11.250,11.500,53.310,2.333
47,11.625,11.500,11.750,54.471,2.025
48,11.875,11.750,12.000,50.023,1.885
49,12.125,12.000,12.250,46.770,1.472
50,12.375,12.250,12.500,41.032,1.277
51,12.625,12.500,12.750,37.703,1.185
52,12.875,12.750,13.000,34.462,1.090
53,13.125,13.000,13.250,29.858,0.959
54,13.375,13.250,13.500,28.052,0.902
55,13.625,13.500,13.750,23.502,0.791
56,13.875,13.750,14.000,20.986,0.724
57,14.125,14.000,14.250,18.553,0.642
58,14.375,14.250,14.500,15.047,0.551
59,14.625,14.500,14.750,14.056,0.518
60,14.875,14.750,15.000,12.659,0.471
61,15.125,15.000,15.250,9.944,0.384
62,15.375,15.250,15.500,9.346,0.367
63,15.625,15.500,15.750,8.484,0.342
64,15.875,15.750,16.000,6.721,0.286
65,16.125,16.000,16.250,5.801,0.257
66,16.375,16.250,16.500,4.284,0.215
67,16.625,16.500,16.750,3.820,0.192
68,16.875,16.750,17.000,2.912,0.174
69,17.125,17.000,17.250,2.201,0.149
70,17.375,17.250,17.500,1.258,0.111
71,17.625,17.500,17.750,0.529,0.069
72,17.875,17.750,18.000,0.317,0.053
73,18.125,18.000,18.250,0.073,0.022
74,18.375,18.250,18.500,0.020,0.012
75,18.625,18.500,18.750,0.002,0.002
76,18.875,18.750,19.000,0.000,0.000
77,19.125,19.000,19.250,0.000,0.000
78,19.375,19.250,19.500,0.000,0.000
79,19.625,19.500,19.750,0.000,0.000
80,19.875,19.750,20.000,0.000,0.000
