# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS z_Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.000,0.000
2,-9.500,-9.667,-9.333,0.000,0.000
3,-9.167,-9.333,-9.000,0.000,0.000
4,-8.833,-9.000,-8.667,0.000,0.000
5,-8.500,-8.667,-8.333,0.000,0.000
6,-8.167,-8.333,-8.000,0.000,0.000
7,-7.833,-8.000,-7.667,0.041,0.041
8,-7.500,-7.667,-7.333,2.556,2.554
9,-7.167,-7.333,-7.000,0.010,0.007
10,-6.833,-7.000,-6.667,0.035,0.020
11,-6.500,-6.667,-6.333,0.011,0.007
12,-6.167,-6.333,-6.000,0.752,0.610
13,-5.833,-6.000,-5.667,0.102,0.095
14,-5.500,-5.667,-5.333,41.500,40.527
15,-5.167,-5.333,-5.000,9.687,9.062
16,-4.833,-5.000,-4.667,42.486,29.580
17,-4.500,-4.667,-4.333,1.861,1.145
18,-4.167,-4.333,-4.000,12.722,11.446
19,-3.833,-4.000,-3.667,43.438,27.500
20,-3.500,-3.667,-3.333,30.738,15.325
21,-3.167,-3.333,-3.000,35.068,12.067
22,-2.833,-3.000,-2.667,131.257,41.662
23,-2.500,-2.667,-2.333,160.909,45.465
24,-2.167,-2.333,-2.000,348.293,64.167
25,-1.833,-2.000,-1.667,530.271,72.795
26,-1.500,-1.667,-1.333,1066.382,104.492
27,-1.167,-1.333,-1.000,2147.753,151.703
28,-0.833,-1.000,-0.667,4165.988,188.934
29,-0.500,-0.667,-0.333,8691.269,305.335
30,-0.167,-0.333,0.000,16588.561,412.235
31,0.167,0.000,0.333,18263.719,432.527
32,0.500,0.333,0.667,9573.909,312.537
33,0.833,0.667,1.000,4332.641,198.812
34,1.167,1.000,1.333,2117.114,136.715
35,1.500,1.333,1.667,1194.998,114.857
36,1.833,1.667,2.000,565.581,75.007
37,2.167,2.000,2.333,308.193,50.221
38,2.500,2.333,2.667,180.716,46.075
39,2.833,2.667,3.000,71.628,26.165
40,3.167,3.000,3.333,101.043,38.672
41,3.500,3.333,3.667,20.725,10.062
42,3.833,3.667,4.000,29.056,16.449
43,4.167,4.000,4.333,5.330,2.728
44,4.500,4.333,4.667,19.344,12.238
45,4.833,4.667,5.000,2.547,1.481
46,5.167,5.000,5.333,2.784,2.271
47,5.500,5.333,5.667,0.310,0.299
48,5.833,5.667,6.000,0.953,0.942
49,6.167,6.000,6.333,5.398,4.369
50,6.500,6.333,6.667,0.058,0.029
51,6.833,6.667,7.000,0.469,0.418
52,7.167,7.000,7.333,0.313,0.244
53,7.500,7.333,7.667,0.011,0.011
54,7.833,7.667,8.000,0.021,0.016
55,8.167,8.000,8.333,0.000,0.000
56,8.500,8.333,8.667,0.000,0.000
57,8.833,8.667,9.000,0.000,0.000
58,9.167,9.000,9.333,0.000,0.000
59,9.500,9.333,9.667,0.000,0.000
60,9.833,9.667,10.000,0.000,0.000
