# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  Momentum Acceptance, $\delta   
# xbins      : 60   
# xlabel     :  #delta [%]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.000,0.000
3,-13.750,-14.000,-13.500,0.001,0.001
4,-13.250,-13.500,-13.000,0.025,0.009
5,-12.750,-13.000,-12.500,0.085,0.030
6,-12.250,-12.500,-12.000,0.215,0.057
7,-11.750,-12.000,-11.500,0.397,0.069
8,-11.250,-11.500,-11.000,0.460,0.063
9,-10.750,-11.000,-10.500,1.019,0.146
10,-10.250,-10.500,-10.000,1.096,0.154
11,-9.750,-10.000,-9.500,1.831,0.214
12,-9.250,-9.500,-9.000,2.225,0.229
13,-8.750,-9.000,-8.500,2.711,0.256
14,-8.250,-8.500,-8.000,2.953,0.282
15,-7.750,-8.000,-7.500,4.010,0.384
16,-7.250,-7.500,-7.000,3.729,0.375
17,-6.750,-7.000,-6.500,4.291,0.366
18,-6.250,-6.500,-6.000,4.938,0.440
19,-5.750,-6.000,-5.500,4.568,0.402
20,-5.250,-5.500,-5.000,5.363,0.429
21,-4.750,-5.000,-4.500,5.189,0.418
22,-4.250,-4.500,-4.000,5.515,0.433
23,-3.750,-4.000,-3.500,5.395,0.482
24,-3.250,-3.500,-3.000,4.949,0.430
25,-2.750,-3.000,-2.500,6.048,0.505
26,-2.250,-2.500,-2.000,5.812,0.416
27,-1.750,-2.000,-1.500,5.932,0.471
28,-1.250,-1.500,-1.000,5.746,0.456
29,-0.750,-1.000,-0.500,5.382,0.430
30,-0.250,-0.500,0.000,5.443,0.419
31,0.250,0.000,0.500,5.447,0.418
32,0.750,0.500,1.000,5.543,0.395
33,1.250,1.000,1.500,4.325,0.353
34,1.750,1.500,2.000,4.571,0.360
35,2.250,2.000,2.500,4.086,0.324
36,2.750,2.500,3.000,3.370,0.278
37,3.250,3.000,3.500,3.220,0.262
38,3.750,3.500,4.000,2.540,0.205
39,4.250,4.000,4.500,2.396,0.187
40,4.750,4.500,5.000,2.068,0.156
41,5.250,5.000,5.500,1.730,0.133
42,5.750,5.500,6.000,1.525,0.122
43,6.250,6.000,6.500,1.162,0.080
44,6.750,6.500,7.000,1.072,0.092
45,7.250,7.000,7.500,0.919,0.075
46,7.750,7.500,8.000,0.831,0.072
47,8.250,8.000,8.500,0.614,0.043
48,8.750,8.500,9.000,0.524,0.036
49,9.250,9.000,9.500,0.419,0.021
50,9.750,9.500,10.000,0.353,0.020
51,10.250,10.000,10.500,0.304,0.014
52,10.750,10.500,11.000,0.270,0.012
53,11.250,11.000,11.500,0.228,0.007
54,11.750,11.500,12.000,0.178,0.004
55,12.250,12.000,12.500,0.157,0.004
56,12.750,12.500,13.000,0.109,0.003
57,13.250,13.000,13.500,0.076,0.002
58,13.750,13.500,14.000,0.048,0.002
59,14.250,14.000,14.500,0.028,0.001
60,14.750,14.500,15.000,0.013,0.001
