# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{tar}   
# xbins      : 100   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.099,-0.100,-0.098,0.000,0.000
2,-0.097,-0.098,-0.096,0.000,0.000
3,-0.095,-0.096,-0.094,0.000,0.000
4,-0.093,-0.094,-0.092,0.000,0.000
5,-0.091,-0.092,-0.090,0.000,0.000
6,-0.089,-0.090,-0.088,0.000,0.000
7,-0.087,-0.088,-0.086,0.000,0.000
8,-0.085,-0.086,-0.084,0.000,0.000
9,-0.083,-0.084,-0.082,0.000,0.000
10,-0.081,-0.082,-0.080,0.000,0.000
11,-0.079,-0.080,-0.078,0.000,0.000
12,-0.077,-0.078,-0.076,0.000,0.000
13,-0.075,-0.076,-0.074,0.000,0.000
14,-0.073,-0.074,-0.072,0.000,0.000
15,-0.071,-0.072,-0.070,0.001,0.001
16,-0.069,-0.070,-0.068,0.437,0.049
17,-0.067,-0.068,-0.066,0.979,0.129
18,-0.065,-0.066,-0.064,1.159,0.121
19,-0.063,-0.064,-0.062,1.233,0.147
20,-0.061,-0.062,-0.060,1.624,0.169
21,-0.059,-0.060,-0.058,1.644,0.196
22,-0.057,-0.058,-0.056,1.764,0.177
23,-0.055,-0.056,-0.054,1.572,0.120
24,-0.053,-0.054,-0.052,1.982,0.227
25,-0.051,-0.052,-0.050,1.976,0.175
26,-0.049,-0.050,-0.048,2.307,0.260
27,-0.047,-0.048,-0.046,2.401,0.253
28,-0.045,-0.046,-0.044,2.707,0.261
29,-0.043,-0.044,-0.042,2.814,0.275
30,-0.041,-0.042,-0.040,2.742,0.260
31,-0.039,-0.040,-0.038,2.940,0.259
32,-0.037,-0.038,-0.036,3.179,0.289
33,-0.035,-0.036,-0.034,2.588,0.260
34,-0.033,-0.034,-0.032,2.687,0.202
35,-0.031,-0.032,-0.030,2.887,0.275
36,-0.029,-0.030,-0.028,3.368,0.299
37,-0.027,-0.028,-0.026,3.306,0.323
38,-0.025,-0.026,-0.024,3.407,0.288
39,-0.023,-0.024,-0.022,2.945,0.246
40,-0.021,-0.022,-0.020,3.361,0.333
41,-0.019,-0.020,-0.018,3.323,0.279
42,-0.017,-0.018,-0.016,3.310,0.293
43,-0.015,-0.016,-0.014,3.436,0.350
44,-0.013,-0.014,-0.012,2.830,0.228
45,-0.011,-0.012,-0.010,3.186,0.271
46,-0.009,-0.010,-0.008,3.469,0.346
47,-0.007,-0.008,-0.006,2.988,0.274
48,-0.005,-0.006,-0.004,2.925,0.235
49,-0.003,-0.004,-0.002,3.724,0.364
50,-0.001,-0.002,0.000,3.072,0.246
51,0.001,0.000,0.002,3.432,0.303
52,0.003,0.002,0.004,3.449,0.314
53,0.005,0.004,0.006,3.461,0.306
54,0.007,0.006,0.008,2.709,0.224
55,0.009,0.008,0.010,3.467,0.286
56,0.011,0.010,0.012,3.435,0.338
57,0.013,0.012,0.014,3.245,0.260
58,0.015,0.014,0.016,3.010,0.236
59,0.017,0.016,0.018,3.670,0.362
60,0.019,0.018,0.020,2.660,0.214
61,0.021,0.020,0.022,3.190,0.275
62,0.023,0.022,0.024,3.619,0.333
63,0.025,0.024,0.026,3.304,0.320
64,0.027,0.026,0.028,3.214,0.303
65,0.029,0.028,0.030,2.711,0.195
66,0.031,0.030,0.032,3.207,0.319
67,0.033,0.032,0.034,3.300,0.285
68,0.035,0.034,0.036,3.050,0.275
69,0.037,0.036,0.038,2.710,0.231
70,0.039,0.038,0.040,2.802,0.255
71,0.041,0.040,0.042,2.461,0.220
72,0.043,0.042,0.044,2.488,0.241
73,0.045,0.044,0.046,2.401,0.238
74,0.047,0.046,0.048,2.397,0.239
75,0.049,0.048,0.050,2.501,0.227
76,0.051,0.050,0.052,2.228,0.219
77,0.053,0.052,0.054,1.846,0.188
78,0.055,0.054,0.056,2.205,0.244
79,0.057,0.056,0.058,2.172,0.288
80,0.059,0.058,0.060,1.610,0.196
81,0.061,0.060,0.062,1.527,0.177
82,0.063,0.062,0.064,1.429,0.177
83,0.065,0.064,0.066,1.136,0.127
84,0.067,0.066,0.068,0.796,0.078
85,0.069,0.068,0.070,0.483,0.076
86,0.071,0.070,0.072,0.000,0.000
87,0.073,0.072,0.074,0.000,0.000
88,0.075,0.074,0.076,0.000,0.000
89,0.077,0.076,0.078,0.000,0.000
90,0.079,0.078,0.080,0.000,0.000
91,0.081,0.080,0.082,0.000,0.000
92,0.083,0.082,0.084,0.000,0.000
93,0.085,0.084,0.086,0.000,0.000
94,0.087,0.086,0.088,0.000,0.000
95,0.089,0.088,0.090,0.000,0.000
96,0.091,0.090,0.092,0.000,0.000
97,0.093,0.092,0.094,0.000,0.000
98,0.095,0.094,0.096,0.000,0.000
99,0.097,0.096,0.098,0.000,0.000
100,0.099,0.098,0.100,0.000,0.000
