# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, cos($\phi_{pq}$)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, cos($\phi_{pq}$)   
# xbin_width : 0.024 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-1.188,-1.200,-1.176,0.000,0.000
2,-1.164,-1.176,-1.152,0.000,0.000
3,-1.140,-1.152,-1.128,0.000,0.000
4,-1.116,-1.128,-1.104,0.000,0.000
5,-1.092,-1.104,-1.080,0.000,0.000
6,-1.068,-1.080,-1.056,0.000,0.000
7,-1.044,-1.056,-1.032,0.000,0.000
8,-1.020,-1.032,-1.008,0.000,0.000
9,-0.996,-1.008,-0.984,5031.860,368.536
10,-0.972,-0.984,-0.960,2572.771,279.123
11,-0.948,-0.960,-0.936,2358.475,270.969
12,-0.924,-0.936,-0.912,2058.490,266.776
13,-0.900,-0.912,-0.888,2068.452,253.802
14,-0.876,-0.888,-0.864,1553.172,202.403
15,-0.852,-0.864,-0.840,1476.506,198.487
16,-0.828,-0.840,-0.816,1519.625,204.860
17,-0.804,-0.816,-0.792,1350.999,182.733
18,-0.780,-0.792,-0.768,1625.426,204.432
19,-0.756,-0.768,-0.744,1733.850,245.401
20,-0.732,-0.744,-0.720,1293.336,183.589
21,-0.708,-0.720,-0.696,1569.698,224.080
22,-0.684,-0.696,-0.672,1115.180,159.329
23,-0.660,-0.672,-0.648,1549.584,219.190
24,-0.636,-0.648,-0.624,1397.953,188.627
25,-0.612,-0.624,-0.600,1432.880,198.680
26,-0.588,-0.600,-0.576,1585.040,246.549
27,-0.564,-0.576,-0.552,1532.919,220.491
28,-0.540,-0.552,-0.528,2021.545,270.829
29,-0.516,-0.528,-0.504,1349.078,175.842
30,-0.492,-0.504,-0.480,1655.095,223.949
31,-0.468,-0.480,-0.456,1873.599,279.611
32,-0.444,-0.456,-0.432,1671.346,204.944
33,-0.420,-0.432,-0.408,1352.720,189.795
34,-0.396,-0.408,-0.384,1463.633,176.806
35,-0.372,-0.384,-0.360,1239.327,174.285
36,-0.348,-0.360,-0.336,1602.913,191.356
37,-0.324,-0.336,-0.312,1412.577,166.278
38,-0.300,-0.312,-0.288,1580.501,195.968
39,-0.276,-0.288,-0.264,1623.478,194.601
40,-0.252,-0.264,-0.240,2073.229,271.788
41,-0.228,-0.240,-0.216,1905.844,202.736
42,-0.204,-0.216,-0.192,2062.697,231.628
43,-0.180,-0.192,-0.168,2174.261,282.027
44,-0.156,-0.168,-0.144,1970.267,223.283
45,-0.132,-0.144,-0.120,1998.858,208.974
46,-0.108,-0.120,-0.096,1984.684,227.346
47,-0.084,-0.096,-0.072,2083.398,244.448
48,-0.060,-0.072,-0.048,1836.643,216.329
49,-0.036,-0.048,-0.024,2442.417,265.473
50,-0.012,-0.024,0.000,2390.860,255.111
51,0.012,0.000,0.024,1851.188,206.144
52,0.036,0.024,0.048,2291.152,240.246
53,0.060,0.048,0.072,2280.805,246.254
54,0.084,0.072,0.096,2789.346,297.824
55,0.108,0.096,0.120,2164.634,220.597
56,0.132,0.120,0.144,2111.194,207.895
57,0.156,0.144,0.168,2483.556,253.272
58,0.180,0.168,0.192,2053.999,211.737
59,0.204,0.192,0.216,2663.468,277.681
60,0.228,0.216,0.240,2402.683,249.743
61,0.252,0.240,0.264,2587.437,258.644
62,0.276,0.264,0.288,3028.422,301.095
63,0.300,0.288,0.312,2329.756,212.143
64,0.324,0.312,0.336,2602.684,260.641
65,0.348,0.336,0.360,2780.576,242.626
66,0.372,0.360,0.384,3230.860,341.651
67,0.396,0.384,0.408,2787.007,274.119
68,0.420,0.408,0.432,2996.484,298.769
69,0.444,0.432,0.456,3399.100,331.315
70,0.468,0.456,0.480,3490.968,303.803
71,0.492,0.480,0.504,3718.696,336.372
72,0.516,0.504,0.528,3311.872,324.011
73,0.540,0.528,0.552,3401.423,342.197
74,0.564,0.552,0.576,3452.997,296.774
75,0.588,0.576,0.600,3458.526,315.886
76,0.612,0.600,0.624,3969.987,344.405
77,0.636,0.624,0.648,4177.266,366.934
78,0.660,0.648,0.672,3772.523,369.278
79,0.684,0.672,0.696,4844.697,425.252
80,0.708,0.696,0.720,4531.170,349.981
81,0.732,0.720,0.744,4009.352,337.794
82,0.756,0.744,0.768,5065.077,439.073
83,0.780,0.768,0.792,4769.708,405.898
84,0.804,0.792,0.816,4908.451,390.234
85,0.828,0.816,0.840,5395.991,411.957
86,0.852,0.840,0.864,5887.950,463.832
87,0.876,0.864,0.888,6411.622,478.763
88,0.900,0.888,0.912,7026.470,504.475
89,0.924,0.912,0.936,8354.774,532.763
90,0.948,0.936,0.960,9066.321,556.289
91,0.972,0.960,0.984,12550.113,683.646
92,0.996,0.984,1.008,22314.252,926.842
93,1.020,1.008,1.032,0.000,0.000
94,1.044,1.032,1.056,0.000,0.000
95,1.068,1.056,1.080,0.000,0.000
96,1.092,1.080,1.104,0.000,0.000
97,1.116,1.104,1.128,0.000,0.000
98,1.140,1.128,1.152,0.000,0.000
99,1.164,1.152,1.176,0.000,0.000
100,1.188,1.176,1.200,0.000,0.000
