# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, $\phi_{pq}$ (vertex)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, $\phi_{pq}$ [deg]   
# xbin_width : 3.800 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-188.100,-190.000,-186.200,0.000,0.000
2,-184.300,-186.200,-182.400,0.000,0.000
3,-180.500,-182.400,-178.600,405.717,103.389
4,-176.700,-178.600,-174.800,942.139,175.482
5,-172.900,-174.800,-171.000,793.934,133.376
6,-169.100,-171.000,-167.200,721.771,129.697
7,-165.300,-167.200,-163.400,1147.845,198.952
8,-161.500,-163.400,-159.600,1026.234,182.637
9,-157.700,-159.600,-155.800,1132.050,213.135
10,-153.900,-155.800,-152.000,1052.139,176.859
11,-150.100,-152.000,-148.200,973.300,151.564
12,-146.300,-148.200,-144.400,917.590,157.081
13,-142.500,-144.400,-140.600,954.131,144.375
14,-138.700,-140.600,-136.800,1340.620,222.730
15,-134.900,-136.800,-133.000,1226.138,199.737
16,-131.100,-133.000,-129.200,1580.895,237.143
17,-127.300,-129.200,-125.400,1244.048,174.206
18,-123.500,-125.400,-121.600,1770.859,254.606
19,-119.700,-121.600,-117.800,1488.885,190.646
20,-115.900,-117.800,-114.000,1427.672,200.451
21,-112.100,-114.000,-110.200,1592.847,195.358
22,-108.300,-110.200,-106.400,1581.857,193.552
23,-104.500,-106.400,-102.600,2023.295,238.486
24,-100.700,-102.600,-98.800,2426.874,279.117
25,-96.900,-98.800,-95.000,2344.403,230.270
26,-93.100,-95.000,-91.200,2153.283,240.085
27,-89.300,-91.200,-87.400,2509.769,265.473
28,-85.500,-87.400,-83.600,2790.550,301.170
29,-81.700,-83.600,-79.800,2807.277,276.125
30,-77.900,-79.800,-76.000,2529.925,268.736
31,-74.100,-76.000,-72.200,3149.330,299.919
32,-70.300,-72.200,-68.400,2900.410,285.375
33,-66.500,-68.400,-64.600,3237.500,322.526
34,-62.700,-64.600,-60.800,3599.458,316.681
35,-58.900,-60.800,-57.000,3584.725,359.334
36,-55.100,-57.000,-53.200,3116.347,299.491
37,-51.300,-53.200,-49.400,3883.445,364.174
38,-47.500,-49.400,-45.600,4091.146,404.631
39,-43.700,-45.600,-41.800,3489.951,330.207
40,-39.900,-41.800,-38.000,3808.787,367.530
41,-36.100,-38.000,-34.200,3605.138,344.900
42,-32.300,-34.200,-30.400,3629.935,369.152
43,-28.500,-30.400,-26.600,4201.691,409.384
44,-24.700,-26.600,-22.800,3968.616,367.563
45,-20.900,-22.800,-19.000,4049.484,366.715
46,-17.100,-19.000,-15.200,3971.467,388.500
47,-13.300,-15.200,-11.400,4448.229,414.777
48,-9.500,-11.400,-7.600,3249.632,318.316
49,-5.700,-7.600,-3.800,3729.432,354.177
50,-1.900,-3.800,0.000,3977.649,419.282
51,1.900,0.000,3.800,4421.911,405.191
52,5.700,3.800,7.600,4750.942,454.760
53,9.500,7.600,11.400,3908.509,364.128
54,13.300,11.400,15.200,3859.476,389.020
55,17.100,15.200,19.000,4428.676,376.704
56,20.900,19.000,22.800,4568.607,411.107
57,24.700,22.800,26.600,4227.087,382.891
58,28.500,26.600,30.400,4417.026,381.101
59,32.300,30.400,34.200,4255.316,359.261
60,36.100,34.200,38.000,5378.458,435.254
61,39.900,38.000,41.800,4597.621,402.746
62,43.700,41.800,45.600,4737.469,347.029
63,47.500,45.600,49.400,4775.275,402.233
64,51.300,49.400,53.200,4800.045,367.773
65,55.100,53.200,57.000,4604.448,354.259
66,58.900,57.000,60.800,4685.667,372.346
67,62.700,60.800,64.600,4839.408,378.122
68,66.500,64.600,68.400,4391.528,368.941
69,70.300,68.400,72.200,4159.700,300.073
70,74.100,72.200,76.000,4017.186,312.658
71,77.900,76.000,79.800,3728.158,303.327
72,81.700,79.800,83.600,3505.785,263.652
73,85.500,83.600,87.400,4000.137,308.492
74,89.300,87.400,91.200,3532.565,291.781
75,93.100,91.200,95.000,3590.034,323.014
76,96.900,95.000,98.800,3234.182,283.404
77,100.700,98.800,102.600,3126.563,296.247
78,104.500,102.600,106.400,3071.972,293.074
79,108.300,106.400,110.200,2356.464,221.352
80,112.100,110.200,114.000,2091.352,219.488
81,115.900,114.000,117.800,2497.582,299.651
82,119.700,117.800,121.600,2250.372,256.469
83,123.500,121.600,125.400,2408.595,281.278
84,127.300,125.400,129.200,1884.149,251.608
85,131.100,129.200,133.000,1529.485,187.903
86,134.900,133.000,136.800,1190.207,150.159
87,138.700,136.800,140.600,1693.234,221.174
88,142.500,140.600,144.400,1539.229,208.351
89,146.300,144.400,148.200,1430.479,195.194
90,150.100,148.200,152.000,1055.817,157.070
91,153.900,152.000,155.800,1336.046,216.693
92,157.700,155.800,159.600,1059.786,172.047
93,161.500,159.600,163.400,1017.078,184.598
94,165.300,163.400,167.200,825.553,149.852
95,169.100,167.200,171.000,717.669,131.936
96,172.900,171.000,174.800,1124.994,193.241
97,176.700,174.800,178.600,849.475,135.086
98,180.500,178.600,182.400,250.548,68.459
99,184.300,182.400,186.200,0.000,0.000
100,188.100,186.200,190.000,0.000,0.000
