# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, cos($\phi_{pq}$)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, cos($\phi_{pq}$)   
# xbin_width : 0.024 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-1.188,-1.200,-1.176,0.000,0.000
2,-1.164,-1.176,-1.152,0.000,0.000
3,-1.140,-1.152,-1.128,0.000,0.000
4,-1.116,-1.128,-1.104,0.000,0.000
5,-1.092,-1.104,-1.080,0.000,0.000
6,-1.068,-1.080,-1.056,0.000,0.000
7,-1.044,-1.056,-1.032,0.000,0.000
8,-1.020,-1.032,-1.008,0.000,0.000
9,-0.996,-1.008,-0.984,7044.432,448.961
10,-0.972,-0.984,-0.960,3683.209,317.695
11,-0.948,-0.960,-0.936,3060.448,295.117
12,-0.924,-0.936,-0.912,2942.527,337.674
13,-0.900,-0.912,-0.888,2800.969,289.718
14,-0.876,-0.888,-0.864,2263.870,244.788
15,-0.852,-0.864,-0.840,2049.699,232.620
16,-0.828,-0.840,-0.816,2005.491,222.566
17,-0.804,-0.816,-0.792,1790.793,209.330
18,-0.780,-0.792,-0.768,2118.592,234.661
19,-0.756,-0.768,-0.744,2370.932,292.497
20,-0.732,-0.744,-0.720,1635.810,189.875
21,-0.708,-0.720,-0.696,2167.674,255.017
22,-0.684,-0.696,-0.672,1537.275,179.576
23,-0.660,-0.672,-0.648,1983.062,237.146
24,-0.636,-0.648,-0.624,1762.778,199.314
25,-0.612,-0.624,-0.600,2069.998,234.375
26,-0.588,-0.600,-0.576,2173.689,278.260
27,-0.564,-0.576,-0.552,2215.994,265.779
28,-0.540,-0.552,-0.528,2530.606,288.579
29,-0.516,-0.528,-0.504,1804.819,196.201
30,-0.492,-0.504,-0.480,2218.478,242.988
31,-0.468,-0.480,-0.456,2413.078,298.809
32,-0.444,-0.456,-0.432,2139.337,229.279
33,-0.420,-0.432,-0.408,1883.387,225.595
34,-0.396,-0.408,-0.384,2037.531,219.223
35,-0.372,-0.384,-0.360,1623.369,195.324
36,-0.348,-0.360,-0.336,2350.936,226.631
37,-0.324,-0.336,-0.312,2003.365,191.119
38,-0.300,-0.312,-0.288,2079.837,212.693
39,-0.276,-0.288,-0.264,2209.694,225.262
40,-0.252,-0.264,-0.240,2712.816,296.531
41,-0.228,-0.240,-0.216,2481.750,228.793
42,-0.204,-0.216,-0.192,2665.178,256.883
43,-0.180,-0.192,-0.168,2744.792,292.683
44,-0.156,-0.168,-0.144,2826.711,262.372
45,-0.132,-0.144,-0.120,2485.609,223.601
46,-0.108,-0.120,-0.096,2764.979,263.061
47,-0.084,-0.096,-0.072,2793.648,268.352
48,-0.060,-0.072,-0.048,2720.205,259.590
49,-0.036,-0.048,-0.024,3390.396,293.573
50,-0.012,-0.024,0.000,3079.134,275.732
51,0.012,0.000,0.024,2447.299,231.679
52,0.036,0.024,0.048,3159.086,276.206
53,0.060,0.048,0.072,3299.920,290.773
54,0.084,0.072,0.096,3995.167,363.400
55,0.108,0.096,0.120,3202.214,284.713
56,0.132,0.120,0.144,3214.940,264.399
57,0.156,0.144,0.168,3523.876,304.591
58,0.180,0.168,0.192,3156.570,275.407
59,0.204,0.192,0.216,3916.595,349.915
60,0.228,0.216,0.240,3397.995,285.046
61,0.252,0.240,0.264,3710.277,313.654
62,0.276,0.264,0.288,4084.642,328.226
63,0.300,0.288,0.312,3457.973,261.525
64,0.324,0.312,0.336,3622.623,302.791
65,0.348,0.336,0.360,4014.622,292.078
66,0.372,0.360,0.384,4188.396,369.659
67,0.396,0.384,0.408,4246.820,336.022
68,0.420,0.408,0.432,4279.454,341.435
69,0.444,0.432,0.456,4810.222,384.187
70,0.468,0.456,0.480,4929.893,351.218
71,0.492,0.480,0.504,5465.145,395.316
72,0.516,0.504,0.528,4646.513,369.386
73,0.540,0.528,0.552,4604.592,376.610
74,0.564,0.552,0.576,4715.573,329.802
75,0.588,0.576,0.600,4880.175,367.942
76,0.612,0.600,0.624,5538.215,396.621
77,0.636,0.624,0.648,5572.801,405.126
78,0.660,0.648,0.672,5947.487,440.737
79,0.684,0.672,0.696,6717.420,484.836
80,0.708,0.696,0.720,5798.298,379.731
81,0.732,0.720,0.744,5895.145,393.542
82,0.756,0.744,0.768,7511.888,512.770
83,0.780,0.768,0.792,6820.362,463.432
84,0.804,0.792,0.816,7082.010,451.135
85,0.828,0.816,0.840,7907.027,497.885
86,0.852,0.840,0.864,8415.481,528.969
87,0.876,0.864,0.888,9002.595,541.149
88,0.900,0.888,0.912,10311.866,601.704
89,0.924,0.912,0.936,11521.074,604.154
90,0.948,0.936,0.960,12466.397,625.886
91,0.972,0.960,0.984,18248.510,803.446
92,0.996,0.984,1.008,32508.182,1085.944
93,1.020,1.008,1.032,0.000,0.000
94,1.044,1.032,1.056,0.000,0.000
95,1.068,1.056,1.080,0.000,0.000
96,1.092,1.080,1.104,0.000,0.000
97,1.116,1.104,1.128,0.000,0.000
98,1.140,1.128,1.152,0.000,0.000
99,1.164,1.152,1.176,0.000,0.000
100,1.188,1.176,1.200,0.000,0.000
