# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, $\phi_{pq}$   
# xbins      : 100   
# xlabel     :  out-of-plane angle, $\phi_{pq}$ [deg]   
# xbin_width : 3.800 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-188.100,-190.000,-186.200,0.000,0.000
2,-184.300,-186.200,-182.400,0.000,0.000
3,-180.500,-182.400,-178.600,5.506,2.147
4,-176.700,-178.600,-174.800,9.763,2.390
5,-172.900,-174.800,-171.000,8.934,2.126
6,-169.100,-171.000,-167.200,6.350,2.121
7,-165.300,-167.200,-163.400,11.021,2.703
8,-161.500,-163.400,-159.600,11.736,2.430
9,-157.700,-159.600,-155.800,11.585,2.516
10,-153.900,-155.800,-152.000,7.930,1.893
11,-150.100,-152.000,-148.200,9.383,2.208
12,-146.300,-148.200,-144.400,12.893,2.553
13,-142.500,-144.400,-140.600,15.752,3.112
14,-138.700,-140.600,-136.800,13.886,2.942
15,-134.900,-136.800,-133.000,20.010,3.285
16,-131.100,-133.000,-129.200,21.585,3.609
17,-127.300,-129.200,-125.400,22.255,3.992
18,-123.500,-125.400,-121.600,26.213,3.803
19,-119.700,-121.600,-117.800,28.978,4.248
20,-115.900,-117.800,-114.000,25.057,3.020
21,-112.100,-114.000,-110.200,38.786,4.645
22,-108.300,-110.200,-106.400,30.183,3.892
23,-104.500,-106.400,-102.600,42.892,4.599
24,-100.700,-102.600,-98.800,49.038,5.045
25,-96.900,-98.800,-95.000,45.597,3.974
26,-93.100,-95.000,-91.200,54.252,4.669
27,-89.300,-91.200,-87.400,48.327,3.894
28,-85.500,-87.400,-83.600,62.091,5.110
29,-81.700,-83.600,-79.800,59.084,4.411
30,-77.900,-79.800,-76.000,60.148,4.787
31,-74.100,-76.000,-72.200,54.137,4.051
32,-70.300,-72.200,-68.400,56.471,4.468
33,-66.500,-68.400,-64.600,52.134,4.214
34,-62.700,-64.600,-60.800,50.998,3.588
35,-58.900,-60.800,-57.000,48.887,3.956
36,-55.100,-57.000,-53.200,41.563,3.073
37,-51.300,-53.200,-49.400,49.804,4.346
38,-47.500,-49.400,-45.600,30.439,2.667
39,-43.700,-45.600,-41.800,38.797,3.859
40,-39.900,-41.800,-38.000,39.504,3.912
41,-36.100,-38.000,-34.200,23.201,2.538
42,-32.300,-34.200,-30.400,27.972,3.128
43,-28.500,-30.400,-26.600,28.033,3.852
44,-24.700,-26.600,-22.800,26.334,2.801
45,-20.900,-22.800,-19.000,30.419,3.626
46,-17.100,-19.000,-15.200,21.132,3.299
47,-13.300,-15.200,-11.400,19.879,2.649
48,-9.500,-11.400,-7.600,18.036,2.711
49,-5.700,-7.600,-3.800,18.690,2.347
50,-1.900,-3.800,0.000,15.509,1.807
51,1.900,0.000,3.800,16.401,2.012
52,5.700,3.800,7.600,12.021,1.314
53,9.500,7.600,11.400,14.044,1.516
54,13.300,11.400,15.200,17.291,2.052
55,17.100,15.200,19.000,18.080,2.491
56,20.900,19.000,22.800,19.172,2.457
57,24.700,22.800,26.600,17.994,2.389
58,28.500,26.600,30.400,19.668,3.145
59,32.300,30.400,34.200,21.134,2.386
60,36.100,34.200,38.000,22.839,2.883
61,39.900,38.000,41.800,21.035,2.586
62,43.700,41.800,45.600,23.174,2.632
63,47.500,45.600,49.400,27.300,3.452
64,51.300,49.400,53.200,26.990,3.109
65,55.100,53.200,57.000,37.093,4.522
66,58.900,57.000,60.800,29.075,3.487
67,62.700,60.800,64.600,28.899,2.688
68,66.500,64.600,68.400,34.934,3.113
69,70.300,68.400,72.200,30.928,2.628
70,74.100,72.200,76.000,33.768,2.942
71,77.900,76.000,79.800,37.923,3.094
72,81.700,79.800,83.600,37.819,3.292
73,85.500,83.600,87.400,36.487,3.254
74,89.300,87.400,91.200,33.991,2.682
75,93.100,91.200,95.000,38.019,3.550
76,96.900,95.000,98.800,31.578,3.469
77,100.700,98.800,102.600,31.673,4.114
78,104.500,102.600,106.400,25.517,3.034
79,108.300,106.400,110.200,19.831,2.474
80,112.100,110.200,114.000,26.848,3.822
81,115.900,114.000,117.800,19.575,2.569
82,119.700,117.800,121.600,22.423,3.245
83,123.500,121.600,125.400,16.359,2.550
84,127.300,125.400,129.200,18.576,3.299
85,131.100,129.200,133.000,13.326,2.528
86,134.900,133.000,136.800,13.749,2.728
87,138.700,136.800,140.600,8.757,1.889
88,142.500,140.600,144.400,14.072,2.934
89,146.300,144.400,148.200,10.295,2.552
90,150.100,148.200,152.000,8.278,2.224
91,153.900,152.000,155.800,7.170,1.891
92,157.700,155.800,159.600,5.881,1.560
93,161.500,159.600,163.400,9.583,2.870
94,165.300,163.400,167.200,13.141,3.336
95,169.100,167.200,171.000,9.250,2.638
96,172.900,171.000,174.800,10.294,2.368
97,176.700,174.800,178.600,9.979,2.309
98,180.500,178.600,182.400,6.956,2.108
99,184.300,182.400,186.200,0.000,0.000
100,188.100,186.200,190.000,0.000,0.000
