# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : x-Bjorken   
# xbins      : 40   
# xlabel     :  x-bjorken, x_{Bj}   
# xbin_width : 0.033 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.516,0.500,0.532,0.000,0.000
2,0.549,0.532,0.565,0.000,0.000
3,0.581,0.565,0.598,0.000,0.000
4,0.614,0.598,0.630,0.000,0.000
5,0.646,0.630,0.662,1.779,0.615
6,0.679,0.662,0.695,11.006,1.732
7,0.711,0.695,0.728,36.424,3.826
8,0.744,0.728,0.760,77.766,5.934
9,0.776,0.760,0.792,110.801,7.579
10,0.809,0.792,0.825,159.510,9.483
11,0.841,0.825,0.858,203.868,11.012
12,0.874,0.858,0.890,232.599,11.921
13,0.906,0.890,0.922,245.331,11.856
14,0.939,0.922,0.955,217.506,10.064
15,0.971,0.955,0.988,241.341,10.087
16,1.004,0.988,1.020,202.128,8.264
17,1.036,1.020,1.052,165.771,6.228
18,1.069,1.052,1.085,144.241,5.256
19,1.101,1.085,1.118,116.360,4.081
20,1.134,1.118,1.150,88.174,3.026
21,1.166,1.150,1.183,66.169,2.163
22,1.199,1.183,1.215,45.161,1.433
23,1.231,1.215,1.248,29.630,0.963
24,1.264,1.248,1.280,19.605,0.557
25,1.296,1.280,1.312,14.308,0.379
26,1.329,1.312,1.345,9.742,0.231
27,1.361,1.345,1.377,7.271,0.161
28,1.394,1.377,1.410,4.973,0.106
29,1.426,1.410,1.442,3.382,0.069
30,1.459,1.442,1.475,2.363,0.048
31,1.491,1.475,1.508,1.526,0.032
32,1.524,1.508,1.540,0.907,0.021
33,1.556,1.540,1.573,0.460,0.013
34,1.589,1.573,1.605,0.195,0.008
35,1.621,1.605,1.637,0.056,0.004
36,1.654,1.637,1.670,0.011,0.002
37,1.686,1.670,1.703,0.001,0.000
38,1.719,1.703,1.735,0.000,0.000
39,1.751,1.735,1.768,0.000,0.000
40,1.784,1.768,1.800,0.000,0.000
