# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS y_Target (Lab)   
# xbins      : 100   
# xlabel     :  y-Target [cm]   
# xbin_width : 0.010 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.495,-0.500,-0.490,730.099,139.665
2,-0.485,-0.490,-0.480,836.760,113.336
3,-0.475,-0.480,-0.470,877.956,146.741
4,-0.465,-0.470,-0.460,1022.035,146.941
5,-0.455,-0.460,-0.450,949.456,147.598
6,-0.445,-0.450,-0.440,1159.182,188.091
7,-0.435,-0.440,-0.430,803.036,143.795
8,-0.425,-0.430,-0.420,956.549,123.118
9,-0.415,-0.420,-0.410,783.435,117.764
10,-0.405,-0.410,-0.400,835.817,124.939
11,-0.395,-0.400,-0.390,899.918,140.077
12,-0.385,-0.390,-0.380,1229.070,205.720
13,-0.375,-0.380,-0.370,840.539,138.286
14,-0.365,-0.370,-0.360,1061.241,158.523
15,-0.355,-0.360,-0.350,811.727,132.985
16,-0.345,-0.350,-0.340,597.789,110.224
17,-0.335,-0.340,-0.330,742.465,110.042
18,-0.325,-0.330,-0.320,759.205,102.618
19,-0.315,-0.320,-0.310,809.822,127.836
20,-0.305,-0.310,-0.300,937.672,159.302
21,-0.295,-0.300,-0.290,822.394,129.115
22,-0.285,-0.290,-0.280,948.436,144.893
23,-0.275,-0.280,-0.270,774.513,123.394
24,-0.265,-0.270,-0.260,790.200,113.489
25,-0.255,-0.260,-0.250,982.974,173.887
26,-0.245,-0.250,-0.240,640.362,87.610
27,-0.235,-0.240,-0.230,964.611,155.986
28,-0.225,-0.230,-0.220,1122.696,173.570
29,-0.215,-0.220,-0.210,668.543,100.968
30,-0.205,-0.210,-0.200,773.359,119.681
31,-0.195,-0.200,-0.190,796.385,126.423
32,-0.185,-0.190,-0.180,803.517,125.910
33,-0.175,-0.180,-0.170,796.900,125.908
34,-0.165,-0.170,-0.160,714.502,130.649
35,-0.155,-0.160,-0.150,853.532,119.302
36,-0.145,-0.150,-0.140,797.736,120.020
37,-0.135,-0.140,-0.130,683.016,89.193
38,-0.125,-0.130,-0.120,635.758,92.000
39,-0.115,-0.120,-0.110,937.653,140.540
40,-0.105,-0.110,-0.100,675.919,86.605
41,-0.095,-0.100,-0.090,724.321,105.970
42,-0.085,-0.090,-0.080,653.768,98.337
43,-0.075,-0.080,-0.070,1013.181,152.504
44,-0.065,-0.070,-0.060,563.235,68.474
45,-0.055,-0.060,-0.050,696.510,98.346
46,-0.045,-0.050,-0.040,715.441,122.811
47,-0.035,-0.040,-0.030,893.931,147.205
48,-0.025,-0.030,-0.020,1000.941,134.107
49,-0.015,-0.020,-0.010,798.866,144.121
50,-0.005,-0.010,0.000,743.756,113.446
51,0.005,0.000,0.010,881.348,157.613
52,0.015,0.010,0.020,855.767,131.698
53,0.025,0.020,0.030,954.816,140.943
54,0.035,0.030,0.040,771.952,116.426
55,0.045,0.040,0.050,666.279,117.738
56,0.055,0.050,0.060,694.255,99.889
57,0.065,0.060,0.070,818.758,119.188
58,0.075,0.070,0.080,780.081,110.330
59,0.085,0.080,0.090,622.668,84.450
60,0.095,0.090,0.100,695.506,110.908
61,0.105,0.100,0.110,587.557,85.755
62,0.115,0.110,0.120,918.789,161.174
63,0.125,0.120,0.130,798.616,100.559
64,0.135,0.130,0.140,851.830,160.092
65,0.145,0.140,0.150,1019.959,171.405
66,0.155,0.150,0.160,687.079,91.843
67,0.165,0.160,0.170,819.297,108.748
68,0.175,0.170,0.180,807.220,121.672
69,0.185,0.180,0.190,636.770,93.251
70,0.195,0.190,0.200,875.310,136.153
71,0.205,0.200,0.210,848.209,131.415
72,0.215,0.210,0.220,702.875,115.950
73,0.225,0.220,0.230,819.750,115.685
74,0.235,0.230,0.240,722.941,116.918
75,0.245,0.240,0.250,635.644,108.564
76,0.255,0.250,0.260,784.875,116.627
77,0.265,0.260,0.270,849.055,130.272
78,0.275,0.270,0.280,831.229,152.188
79,0.285,0.280,0.290,959.986,164.888
80,0.295,0.290,0.300,768.017,104.077
81,0.305,0.300,0.310,568.139,92.394
82,0.315,0.310,0.320,665.518,85.714
83,0.325,0.320,0.330,637.740,85.600
84,0.335,0.330,0.340,763.341,119.461
85,0.345,0.340,0.350,717.844,113.509
86,0.355,0.350,0.360,651.505,90.954
87,0.365,0.360,0.370,984.833,155.773
88,0.375,0.370,0.380,687.827,116.235
89,0.385,0.380,0.390,750.532,121.302
90,0.395,0.390,0.400,732.514,168.416
91,0.405,0.400,0.410,591.886,97.242
92,0.415,0.410,0.420,717.102,128.805
93,0.425,0.420,0.430,671.429,97.453
94,0.435,0.430,0.440,689.047,102.040
95,0.445,0.440,0.450,710.500,99.026
96,0.455,0.450,0.460,800.957,114.360
97,0.465,0.460,0.470,731.587,105.726
98,0.475,0.470,0.480,909.100,144.361
99,0.485,0.480,0.490,773.604,112.077
100,0.495,0.490,0.500,855.056,123.660
