# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Pm vs. $\theta_{rq}$ (xsec) 
# ybins      : 15 
# ylabel     :  missing momentum, P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  in-plane angle, $\theta_{rq}$ [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,   0.0259683,    0.00173558
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,   0.0301089,    0.00122438
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,   0.0357496,    0.00124977
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,    0.039877,    0.00138379
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,   0.0431056,    0.00154339
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,   0.0437321,    0.00184204
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,   0.0508356,    0.00320157
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,   0.0696683,    0.00799913
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,   0.0901401,     0.0202474
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,   0.0016268,   4.83878e-05
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,  0.00189068,   3.72235e-05
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,  0.00251152,   5.43622e-05
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,  0.00321611,   7.51073e-05
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,  0.00342907,   6.98459e-05
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,  0.00362581,    7.5896e-05
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,  0.00482894,   0.000196683
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,   0.0102164,    0.00262316
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,           0,             0
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24, 8.71176e-05,   1.57529e-06
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24, 0.000106839,   1.41085e-06
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24, 0.000147422,   4.54183e-06
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24, 0.000185616,   7.13102e-06
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24, 0.000241751,   3.75216e-06
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24, 0.000372943,   5.85757e-06
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24, 0.000587733,    3.4107e-05
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,           0,             0
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32, 9.06111e-06,   1.29212e-07
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32, 1.19741e-05,     1.354e-07
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32, 1.72847e-05,   3.07112e-07
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32, 3.02163e-05,   9.12833e-06
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32,   4.272e-05,   6.06979e-07
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32, 9.25569e-05,   2.17909e-06
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32, 0.000174937,   8.79373e-05
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4, 1.66995e-06,   2.10507e-08
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4,  2.3785e-06,   2.53447e-08
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4, 4.88756e-06,   5.72209e-08
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4, 1.04612e-05,   1.38056e-07
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4, 1.90918e-05,   3.65403e-07
     66,         6,         5,           110,       100,       120,        0.36,      0.32,         0.4, 3.84911e-05,   4.46718e-06
     67,         7,         5,           130,       120,       140,        0.36,      0.32,         0.4,           0,             0
     68,         8,         5,           150,       140,       160,        0.36,      0.32,         0.4,           0,             0
     69,         9,         5,           170,       160,       180,        0.36,      0.32,         0.4,           0,             0
     70,        10,         5,           190,       180,       200,        0.36,      0.32,         0.4,           0,             0
     73,         1,         6,            10,         0,        20,        0.44,       0.4,        0.48, 5.40534e-07,    7.7293e-09
     74,         2,         6,            30,        20,        40,        0.44,       0.4,        0.48, 8.04841e-07,   9.34937e-09
     75,         3,         6,            50,        40,        60,        0.44,       0.4,        0.48, 2.69054e-06,   3.33693e-08
     76,         4,         6,            70,        60,        80,        0.44,       0.4,        0.48, 8.04032e-06,   1.15714e-07
     77,         5,         6,            90,        80,       100,        0.44,       0.4,        0.48, 1.08326e-05,   3.97149e-07
