# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W (no cuts, DAQ rates)   
# xbins      : 100   
# xlabel     :  invariant mass, W [Gev]   
# xbin_width : 0.017 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.192,-0.200,-0.183,2.195,0.071
2,-0.174,-0.183,-0.166,2.003,0.070
3,-0.158,-0.166,-0.149,2.077,0.074
4,-0.141,-0.149,-0.132,1.763,0.067
5,-0.123,-0.132,-0.115,1.630,0.067
6,-0.107,-0.115,-0.098,1.538,0.067
7,-0.089,-0.098,-0.081,1.309,0.061
8,-0.073,-0.081,-0.064,1.093,0.057
9,-0.055,-0.064,-0.047,0.868,0.053
10,-0.038,-0.047,-0.030,0.609,0.041
11,-0.022,-0.030,-0.013,0.397,0.035
12,-0.005,-0.013,0.004,0.091,0.017
13,0.013,0.004,0.021,0.231,0.028
14,0.030,0.021,0.038,0.480,0.039
15,0.046,0.038,0.055,0.732,0.049
16,0.064,0.055,0.072,0.993,0.057
17,0.081,0.072,0.089,1.311,0.065
18,0.098,0.089,0.106,1.530,0.070
19,0.115,0.106,0.123,1.931,0.080
20,0.132,0.123,0.140,2.406,0.093
21,0.149,0.140,0.157,3.064,0.105
22,0.166,0.157,0.174,3.251,0.113
23,0.182,0.174,0.191,3.915,0.126
24,0.200,0.191,0.208,4.122,0.131
25,0.217,0.208,0.225,5.055,0.148
26,0.234,0.225,0.242,5.984,0.168
27,0.251,0.242,0.259,6.608,0.181
28,0.268,0.259,0.276,7.584,0.203
29,0.285,0.276,0.293,8.632,0.224
30,0.301,0.293,0.310,9.923,0.249
31,0.319,0.310,0.327,11.229,0.277
32,0.336,0.327,0.344,13.022,0.310
33,0.353,0.344,0.361,15.413,0.357
34,0.370,0.361,0.378,17.761,0.399
35,0.387,0.378,0.395,21.425,0.467
36,0.404,0.395,0.412,23.940,0.518
37,0.421,0.412,0.429,29.377,0.624
38,0.438,0.429,0.446,32.679,0.681
39,0.455,0.446,0.463,39.417,0.817
40,0.472,0.463,0.480,46.357,0.956
41,0.489,0.480,0.497,54.748,1.092
42,0.506,0.497,0.514,63.927,1.301
43,0.523,0.514,0.531,73.375,1.484
44,0.540,0.531,0.548,94.710,1.851
45,0.556,0.548,0.565,112.101,2.222
46,0.574,0.565,0.582,138.247,2.711
47,0.591,0.582,0.599,169.503,3.319
48,0.608,0.599,0.616,202.878,3.986
49,0.625,0.616,0.633,250.850,4.948
50,0.642,0.633,0.650,314.662,6.229
51,0.659,0.650,0.667,412.064,8.125
52,0.676,0.667,0.684,518.307,10.293
53,0.693,0.684,0.701,655.237,13.359
54,0.710,0.701,0.718,852.519,17.107
55,0.727,0.718,0.735,1087.057,22.769
56,0.744,0.735,0.752,1465.685,31.076
57,0.761,0.752,0.769,1886.499,41.820
58,0.778,0.769,0.786,2548.225,58.442
59,0.795,0.786,0.803,3510.420,81.463
60,0.812,0.803,0.820,5067.164,123.457
61,0.829,0.820,0.837,6750.021,172.050
62,0.846,0.837,0.854,9525.430,256.130
63,0.863,0.854,0.871,13531.350,379.256
64,0.880,0.871,0.888,18792.838,542.574
65,0.897,0.888,0.905,25944.346,802.420
66,0.914,0.905,0.922,34265.035,1091.921
67,0.931,0.922,0.939,38279.324,1242.233
68,0.948,0.939,0.956,41808.988,1386.480
69,0.965,0.956,0.973,37079.352,1267.374
70,0.982,0.973,0.990,32054.943,1117.059
71,0.999,0.990,1.007,24771.504,881.803
72,1.016,1.007,1.024,18873.871,707.904
73,1.033,1.024,1.041,13977.324,579.224
74,1.050,1.041,1.058,9990.053,421.332
75,1.067,1.058,1.075,8535.441,439.446
76,1.084,1.075,1.092,6338.670,374.451
77,1.101,1.092,1.109,6289.613,429.004
78,1.118,1.109,1.126,5019.595,327.216
79,1.135,1.126,1.143,4768.797,361.503
80,1.152,1.143,1.160,4493.566,372.443
81,1.169,1.160,1.177,4007.735,388.862
82,1.186,1.177,1.194,4004.439,375.375
83,1.203,1.194,1.211,3550.280,338.961
84,1.220,1.211,1.228,2925.456,321.052
85,1.237,1.228,1.245,3158.669,353.038
86,1.254,1.245,1.262,2972.870,329.151
87,1.271,1.262,1.279,2642.242,263.449
88,1.288,1.279,1.296,2029.606,210.619
89,1.304,1.296,1.313,2374.766,248.833
90,1.322,1.313,1.330,2536.209,264.242
91,1.339,1.330,1.347,2746.352,329.919
92,1.356,1.347,1.364,1769.064,204.122
93,1.373,1.364,1.381,2459.874,285.708
94,1.390,1.381,1.398,1890.332,238.199
95,1.407,1.398,1.415,2216.901,274.930
96,1.424,1.415,1.432,2376.920,298.764
97,1.441,1.432,1.449,1964.586,259.768
98,1.458,1.449,1.466,2317.482,278.474
99,1.475,1.466,1.483,2155.527,296.589
100,1.492,1.483,1.500,1659.539,220.049
