# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W   
# xbins      : 100   
# xlabel     :  invariant mass, W [GeV]   
# xbin_width : 0.017 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.192,-0.200,-0.183,0.836,0.027
2,-0.174,-0.183,-0.166,0.790,0.027
3,-0.158,-0.166,-0.149,0.748,0.026
4,-0.141,-0.149,-0.132,0.698,0.026
5,-0.123,-0.132,-0.115,0.694,0.026
6,-0.107,-0.115,-0.098,0.618,0.026
7,-0.089,-0.098,-0.081,0.510,0.023
8,-0.073,-0.081,-0.064,0.405,0.021
9,-0.055,-0.064,-0.047,0.315,0.019
10,-0.038,-0.047,-0.030,0.225,0.015
11,-0.022,-0.030,-0.013,0.117,0.011
12,-0.005,-0.013,0.004,0.025,0.005
13,0.013,0.004,0.021,0.084,0.009
14,0.030,0.021,0.038,0.166,0.014
15,0.046,0.038,0.055,0.297,0.019
16,0.064,0.055,0.072,0.418,0.022
17,0.081,0.072,0.089,0.515,0.025
18,0.098,0.089,0.106,0.642,0.027
19,0.115,0.106,0.123,0.712,0.029
20,0.132,0.123,0.140,0.887,0.034
21,0.149,0.140,0.157,1.061,0.037
22,0.166,0.157,0.174,1.225,0.041
23,0.182,0.174,0.191,1.445,0.045
24,0.200,0.191,0.208,1.745,0.052
25,0.217,0.208,0.225,1.866,0.054
26,0.234,0.225,0.242,2.196,0.062
27,0.251,0.242,0.259,2.470,0.069
28,0.268,0.259,0.276,2.770,0.074
29,0.285,0.276,0.293,3.333,0.086
30,0.301,0.293,0.310,3.826,0.095
31,0.319,0.310,0.327,4.453,0.108
32,0.336,0.327,0.344,5.035,0.120
33,0.353,0.344,0.361,5.643,0.132
34,0.370,0.361,0.378,6.945,0.159
35,0.387,0.378,0.395,8.148,0.183
36,0.404,0.395,0.412,8.941,0.201
37,0.421,0.412,0.429,11.303,0.243
38,0.438,0.429,0.446,12.670,0.274
39,0.455,0.446,0.463,15.764,0.338
40,0.472,0.463,0.480,18.918,0.400
41,0.489,0.480,0.497,22.785,0.481
42,0.506,0.497,0.514,27.655,0.569
43,0.523,0.514,0.531,34.057,0.704
44,0.540,0.531,0.548,40.903,0.843
45,0.556,0.548,0.565,50.742,1.034
46,0.574,0.565,0.582,66.521,1.339
47,0.591,0.582,0.599,83.438,1.713
48,0.608,0.599,0.616,108.603,2.212
49,0.625,0.616,0.633,136.879,2.779
50,0.642,0.633,0.650,176.358,3.660
51,0.659,0.650,0.667,228.096,4.764
52,0.676,0.667,0.684,308.188,6.326
53,0.693,0.684,0.701,423.386,8.849
54,0.710,0.701,0.718,543.733,11.678
55,0.727,0.718,0.735,759.026,16.332
56,0.744,0.735,0.752,1111.335,24.324
57,0.761,0.752,0.769,1624.908,35.128
58,0.778,0.769,0.786,2277.842,50.415
59,0.795,0.786,0.803,3483.909,78.426
60,0.812,0.803,0.820,5191.460,121.250
61,0.829,0.820,0.837,7812.602,189.205
62,0.846,0.837,0.854,12099.681,300.940
63,0.863,0.854,0.871,19162.502,485.821
64,0.880,0.871,0.888,32050.025,824.641
65,0.897,0.888,0.905,49663.691,1308.729
66,0.914,0.905,0.922,66212.906,1836.606
67,0.931,0.922,0.939,88675.109,2450.607
68,0.948,0.939,0.956,101964.828,2897.691
69,0.965,0.956,0.973,94057.914,2763.403
70,0.982,0.973,0.990,76429.961,2307.308
71,0.999,0.990,1.007,51234.133,1623.220
72,1.016,1.007,1.024,31552.611,999.476
73,1.033,1.024,1.041,18605.895,623.130
74,1.050,1.041,1.058,10017.987,338.119
75,1.067,1.058,1.075,5685.276,195.925
76,1.084,1.075,1.092,3160.271,109.929
77,1.101,1.092,1.109,1567.720,58.915
78,1.118,1.109,1.126,825.302,32.945
79,1.135,1.126,1.143,338.020,16.961
80,1.152,1.143,1.160,106.390,7.904
81,1.169,1.160,1.177,24.786,3.210
82,1.186,1.177,1.194,1.427,0.386
83,1.203,1.194,1.211,0.012,0.012
84,1.220,1.211,1.228,0.000,0.000
85,1.237,1.228,1.245,0.000,0.000
86,1.254,1.245,1.262,0.000,0.000
87,1.271,1.262,1.279,0.000,0.000
88,1.288,1.279,1.296,0.000,0.000
89,1.304,1.296,1.313,0.000,0.000
90,1.322,1.313,1.330,0.000,0.000
91,1.339,1.330,1.347,0.000,0.000
92,1.356,1.347,1.364,0.000,0.000
93,1.373,1.364,1.381,0.000,0.000
94,1.390,1.381,1.398,0.000,0.000
95,1.407,1.398,1.415,0.000,0.000
96,1.424,1.415,1.432,0.000,0.000
97,1.441,1.432,1.449,0.000,0.000
98,1.458,1.449,1.466,0.000,0.000
99,1.475,1.466,1.483,0.000,0.000
100,1.492,1.483,1.500,0.000,0.000
