# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : 4-Momentum Transfer, Q^{2} (vertex)   
# xbins      : 40   
# xlabel     :  4-momentum transfer, Q^{2} [GeV^{2}]   
# xbin_width : 0.062 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,1.031,1.000,1.062,0.000,0.000
2,1.094,1.062,1.125,0.000,0.000
3,1.156,1.125,1.188,0.000,0.000
4,1.219,1.188,1.250,0.000,0.000
5,1.281,1.250,1.312,5.311,0.959
6,1.344,1.312,1.375,24588.766,1103.712
7,1.406,1.375,1.438,104581.938,2642.117
8,1.469,1.438,1.500,118413.695,2808.535
9,1.531,1.500,1.562,120297.727,2787.208
10,1.594,1.562,1.625,104719.977,2473.840
11,1.656,1.625,1.688,88328.125,2090.301
12,1.719,1.688,1.750,67186.289,1664.897
13,1.781,1.750,1.812,49805.676,1303.259
14,1.844,1.812,1.875,32425.453,910.760
15,1.906,1.875,1.938,17305.072,483.555
16,1.969,1.938,2.000,8965.604,253.995
17,2.031,2.000,2.062,4407.896,112.373
18,2.094,2.062,2.125,2217.092,52.254
19,2.156,2.125,2.188,1052.730,24.194
20,2.219,2.188,2.250,552.946,11.766
21,2.281,2.250,2.312,294.690,5.853
22,2.344,2.312,2.375,162.530,2.937
23,2.406,2.375,2.438,98.029,1.699
24,2.469,2.438,2.500,58.355,0.970
25,2.531,2.500,2.562,35.013,0.552
26,2.594,2.562,2.625,22.853,0.341
27,2.656,2.625,2.688,14.429,0.209
28,2.719,2.688,2.750,9.740,0.136
29,2.781,2.750,2.812,6.473,0.091
30,2.844,2.812,2.875,4.209,0.061
31,2.906,2.875,2.938,2.293,0.038
32,2.969,2.938,3.000,0.328,0.010
33,3.031,3.000,3.062,0.001,0.000
34,3.094,3.062,3.125,0.000,0.000
35,3.156,3.125,3.188,0.000,0.000
36,3.219,3.188,3.250,0.000,0.000
37,3.281,3.250,3.312,0.000,0.000
38,3.344,3.312,3.375,0.000,0.000
39,3.406,3.375,3.438,0.000,0.000
40,3.469,3.438,3.500,0.000,0.000
