# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : 4-Momentum Transfer, Q^{2}   
# xbins      : 40   
# xlabel     :  4-momentum transfer, Q^{2} [GeV^{2}]   
# xbin_width : 0.062 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,1.031,1.000,1.062,0.000,0.000
2,1.094,1.062,1.125,0.000,0.000
3,1.156,1.125,1.188,0.000,0.000
4,1.219,1.188,1.250,0.000,0.000
5,1.281,1.250,1.312,51.211,18.605
6,1.344,1.312,1.375,25525.400,1143.848
7,1.406,1.375,1.438,105890.000,2658.992
8,1.469,1.438,1.500,116313.438,2785.633
9,1.531,1.500,1.562,120261.891,2773.200
10,1.594,1.562,1.625,104629.711,2474.322
11,1.656,1.625,1.688,89139.641,2101.165
12,1.719,1.688,1.750,67430.547,1673.236
13,1.781,1.750,1.812,49087.168,1286.409
14,1.844,1.812,1.875,32144.230,901.704
15,1.906,1.875,1.938,16969.871,488.309
16,1.969,1.938,2.000,9172.601,264.118
17,2.031,2.000,2.062,4431.424,113.949
18,2.094,2.062,2.125,2193.936,52.522
19,2.156,2.125,2.188,1068.486,25.035
20,2.219,2.188,2.250,545.135,11.642
21,2.281,2.250,2.312,292.376,5.960
22,2.344,2.312,2.375,163.319,3.015
23,2.406,2.375,2.438,99.326,1.716
24,2.469,2.438,2.500,57.380,0.962
25,2.531,2.500,2.562,35.358,0.566
26,2.594,2.562,2.625,22.777,0.344
27,2.656,2.625,2.688,14.596,0.212
28,2.719,2.688,2.750,9.837,0.139
29,2.781,2.750,2.812,6.341,0.090
30,2.844,2.812,2.875,4.236,0.062
31,2.906,2.875,2.938,2.266,0.039
32,2.969,2.938,3.000,0.427,0.013
33,3.031,3.000,3.062,0.005,0.001
34,3.094,3.062,3.125,0.000,0.000
35,3.156,3.125,3.188,0.000,0.000
36,3.219,3.188,3.250,0.000,0.000
37,3.281,3.250,3.312,0.000,0.000
38,3.344,3.312,3.375,0.000,0.000
39,3.406,3.375,3.438,0.000,0.000
40,3.469,3.438,3.500,0.000,0.000
