# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS z_Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,0.250,0.123
2,-9.500,-9.667,-9.333,0.088,0.032
3,-9.167,-9.333,-9.000,1.128,0.757
4,-8.833,-9.000,-8.667,4.621,4.204
5,-8.500,-8.667,-8.333,4.181,2.227
6,-8.167,-8.333,-8.000,2.720,1.964
7,-7.833,-8.000,-7.667,4.165,2.004
8,-7.500,-7.667,-7.333,24.228,19.510
9,-7.167,-7.333,-7.000,4.328,2.248
10,-6.833,-7.000,-6.667,26.301,19.603
11,-6.500,-6.667,-6.333,86.172,53.024
12,-6.167,-6.333,-6.000,58.273,30.892
13,-5.833,-6.000,-5.667,54.295,17.528
14,-5.500,-5.667,-5.333,82.556,21.577
15,-5.167,-5.333,-5.000,297.150,91.034
16,-4.833,-5.000,-4.667,381.068,116.590
17,-4.500,-4.667,-4.333,739.576,166.923
18,-4.167,-4.333,-4.000,1109.270,160.246
19,-3.833,-4.000,-3.667,1933.102,238.677
20,-3.500,-3.667,-3.333,3293.558,310.376
21,-3.167,-3.333,-3.000,7557.771,551.441
22,-2.833,-3.000,-2.667,15651.850,821.903
23,-2.500,-2.667,-2.333,29452.055,1215.234
24,-2.167,-2.333,-2.000,39816.648,1369.300
25,-1.833,-2.000,-1.667,50763.035,1518.531
26,-1.500,-1.667,-1.333,62120.074,1713.910
27,-1.167,-1.333,-1.000,71655.617,1847.647
28,-0.833,-1.000,-0.667,80403.867,1928.864
29,-0.500,-0.667,-0.333,91035.508,2081.138
30,-0.167,-0.333,0.000,104911.656,2273.745
31,0.167,0.000,0.333,104194.695,2279.307
32,0.500,0.333,0.667,91494.172,2088.923
33,0.833,0.667,1.000,81536.266,1971.173
34,1.167,1.000,1.333,76197.492,2037.159
35,1.500,1.333,1.667,62815.199,1781.759
36,1.833,1.667,2.000,54570.430,1712.032
37,2.167,2.000,2.333,40942.309,1451.770
38,2.500,2.333,2.667,30942.816,1310.260
39,2.833,2.667,3.000,17540.898,971.565
40,3.167,3.000,3.333,8601.519,673.834
41,3.500,3.333,3.667,4781.076,559.210
42,3.833,3.667,4.000,2421.866,370.049
43,4.167,4.000,4.333,1032.595,248.141
44,4.500,4.333,4.667,709.967,235.880
45,4.833,4.667,5.000,278.482,99.456
46,5.167,5.000,5.333,401.651,207.424
47,5.500,5.333,5.667,161.438,90.701
48,5.833,5.667,6.000,28.438,14.686
49,6.167,6.000,6.333,59.565,32.227
50,6.500,6.333,6.667,6.062,3.888
51,6.833,6.667,7.000,6.538,5.997
52,7.167,7.000,7.333,1.056,0.492
53,7.500,7.333,7.667,3.225,2.593
54,7.833,7.667,8.000,0.126,0.056
55,8.167,8.000,8.333,0.344,0.262
56,8.500,8.333,8.667,0.280,0.161
57,8.833,8.667,9.000,0.435,0.360
58,9.167,9.000,9.333,0.696,0.603
59,9.500,9.333,9.667,0.399,0.397
60,9.833,9.667,10.000,0.181,0.156
