# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, $\phi_{pq}$ (vertex)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, $\phi_{pq}$ [deg]   
# xbin_width : 3.800 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-188.100,-190.000,-186.200,0.000,0.000
2,-184.300,-186.200,-182.400,0.000,0.000
3,-180.500,-182.400,-178.600,1246.991,194.411
4,-176.700,-178.600,-174.800,4232.989,401.840
5,-172.900,-174.800,-171.000,5777.965,541.138
6,-169.100,-171.000,-167.200,4022.557,420.833
7,-165.300,-167.200,-163.400,4832.377,485.060
8,-161.500,-163.400,-159.600,4547.538,436.487
9,-157.700,-159.600,-155.800,5053.533,470.139
10,-153.900,-155.800,-152.000,4958.995,506.704
11,-150.100,-152.000,-148.200,4166.120,433.446
12,-146.300,-148.200,-144.400,4574.989,442.057
13,-142.500,-144.400,-140.600,5174.948,531.505
14,-138.700,-140.600,-136.800,4389.417,411.303
15,-134.900,-136.800,-133.000,4639.030,442.840
16,-131.100,-133.000,-129.200,4555.126,406.174
17,-127.300,-129.200,-125.400,5319.409,479.226
18,-123.500,-125.400,-121.600,5702.738,502.819
19,-119.700,-121.600,-117.800,5300.100,475.130
20,-115.900,-117.800,-114.000,5185.639,487.679
21,-112.100,-114.000,-110.200,5349.655,503.206
22,-108.300,-110.200,-106.400,5565.872,503.925
23,-104.500,-106.400,-102.600,6123.462,559.407
24,-100.700,-102.600,-98.800,4954.006,431.958
25,-96.900,-98.800,-95.000,5176.199,439.131
26,-93.100,-95.000,-91.200,7107.123,621.764
27,-89.300,-91.200,-87.400,6106.210,539.099
28,-85.500,-87.400,-83.600,5513.808,512.681
29,-81.700,-83.600,-79.800,5731.134,507.063
30,-77.900,-79.800,-76.000,5748.321,548.874
31,-74.100,-76.000,-72.200,5939.047,561.125
32,-70.300,-72.200,-68.400,6515.665,571.801
33,-66.500,-68.400,-64.600,5547.899,486.458
34,-62.700,-64.600,-60.800,6490.960,629.337
35,-58.900,-60.800,-57.000,5643.815,550.168
36,-55.100,-57.000,-53.200,6119.838,638.643
37,-51.300,-53.200,-49.400,5387.956,542.896
38,-47.500,-49.400,-45.600,5324.711,587.664
39,-43.700,-45.600,-41.800,5022.360,553.268
40,-39.900,-41.800,-38.000,4137.756,463.271
41,-36.100,-38.000,-34.200,5669.633,605.268
42,-32.300,-34.200,-30.400,4351.545,481.266
43,-28.500,-30.400,-26.600,5486.336,627.053
44,-24.700,-26.600,-22.800,4848.649,521.532
45,-20.900,-22.800,-19.000,5584.206,598.758
46,-17.100,-19.000,-15.200,5946.205,690.370
47,-13.300,-15.200,-11.400,5653.202,653.279
48,-9.500,-11.400,-7.600,4355.825,563.349
49,-5.700,-7.600,-3.800,4219.682,489.306
50,-1.900,-3.800,0.000,5002.089,579.454
51,1.900,0.000,3.800,5571.099,658.205
52,5.700,3.800,7.600,5958.334,656.022
53,9.500,7.600,11.400,4799.507,571.109
54,13.300,11.400,15.200,4843.285,553.229
55,17.100,15.200,19.000,4684.126,515.288
56,20.900,19.000,22.800,5550.163,593.732
57,24.700,22.800,26.600,5411.806,548.174
58,28.500,26.600,30.400,5971.034,597.706
59,32.300,30.400,34.200,7535.408,712.995
60,36.100,34.200,38.000,5253.759,522.300
61,39.900,38.000,41.800,5823.033,575.498
62,43.700,41.800,45.600,7271.496,657.310
63,47.500,45.600,49.400,7736.155,692.108
64,51.300,49.400,53.200,7439.576,695.351
65,55.100,53.200,57.000,7169.635,614.017
66,58.900,57.000,60.800,8267.396,656.470
67,62.700,60.800,64.600,8545.250,685.241
68,66.500,64.600,68.400,7993.555,649.480
69,70.300,68.400,72.200,7327.702,561.896
70,74.100,72.200,76.000,8263.198,667.266
71,77.900,76.000,79.800,7827.623,584.838
72,81.700,79.800,83.600,8427.256,585.917
73,85.500,83.600,87.400,8683.780,619.242
74,89.300,87.400,91.200,8066.574,550.208
75,93.100,91.200,95.000,8008.056,588.523
76,96.900,95.000,98.800,7138.859,548.098
77,100.700,98.800,102.600,7892.771,617.218
78,104.500,102.600,106.400,8112.925,576.602
79,108.300,106.400,110.200,8560.354,631.648
80,112.100,110.200,114.000,6909.380,536.112
81,115.900,114.000,117.800,8501.542,622.737
82,119.700,117.800,121.600,6926.470,534.796
83,123.500,121.600,125.400,7918.044,630.133
84,127.300,125.400,129.200,6663.136,476.903
85,131.100,129.200,133.000,6293.587,516.489
86,134.900,133.000,136.800,6981.970,567.261
87,138.700,136.800,140.600,6089.709,546.666
88,142.500,140.600,144.400,5755.129,487.650
89,146.300,144.400,148.200,5826.546,501.722
90,150.100,148.200,152.000,6094.379,553.423
91,153.900,152.000,155.800,6521.062,582.648
92,157.700,155.800,159.600,5618.210,515.279
93,161.500,159.600,163.400,5050.913,456.203
94,165.300,163.400,167.200,4891.964,451.777
95,169.100,167.200,171.000,5505.771,562.481
96,172.900,171.000,174.800,4646.645,453.385
97,176.700,174.800,178.600,4754.221,472.106
98,180.500,178.600,182.400,1378.481,228.247
99,184.300,182.400,186.200,0.000,0.000
100,188.100,186.200,190.000,0.000,0.000
