# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : sin($\phi_{pq}$) (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  $\theta_{rq}$ [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,   -0.013636,     0.0435263
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,  -0.0209126,     0.0243592
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,  -0.0110655,     0.0188771
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08, -0.00508885,     0.0168787
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,    0.036417,     0.0171545
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,   0.0113724,     0.0186012
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,   0.0403047,     0.0209824
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08, 0.000602986,     0.0275469
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,    0.106065,     0.0560553
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,  -0.0226672,     0.0201756
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16, -0.00867657,      0.010453
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,  0.00161134,    0.00977005
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16, -0.00444093,      0.011154
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,    0.079309,     0.0124688
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,   0.0670011,     0.0119031
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,   0.0455399,     0.0117795
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,    0.013169,     0.0251057
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,  -0.0355286,      0.115031
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,  -0.0180207,     0.0123359
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24,  0.00533429,    0.00622208
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24,   0.0114032,    0.00807108
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24,    0.093508,     0.0100728
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24,    0.152118,     0.0108299
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24,    0.111168,    0.00924043
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24,    0.051276,    0.00989771
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,   0.0134102,     0.0740104
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32, -0.00913922,    0.00818118
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32,  0.00916369,     0.0052903
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32,    0.145643,    0.00779249
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32,    0.367953,     0.0091508
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32,    0.341747,     0.0109918
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32,    0.303232,     0.0161129
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32,    0.246559,      0.126274
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4, -0.00889178,    0.00609878
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4,   0.0918832,    0.00560799
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4,    0.481963,    0.00890518
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4,    0.779195,     0.0115706
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4,    0.642625,     0.0170293
     66,         6,         5,           110,       100,       120,        0.36,      0.32,         0.4,    0.724182,     0.0976412
     67,         7,         5,           130,       120,       140,        0.36,      0.32,         0.4,           0,             0
     68,         8,         5,           150,       140,       160,        0.36,      0.32,         0.4,           0,             0
     69,         9,         5,           170,       160,       180,        0.36,      0.32,         0.4,           0,             0
     70,        10,         5,           190,       180,       200,        0.36,      0.32,         0.4,           0,             0
     73,         1,         6,            10,         0,        20,        0.44,       0.4,        0.48,  -0.0105719,    0.00583428
     74,         2,         6,            30,        20,        40,        0.44,       0.4,        0.48,      0.2966,    0.00731492
     75,         3,         6,            50,        40,        60,        0.44,       0.4,        0.48,    0.887097,     0.0123404
     76,         4,         6,            70,        60,        80,        0.44,       0.4,        0.48,    0.980687,     0.0149814
     77,         5,         6,            90,        80,       100,        0.44,       0.4,        0.48,    0.915288,     0.0407916
     78,         6,         6,           110,       100,       120,        0.44,       0.4,        0.48,           0,             0
     79,         7,         6,           130,       120,       140,        0.44,       0.4,        0.48,           0,             0
     80,         8,         6,           150,       140,       160,        0.44,       0.4,        0.48,           0,             0
     81,         9,         6,           170,       160,       180,        0.44,       0.4,        0.48,           0,             0
     82,        10,         6,           190,       180,       200,        0.44,       0.4,        0.48,           0,             0
     85,         1,         7,            10,         0,        20,        0.52,      0.48,        0.56,   0.0254559,      0.007681
     86,         2,         7,            30,        20,        40,        0.52,      0.48,        0.56,    0.625747,     0.0118515
     87,         3,         7,            50,        40,        60,        0.52,      0.48,        0.56,     0.98806,     0.0159635
     88,         4,         7,            70,        60,        80,        0.52,      0.48,        0.56,    0.990385,     0.0212171
