# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Q2 (2D Average) 
# ybins      : 15 
# ylabel     :  P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  #theta_{rq} [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,     1.65962,      0.370096
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,     1.64333,      0.211724
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08,      1.6304,      0.193964
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08,     1.56737,      0.195014
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08,     1.53717,      0.215565
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08,     1.48068,      0.278153
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08,     1.39345,      0.435144
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08,     1.37452,      0.623992
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,     1.39675,       1.97531
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16,     1.91378,       0.14146
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16,     1.81092,     0.0894989
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16,     1.71669,     0.0828022
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16,     1.64315,     0.0864928
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16,      1.5671,     0.0912194
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16,     1.47043,      0.103274
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16,     1.38656,      0.233768
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,      1.3421,       1.89802
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,           0,             0
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24,     2.15588,      0.102593
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24,     1.98152,      0.065063
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24,     1.83894,     0.0685456
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24,     1.67584,     0.0685565
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24,     1.55076,     0.0723554
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24,     1.42613,     0.0794098
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24,     1.33493,      0.264887
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,           0,             0
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32,     2.39306,     0.0745228
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32,     2.17889,      0.051159
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32,     1.95856,     0.0556016
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32,     1.71899,     0.0546453
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32,     1.53192,     0.0657305
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32,     1.36817,      0.114125
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32,      1.2649,      0.809736
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4,     2.58098,     0.0574664
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4,     2.37455,     0.0427484
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4,     2.06943,     0.0471023
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4,     1.75035,     0.0488534
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4,     1.52226,     0.0766354
     66,         6,         5,           110,       100,       120,        0.36,      0.32,         0.4,     1.33998,      0.350233
     67,         7,         5,           130,       120,       140,        0.36,      0.32,         0.4,           0,             0
     68,         8,         5,           150,       140,       160,        0.36,      0.32,         0.4,           0,             0
     69,         9,         5,           170,       160,       180,        0.36,      0.32,         0.4,           0,             0
     70,        10,         5,           190,       180,       200,        0.36,      0.32,         0.4,           0,             0
     73,         1,         6,            10,         0,        20,        0.44,       0.4,        0.48,     2.69755,     0.0602859
     74,         2,         6,            30,        20,        40,        0.44,       0.4,        0.48,     2.52018,     0.0459021
     75,         3,         6,            50,        40,        60,        0.44,       0.4,        0.48,     2.14281,     0.0486016
     76,         4,         6,            70,        60,        80,        0.44,       0.4,        0.48,      1.7721,     0.0562167
     77,         5,         6,            90,        80,       100,        0.44,       0.4,        0.48,      1.5341,      0.144144
     78,         6,         6,           110,       100,       120,        0.44,       0.4,        0.48,           0,             0
     79,         7,         6,           130,       120,       140,        0.44,       0.4,        0.48,           0,             0
