# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{tar}   
# xbins      : 100   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.005 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.347,-0.350,-0.345,0.000,0.000
2,-0.342,-0.345,-0.340,0.000,0.000
3,-0.337,-0.340,-0.335,0.000,0.000
4,-0.332,-0.335,-0.330,0.000,0.000
5,-0.327,-0.330,-0.325,0.000,0.000
6,-0.322,-0.325,-0.320,0.000,0.000
7,-0.317,-0.320,-0.315,0.000,0.000
8,-0.312,-0.315,-0.310,0.000,0.000
9,-0.307,-0.310,-0.305,0.000,0.000
10,-0.302,-0.305,-0.300,0.000,0.000
11,-0.297,-0.300,-0.295,0.000,0.000
12,-0.292,-0.295,-0.290,0.000,0.000
13,-0.287,-0.290,-0.285,0.000,0.000
14,-0.282,-0.285,-0.280,0.000,0.000
15,-0.277,-0.280,-0.275,0.001,0.001
16,-0.272,-0.275,-0.270,0.000,0.000
17,-0.267,-0.270,-0.265,0.004,0.004
18,-0.262,-0.265,-0.260,0.000,0.000
19,-0.258,-0.260,-0.255,0.009,0.008
20,-0.253,-0.255,-0.250,0.000,0.000
21,-0.247,-0.250,-0.245,0.024,0.020
22,-0.242,-0.245,-0.240,0.000,0.000
23,-0.237,-0.240,-0.235,0.028,0.028
24,-0.232,-0.235,-0.230,0.004,0.002
25,-0.227,-0.230,-0.225,0.007,0.003
26,-0.222,-0.225,-0.220,0.092,0.068
27,-0.217,-0.220,-0.215,0.052,0.039
28,-0.212,-0.215,-0.210,0.024,0.012
29,-0.207,-0.210,-0.205,0.092,0.032
30,-0.202,-0.205,-0.200,0.229,0.118
31,-0.197,-0.200,-0.195,0.290,0.120
32,-0.192,-0.195,-0.190,0.547,0.240
33,-0.187,-0.190,-0.185,1.631,0.678
34,-0.182,-0.185,-0.180,0.902,0.302
35,-0.177,-0.180,-0.175,1.859,0.574
36,-0.172,-0.175,-0.170,1.051,0.232
37,-0.167,-0.170,-0.165,6.531,1.389
38,-0.162,-0.165,-0.160,5.966,1.778
39,-0.157,-0.160,-0.155,6.302,1.191
40,-0.152,-0.155,-0.150,13.724,2.513
41,-0.147,-0.150,-0.145,17.804,2.817
42,-0.142,-0.145,-0.140,30.540,3.472
43,-0.137,-0.140,-0.135,42.016,3.913
44,-0.132,-0.135,-0.130,45.422,3.728
45,-0.127,-0.130,-0.125,61.014,4.558
46,-0.122,-0.125,-0.120,76.285,5.102
47,-0.117,-0.120,-0.115,79.667,5.207
48,-0.112,-0.115,-0.110,92.493,5.662
49,-0.107,-0.110,-0.105,92.703,5.552
50,-0.102,-0.105,-0.100,96.909,5.929
51,-0.097,-0.100,-0.095,103.766,6.204
52,-0.092,-0.095,-0.090,115.123,7.677
53,-0.087,-0.090,-0.085,107.052,6.629
54,-0.082,-0.085,-0.080,106.015,6.208
55,-0.077,-0.080,-0.075,105.399,6.213
56,-0.072,-0.075,-0.070,99.661,5.878
57,-0.067,-0.070,-0.065,106.006,6.002
58,-0.062,-0.065,-0.060,112.087,6.346
59,-0.057,-0.060,-0.055,115.631,6.123
60,-0.052,-0.055,-0.050,114.468,7.354
61,-0.047,-0.050,-0.045,119.819,6.786
62,-0.042,-0.045,-0.040,112.832,6.439
63,-0.037,-0.040,-0.035,104.044,6.241
64,-0.032,-0.035,-0.030,101.177,6.666
65,-0.027,-0.030,-0.025,96.007,6.450
66,-0.022,-0.025,-0.020,91.357,6.256
67,-0.017,-0.020,-0.015,80.466,5.508
68,-0.012,-0.015,-0.010,72.869,5.619
69,-0.007,-0.010,-0.005,53.967,4.435
70,-0.002,-0.005,0.000,48.944,5.263
71,0.003,0.000,0.005,25.874,3.257
72,0.008,0.005,0.010,8.885,1.289
73,0.013,0.010,0.015,5.508,1.287
74,0.018,0.015,0.020,1.232,0.557
75,0.023,0.020,0.025,0.223,0.114
76,0.028,0.025,0.030,0.134,0.091
77,0.033,0.030,0.035,0.156,0.124
78,0.038,0.035,0.040,0.003,0.003
79,0.043,0.040,0.045,0.000,0.000
80,0.048,0.045,0.050,0.000,0.000
81,0.053,0.050,0.055,0.000,0.000
82,0.058,0.055,0.060,0.000,0.000
83,0.063,0.060,0.065,0.000,0.000
84,0.068,0.065,0.070,0.000,0.000
85,0.073,0.070,0.075,0.000,0.000
86,0.078,0.075,0.080,0.000,0.000
87,0.083,0.080,0.085,0.000,0.000
88,0.088,0.085,0.090,0.000,0.000
89,0.093,0.090,0.095,0.000,0.000
90,0.098,0.095,0.100,0.000,0.000
91,0.103,0.100,0.105,0.000,0.000
92,0.108,0.105,0.110,0.000,0.000
93,0.113,0.110,0.115,0.000,0.000
94,0.118,0.115,0.120,0.000,0.000
95,0.123,0.120,0.125,0.000,0.000
96,0.128,0.125,0.130,0.000,0.000
97,0.133,0.130,0.135,0.000,0.000
98,0.138,0.135,0.140,0.000,0.000
99,0.143,0.140,0.145,0.000,0.000
100,0.148,0.145,0.150,0.000,0.000
