# 2D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Pm vs. $\theta_{rq}$ (phase space) 
# ybins      : 15 
# ylabel     :  missing momentum, P_{m} [GeV/c] 
# xbins      : 10 
# xlabel     :  in-plane angle, $\theta_{rq}$ [deg] 
# ybin_width : 0.080 
# xbin_width : 20.000 
#                   
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# zcont:      bin content (z-axis) 
# zcont_err:  bin content error (z-axis) 
#                                        
ib,xb,yb,x0,xlow,xup,y0,ylow,yup,zcont,zcont_err
     13,         1,         1,            10,         0,        20,        0.04,         0,        0.08,  7.9013e+06,        690369
     14,         2,         1,            30,        20,        40,        0.04,         0,        0.08,  2.0399e+07,    1.1096e+06
     15,         3,         1,            50,        40,        60,        0.04,         0,        0.08, 2.54648e+07,   1.23965e+06
     16,         4,         1,            70,        60,        80,        0.04,         0,        0.08, 2.49504e+07,   1.22777e+06
     17,         5,         1,            90,        80,       100,        0.04,         0,        0.08, 1.95787e+07,   1.08775e+06
     18,         6,         1,           110,       100,       120,        0.04,         0,        0.08, 1.59641e+07,        982554
     19,         7,         1,           130,       120,       140,        0.04,         0,        0.08, 7.97846e+06,        694459
     20,         8,         1,           150,       140,       160,        0.04,         0,        0.08, 2.66407e+06,        401635
     21,         9,         1,           170,       160,       180,        0.04,         0,        0.08,      300538,        134408
     22,        10,         1,           190,       180,       200,        0.04,         0,        0.08,           0,             0
     25,         1,         2,            10,         0,        20,        0.12,      0.08,        0.16, 4.20089e+07,   1.59127e+06
     26,         2,         2,            30,        20,        40,        0.12,      0.08,        0.16, 1.15911e+08,   2.64472e+06
     27,         3,         2,            50,        40,        60,        0.12,      0.08,        0.16, 1.23691e+08,   2.73264e+06
     28,         4,         2,            70,        60,        80,        0.12,      0.08,        0.16, 1.03923e+08,   2.50444e+06
     29,         5,         2,            90,        80,       100,        0.12,      0.08,        0.16, 8.52666e+07,   2.26922e+06
     30,         6,         2,           110,       100,       120,        0.12,      0.08,        0.16, 5.99864e+07,   1.90368e+06
     31,         7,         2,           130,       120,       140,        0.12,      0.08,        0.16, 1.93127e+07,   1.08133e+06
     32,         8,         2,           150,       140,       160,        0.12,      0.08,        0.16,      968136,        242039
     33,         9,         2,           170,       160,       180,        0.12,      0.08,        0.16,           0,             0
     34,        10,         2,           190,       180,       200,        0.12,      0.08,        0.16,           0,             0
     37,         1,         3,            10,         0,        20,         0.2,      0.16,        0.24, 9.47984e+07,   2.39031e+06
     38,         2,         3,            30,        20,        40,         0.2,      0.16,        0.24, 2.68912e+08,   4.02861e+06
     39,         3,         3,            50,        40,        60,         0.2,      0.16,        0.24, 2.38586e+08,   3.79488e+06
     40,         4,         3,            70,        60,        80,         0.2,      0.16,        0.24, 1.87647e+08,   3.36602e+06
     41,         5,         3,            90,        80,       100,         0.2,      0.16,        0.24, 1.36366e+08,   2.86985e+06
     42,         6,         3,           110,       100,       120,         0.2,      0.16,        0.24, 8.06045e+07,   2.20696e+06
     43,         7,         3,           130,       120,       140,         0.2,      0.16,        0.24, 1.11947e+07,        823071
     44,         8,         3,           150,       140,       160,         0.2,      0.16,        0.24,       60827,         60827
     45,         9,         3,           170,       160,       180,         0.2,      0.16,        0.24,           0,             0
     46,        10,         3,           190,       180,       200,         0.2,      0.16,        0.24,           0,             0
     49,         1,         4,            10,         0,        20,        0.28,      0.24,        0.32, 1.72586e+08,   3.22561e+06
     50,         2,         4,            30,        20,        40,        0.28,      0.24,        0.32, 4.38001e+08,   5.14108e+06
     51,         3,         4,            50,        40,        60,        0.28,      0.24,        0.32, 3.38851e+08,     4.523e+06
     52,         4,         4,            70,        60,        80,        0.28,      0.24,        0.32, 2.45677e+08,   3.85248e+06
     53,         5,         4,            90,        80,       100,        0.28,      0.24,        0.32, 1.35254e+08,   2.85785e+06
     54,         6,         4,           110,       100,       120,        0.28,      0.24,        0.32, 3.15976e+07,   1.38171e+06
     55,         7,         4,           130,       120,       140,        0.28,      0.24,        0.32,      665088,        200536
     56,         8,         4,           150,       140,       160,        0.28,      0.24,        0.32,           0,             0
     57,         9,         4,           170,       160,       180,        0.28,      0.24,        0.32,           0,             0
     58,        10,         4,           190,       180,       200,        0.28,      0.24,        0.32,           0,             0
     61,         1,         5,            10,         0,        20,        0.36,      0.32,         0.4, 2.28007e+08,   3.70526e+06
     62,         2,         5,            30,        20,        40,        0.36,      0.32,         0.4, 5.14553e+08,   5.57278e+06
     63,         3,         5,            50,        40,        60,        0.36,      0.32,         0.4, 3.79576e+08,   4.78806e+06
     64,         4,         5,            70,        60,        80,        0.36,      0.32,         0.4, 2.31275e+08,    3.7362e+06
     65,         5,         5,            90,        80,       100,        0.36,      0.32,         0.4, 6.96577e+07,   2.04971e+06
     66,         6,         5,           110,       100,       120,        0.36,      0.32,         0.4, 1.44552e+06,        295074
     67,         7,         5,           130,       120,       140,        0.36,      0.32,         0.4,           0,             0
     68,         8,         5,           150,       140,       160,        0.36,      0.32,         0.4,           0,             0
     69,         9,         5,           170,       160,       180,        0.36,      0.32,         0.4,           0,             0
     70,        10,         5,           190,       180,       200,        0.36,      0.32,         0.4,           0,             0
     73,         1,         6,            10,         0,        20,        0.44,       0.4,        0.48, 1.96097e+08,    3.4357e+06
     74,         2,         6,            30,        20,        40,        0.44,       0.4,        0.48,  4.0913e+08,   4.96927e+06
     75,         3,         6,            50,        40,        60,        0.44,       0.4,        0.48, 2.93729e+08,   4.20918e+06
     76,         4,         6,            70,        60,        80,        0.44,       0.4,        0.48,  1.4284e+08,   2.93174e+06
     77,         5,         6,            90,        80,       100,        0.44,       0.4,        0.48, 1.52487e+07,        956817
