# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, cos($\phi_{pq}$)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, cos($\phi_{pq}$)   
# xbin_width : 0.024 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-1.188,-1.200,-1.176,0.000,0.000
2,-1.164,-1.176,-1.152,0.000,0.000
3,-1.140,-1.152,-1.128,0.000,0.000
4,-1.116,-1.128,-1.104,0.000,0.000
5,-1.092,-1.104,-1.080,0.000,0.000
6,-1.068,-1.080,-1.056,0.000,0.000
7,-1.044,-1.056,-1.032,0.000,0.000
8,-1.020,-1.032,-1.008,0.000,0.000
9,-0.996,-1.008,-0.984,3498.245,218.947
10,-0.972,-0.984,-0.960,1662.546,135.112
11,-0.948,-0.960,-0.936,1626.979,149.332
12,-0.924,-0.936,-0.912,1215.223,124.320
13,-0.900,-0.912,-0.888,1149.565,112.886
14,-0.876,-0.888,-0.864,1053.608,113.856
15,-0.852,-0.864,-0.840,1048.348,114.413
16,-0.828,-0.840,-0.816,903.858,103.746
17,-0.804,-0.816,-0.792,971.747,103.819
18,-0.780,-0.792,-0.768,857.746,98.167
19,-0.756,-0.768,-0.744,840.990,92.078
20,-0.732,-0.744,-0.720,889.240,105.915
21,-0.708,-0.720,-0.696,775.322,104.115
22,-0.684,-0.696,-0.672,924.626,120.096
23,-0.660,-0.672,-0.648,951.940,100.507
24,-0.636,-0.648,-0.624,895.622,102.241
25,-0.612,-0.624,-0.600,973.811,103.934
26,-0.588,-0.600,-0.576,767.321,93.800
27,-0.564,-0.576,-0.552,899.347,101.268
28,-0.540,-0.552,-0.528,891.515,105.694
29,-0.516,-0.528,-0.504,820.025,84.925
30,-0.492,-0.504,-0.480,763.497,82.238
31,-0.468,-0.480,-0.456,763.118,85.420
32,-0.444,-0.456,-0.432,760.976,84.560
33,-0.420,-0.432,-0.408,1037.692,110.239
34,-0.396,-0.408,-0.384,831.616,98.355
35,-0.372,-0.384,-0.360,907.536,96.524
36,-0.348,-0.360,-0.336,870.385,81.207
37,-0.324,-0.336,-0.312,702.115,75.970
38,-0.300,-0.312,-0.288,867.578,90.419
39,-0.276,-0.288,-0.264,860.119,78.196
40,-0.252,-0.264,-0.240,749.525,86.264
41,-0.228,-0.240,-0.216,869.055,99.129
42,-0.204,-0.216,-0.192,754.576,78.376
43,-0.180,-0.192,-0.168,818.937,82.934
44,-0.156,-0.168,-0.144,979.238,109.794
45,-0.132,-0.144,-0.120,816.391,88.055
46,-0.108,-0.120,-0.096,728.200,74.262
47,-0.084,-0.096,-0.072,658.761,64.419
48,-0.060,-0.072,-0.048,929.306,90.551
49,-0.036,-0.048,-0.024,891.259,90.527
50,-0.012,-0.024,0.000,824.119,95.833
51,0.012,0.000,0.024,970.067,98.314
52,0.036,0.024,0.048,886.327,87.919
53,0.060,0.048,0.072,785.041,81.821
54,0.084,0.072,0.096,632.391,71.466
55,0.108,0.096,0.120,869.074,89.083
56,0.132,0.120,0.144,821.255,83.630
57,0.156,0.144,0.168,780.179,79.735
58,0.180,0.168,0.192,646.363,72.144
59,0.204,0.192,0.216,569.747,61.463
60,0.228,0.216,0.240,628.696,68.855
61,0.252,0.240,0.264,844.740,89.825
62,0.276,0.264,0.288,584.249,62.835
63,0.300,0.288,0.312,704.880,76.047
64,0.324,0.312,0.336,661.016,70.803
65,0.348,0.336,0.360,671.886,84.639
66,0.372,0.360,0.384,681.887,75.360
67,0.396,0.384,0.408,538.979,65.841
68,0.420,0.408,0.432,678.778,85.831
69,0.444,0.432,0.456,514.085,59.168
70,0.468,0.456,0.480,409.705,48.176
71,0.492,0.480,0.504,487.454,55.583
72,0.516,0.504,0.528,575.784,86.322
73,0.540,0.528,0.552,549.601,66.363
74,0.564,0.552,0.576,463.815,53.669
75,0.588,0.576,0.600,342.365,46.137
76,0.612,0.600,0.624,361.145,43.942
77,0.636,0.624,0.648,413.500,59.277
78,0.660,0.648,0.672,488.062,59.187
79,0.684,0.672,0.696,387.946,51.390
80,0.708,0.696,0.720,359.866,52.592
81,0.732,0.720,0.744,482.446,59.063
82,0.756,0.744,0.768,448.132,56.693
83,0.780,0.768,0.792,398.323,50.318
84,0.804,0.792,0.816,436.103,57.899
85,0.828,0.816,0.840,369.465,53.866
86,0.852,0.840,0.864,497.524,61.286
87,0.876,0.864,0.888,421.203,51.154
88,0.900,0.888,0.912,426.958,58.465
89,0.924,0.912,0.936,460.480,56.405
90,0.948,0.936,0.960,570.910,64.293
91,0.972,0.960,0.984,831.866,82.056
92,0.996,0.984,1.008,1363.107,108.069
93,1.020,1.008,1.032,0.000,0.000
94,1.044,1.032,1.056,0.000,0.000
95,1.068,1.056,1.080,0.000,0.000
96,1.092,1.080,1.104,0.000,0.000
97,1.116,1.104,1.128,0.000,0.000
98,1.140,1.128,1.152,0.000,0.000
99,1.164,1.152,1.176,0.000,0.000
100,1.188,1.176,1.200,0.000,0.000
