# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS z_Target (Lab)   
# xbins      : 60   
# xlabel     :  z-Target [cm]   
# xbin_width : 0.333 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-9.833,-10.000,-9.667,3.540,3.384
2,-9.500,-9.667,-9.333,0.046,0.027
3,-9.167,-9.333,-9.000,0.046,0.024
4,-8.833,-9.000,-8.667,0.014,0.007
5,-8.500,-8.667,-8.333,1.192,1.144
6,-8.167,-8.333,-8.000,0.136,0.050
7,-7.833,-8.000,-7.667,2.828,1.622
8,-7.500,-7.667,-7.333,0.150,0.049
9,-7.167,-7.333,-7.000,0.232,0.115
10,-6.833,-7.000,-6.667,1.196,0.781
11,-6.500,-6.667,-6.333,5.593,2.965
12,-6.167,-6.333,-6.000,6.376,3.489
13,-5.833,-6.000,-5.667,35.662,23.365
14,-5.500,-5.667,-5.333,20.923,13.399
15,-5.167,-5.333,-5.000,17.170,9.704
16,-4.833,-5.000,-4.667,24.152,9.657
17,-4.500,-4.667,-4.333,12.051,4.081
18,-4.167,-4.333,-4.000,32.266,10.027
19,-3.833,-4.000,-3.667,170.649,45.691
20,-3.500,-3.667,-3.333,184.337,40.002
21,-3.167,-3.333,-3.000,223.235,32.592
22,-2.833,-3.000,-2.667,560.902,73.267
23,-2.500,-2.667,-2.333,869.826,83.763
24,-2.167,-2.333,-2.000,1950.190,132.193
25,-1.833,-2.000,-1.667,3361.688,163.077
26,-1.500,-1.667,-1.333,7692.348,241.886
27,-1.167,-1.333,-1.000,11119.402,305.938
28,-0.833,-1.000,-0.667,10832.227,301.341
29,-0.500,-0.667,-0.333,10275.341,303.940
30,-0.167,-0.333,0.000,10456.059,307.654
31,0.167,0.000,0.333,10343.128,297.004
32,0.500,0.333,0.667,10492.550,297.061
33,0.833,0.667,1.000,11265.226,314.370
34,1.167,1.000,1.333,11354.533,327.210
35,1.500,1.333,1.667,7796.494,257.031
36,1.833,1.667,2.000,4062.669,182.019
37,2.167,2.000,2.333,2210.106,141.837
38,2.500,2.333,2.667,1068.450,101.864
39,2.833,2.667,3.000,691.623,89.894
40,3.167,3.000,3.333,250.116,49.568
41,3.500,3.333,3.667,152.703,38.181
42,3.833,3.667,4.000,82.603,31.750
43,4.167,4.000,4.333,44.738,18.523
44,4.500,4.333,4.667,59.488,24.141
45,4.833,4.667,5.000,14.581,5.544
46,5.167,5.000,5.333,14.159,8.644
47,5.500,5.333,5.667,6.314,3.619
48,5.833,5.667,6.000,4.330,3.789
49,6.167,6.000,6.333,0.526,0.257
50,6.500,6.333,6.667,2.193,2.060
51,6.833,6.667,7.000,0.194,0.069
52,7.167,7.000,7.333,0.706,0.519
53,7.500,7.333,7.667,3.821,2.883
54,7.833,7.667,8.000,0.009,0.006
55,8.167,8.000,8.333,0.045,0.023
56,8.500,8.333,8.667,0.007,0.006
57,8.833,8.667,9.000,0.012,0.008
58,9.167,9.000,9.333,0.002,0.001
59,9.500,9.333,9.667,0.034,0.025
60,9.833,9.667,10.000,0.087,0.087
