# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.000,0.000
7,-0.047,-0.048,-0.046,0.000,0.000
8,-0.045,-0.046,-0.044,0.004,0.001
9,-0.043,-0.044,-0.042,0.017,0.001
10,-0.041,-0.042,-0.040,0.066,0.003
11,-0.039,-0.040,-0.038,0.173,0.005
12,-0.037,-0.038,-0.036,0.332,0.008
13,-0.035,-0.036,-0.034,0.548,0.012
14,-0.033,-0.034,-0.032,0.741,0.015
15,-0.031,-0.032,-0.030,1.058,0.019
16,-0.029,-0.030,-0.028,1.426,0.023
17,-0.027,-0.028,-0.026,1.859,0.029
18,-0.025,-0.026,-0.024,2.377,0.035
19,-0.023,-0.024,-0.022,2.937,0.042
20,-0.021,-0.022,-0.020,3.761,0.052
21,-0.019,-0.020,-0.018,4.632,0.064
22,-0.017,-0.018,-0.016,5.727,0.079
23,-0.015,-0.016,-0.014,7.485,0.108
24,-0.013,-0.014,-0.012,9.655,0.141
25,-0.011,-0.012,-0.010,12.543,0.201
26,-0.009,-0.010,-0.008,16.235,0.275
27,-0.007,-0.008,-0.006,21.013,0.376
28,-0.005,-0.006,-0.004,27.430,0.515
29,-0.003,-0.004,-0.002,34.789,0.648
30,-0.001,-0.002,0.000,41.922,0.827
31,0.001,0.000,0.002,51.188,1.025
32,0.003,0.002,0.004,55.048,1.114
33,0.005,0.004,0.006,60.063,1.200
34,0.007,0.006,0.008,58.923,1.212
35,0.009,0.008,0.010,56.433,1.178
36,0.011,0.010,0.012,51.099,1.060
37,0.013,0.012,0.014,42.590,0.886
38,0.015,0.014,0.016,34.063,0.766
39,0.017,0.016,0.018,25.535,0.582
40,0.019,0.018,0.020,18.208,0.396
41,0.021,0.020,0.022,11.971,0.237
42,0.023,0.022,0.024,8.535,0.159
43,0.025,0.024,0.026,5.809,0.100
44,0.027,0.026,0.028,3.802,0.061
45,0.029,0.028,0.030,2.369,0.037
46,0.031,0.030,0.032,1.383,0.024
47,0.033,0.032,0.034,0.755,0.015
48,0.035,0.034,0.036,0.306,0.008
49,0.037,0.036,0.038,0.102,0.004
50,0.039,0.038,0.040,0.012,0.001
51,0.041,0.040,0.042,0.000,0.000
52,0.043,0.042,0.044,0.000,0.000
53,0.045,0.044,0.046,0.000,0.000
54,0.047,0.046,0.048,0.000,0.000
55,0.049,0.048,0.050,0.000,0.000
56,0.051,0.050,0.052,0.000,0.000
57,0.053,0.052,0.054,0.000,0.000
58,0.055,0.054,0.056,0.000,0.000
59,0.057,0.056,0.058,0.000,0.000
60,0.059,0.058,0.060,0.000,0.000
