# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Out-of-Plane Angle, cos($\phi_{pq}$)   
# xbins      : 100   
# xlabel     :  out-of-plane angle, cos($\phi_{pq}$)   
# xbin_width : 0.024 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-1.188,-1.200,-1.176,0.000,0.000
2,-1.164,-1.176,-1.152,0.000,0.000
3,-1.140,-1.152,-1.128,0.000,0.000
4,-1.116,-1.128,-1.104,0.000,0.000
5,-1.092,-1.104,-1.080,0.000,0.000
6,-1.068,-1.080,-1.056,0.000,0.000
7,-1.044,-1.056,-1.032,0.000,0.000
8,-1.020,-1.032,-1.008,0.000,0.000
9,-0.996,-1.008,-0.984,108.086,1.593
10,-0.972,-0.984,-0.960,64.994,1.277
11,-0.948,-0.960,-0.936,44.813,0.979
12,-0.924,-0.936,-0.912,36.390,0.866
13,-0.900,-0.912,-0.888,29.670,0.728
14,-0.876,-0.888,-0.864,26.613,0.726
15,-0.852,-0.864,-0.840,23.236,0.611
16,-0.828,-0.840,-0.816,22.212,0.617
17,-0.804,-0.816,-0.792,18.721,0.513
18,-0.780,-0.792,-0.768,17.931,0.520
19,-0.756,-0.768,-0.744,16.705,0.474
20,-0.732,-0.744,-0.720,16.475,0.469
21,-0.708,-0.720,-0.696,14.610,0.414
22,-0.684,-0.696,-0.672,13.556,0.397
23,-0.660,-0.672,-0.648,12.803,0.369
24,-0.636,-0.648,-0.624,12.128,0.344
25,-0.612,-0.624,-0.600,11.613,0.336
26,-0.588,-0.600,-0.576,10.609,0.309
27,-0.564,-0.576,-0.552,9.348,0.275
28,-0.540,-0.552,-0.528,9.647,0.316
29,-0.516,-0.528,-0.504,8.766,0.265
30,-0.492,-0.504,-0.480,7.937,0.232
31,-0.468,-0.480,-0.456,6.998,0.203
32,-0.444,-0.456,-0.432,7.014,0.219
33,-0.420,-0.432,-0.408,6.131,0.195
34,-0.396,-0.408,-0.384,5.909,0.200
35,-0.372,-0.384,-0.360,5.303,0.187
36,-0.348,-0.360,-0.336,5.005,0.182
37,-0.324,-0.336,-0.312,4.312,0.150
38,-0.300,-0.312,-0.288,4.215,0.159
39,-0.276,-0.288,-0.264,4.145,0.159
40,-0.252,-0.264,-0.240,3.591,0.136
41,-0.228,-0.240,-0.216,3.272,0.136
42,-0.204,-0.216,-0.192,2.985,0.126
43,-0.180,-0.192,-0.168,2.643,0.116
44,-0.156,-0.168,-0.144,2.457,0.102
45,-0.132,-0.144,-0.120,2.390,0.127
46,-0.108,-0.120,-0.096,2.111,0.115
47,-0.084,-0.096,-0.072,1.864,0.098
48,-0.060,-0.072,-0.048,1.513,0.080
49,-0.036,-0.048,-0.024,1.645,0.095
50,-0.012,-0.024,0.000,1.283,0.084
51,0.012,0.000,0.024,1.138,0.075
52,0.036,0.024,0.048,1.002,0.066
53,0.060,0.048,0.072,0.885,0.061
54,0.084,0.072,0.096,0.869,0.081
55,0.108,0.096,0.120,0.714,0.069
56,0.132,0.120,0.144,0.716,0.071
57,0.156,0.144,0.168,0.549,0.056
58,0.180,0.168,0.192,0.532,0.057
59,0.204,0.192,0.216,0.402,0.050
60,0.228,0.216,0.240,0.463,0.062
61,0.252,0.240,0.264,0.372,0.054
62,0.276,0.264,0.288,0.324,0.053
63,0.300,0.288,0.312,0.272,0.043
64,0.324,0.312,0.336,0.288,0.050
65,0.348,0.336,0.360,0.260,0.039
66,0.372,0.360,0.384,0.196,0.035
67,0.396,0.384,0.408,0.211,0.049
68,0.420,0.408,0.432,0.165,0.030
69,0.444,0.432,0.456,0.224,0.048
70,0.468,0.456,0.480,0.159,0.031
71,0.492,0.480,0.504,0.067,0.010
72,0.516,0.504,0.528,0.119,0.026
73,0.540,0.528,0.552,0.123,0.043
74,0.564,0.552,0.576,0.131,0.030
75,0.588,0.576,0.600,0.068,0.018
76,0.612,0.600,0.624,0.125,0.034
77,0.636,0.624,0.648,0.157,0.038
78,0.660,0.648,0.672,0.095,0.021
79,0.684,0.672,0.696,0.089,0.022
80,0.708,0.696,0.720,0.103,0.025
81,0.732,0.720,0.744,0.074,0.021
82,0.756,0.744,0.768,0.059,0.015
83,0.780,0.768,0.792,0.087,0.020
84,0.804,0.792,0.816,0.113,0.030
85,0.828,0.816,0.840,0.059,0.017
86,0.852,0.840,0.864,0.073,0.027
87,0.876,0.864,0.888,0.140,0.037
88,0.900,0.888,0.912,0.087,0.025
89,0.924,0.912,0.936,0.082,0.022
90,0.948,0.936,0.960,0.063,0.013
91,0.972,0.960,0.984,0.116,0.025
92,0.996,0.984,1.008,0.362,0.061
93,1.020,1.008,1.032,0.000,0.000
94,1.044,1.032,1.056,0.000,0.000
95,1.068,1.056,1.080,0.000,0.000
96,1.092,1.080,1.104,0.000,0.000
97,1.116,1.104,1.128,0.000,0.000
98,1.140,1.128,1.152,0.000,0.000
99,1.164,1.152,1.176,0.000,0.000
100,1.188,1.176,1.200,0.000,0.000
